😀	笑脸
🍦	软 冰淇淋
🍧	刨冰
🍨	冰淇淋
🍩	油炸 圈饼
🍪	曲奇饼
🎂	生日 蛋糕
🍰	脆饼
🧁	纸杯 蛋糕
🥧	馅饼
🍫	巧克力 吧
🍬	糖果
🍭	棒糖
🍮	卡仕达酱
🍯	蜜罐
🍼	婴儿 奶瓶
🥛	一 杯 牛奶
☕	热饮
🍵	无柄 茶杯
🍶	清酒
🍾	软木塞 爆开 的 瓶子
🍷	红酒杯
🍸	鸡尾酒杯
🍹	热带 饮料
🍺	啤酒杯
🍻	叮当作响 的 啤酒杯
🥂	叮当作响 的 眼镜
🥃	玻璃杯
🥤	带 吸管 的 杯子
🥢	筷子
🍽️	带 盘子 的 叉子 和 刀子
🍽	带 盘子 的 叉子 和 刀子
🍴	刀叉
🥄	勺子
🔪	菜刀
🏺	双耳瓶
🌍	显示 欧洲 - 非洲 的 地球仪
🌎	显示 美洲 的 地球仪
🌏	显示 亚洲 - 澳大利亚 的 地球仪
🌐	有 经络 的 地球仪
🗺️	世界 地图
🗺	世界 地图
🗾	日本 地图
🧭	罗盘
🏔️	雪山
🏔	雪山
⛰️	山
⛰	山
🌋	火山
🗻	富士山
🏕️	野营
🏕	野营
🏖️	带伞 的 海滩
🏖	带伞 的 海滩
🏜️	沙漠
🏜	沙漠
🏝️	沙漠 荒岛
🏝	沙漠 荒岛
🏞️	国家 公园
🏞	国家 公园
🏟️	体育场
🏟	体育场
🏛️	古典 建筑
🏛	古典 建筑
🏗️	建筑 施工
🏗	建筑 施工
🧱	砖块
🏘️	房屋
🏘	房屋
🏚️	废弃 的 房子
🏚	废弃 的 房子
🏠	房子
🏡	带 花园 的 房子
🏢	办公楼
🏣	日本 邮局
🏤	邮局
🏥	医院
🏦	银行
🏨	酒店
🏩	爱情 酒店
🏪	便利店
🏫	学校
🏬	百货 商店
🏭	工厂
🏯	日本 城堡
🏰	城堡
💒	婚礼
🗼	东京塔
🗽	自由 女神像
⛪	教会
🕌	清真寺
🕍	犹太 教堂
⛩️	神社
⛩	神社
🕋	天房
⛲	喷泉
⛺	帐篷
🌁	有 雾
🌃	有 星星 的 夜晚
🏙️	城市 景观
🏙	城市 景观
🌄	山上 的 日出
🌅	日出
🌆	黄昏 时 的 城市 景观
🌇	日落
🌉	晚上 的 桥
♨️	温泉
♨	温泉
🌌	银河系
🎠	旋转 木马
🎡	摩天轮
🎢	过山车
💈	理发店 招牌
🎪	马戏团 帐篷
🚂	机车
🚃	火车 车厢
🚄	高速 火车
🚅	子弹头 列车
🚆	火车
🚇	地铁
🚈	轻轨
🚉	车站
🚊	电车
🚝	单轨 铁路
🚞	山区 铁路
🚋	有轨 电车
🚌	公共 汽车
🚍	迎面而来 的 巴士
🚎	电车
🚐	小巴
🚑	救护车
🚒	消防车
🚓	警车
🚔	迎面而来 的 警车
🚕	出租车
🚖	迎面而来 的 出租车
🚗	汽车
🚘	迎面而来 的 汽车
🚙	运动型 多用途车
🚚	送货 卡车
🚛	铰接式 货车
🚜	拖拉机
🚲	自行车
🛴	踢 滑板车
🛹	滑板
🛵	小型 摩托车
🚏	公交 车站
🛣️	高速 公路
🛣	高速 公路
🛤️	铁路 轨道
🛤	铁路 轨道
🛢️	油桶
🛢	油桶
⛽	燃油泵
🚨	警车 灯
🚥	水平 交通 灯
🚦	垂直 交通灯
🛑	停止 标志
🚧	建造
⚓	锚
⛵	帆船
🛶	独木舟
🚤	快艇
🛳️	客船
🛳	客船
⛴️	渡船
⛴	渡船
🛥️	摩托艇
🛥	摩托艇
🚢	船
✈️	飞机
✈	飞机
🛩️	小 飞机
🛩	小 飞机
🛫	飞机 起飞
🛬	飞机 到达
💺	座位
🚁	直升机
🚟	悬索 铁路
🚠	山地 索道
🚡	空中 缆车
🛰️	卫星
🛰	卫星
🚀	火箭
🛸	飞碟
🛎️	侍者 铃
🛎	侍者 铃
🧳	行李
⌛	沙漏 完成
⏳	沙漏 未 完成
⌚	手表
⏰	闹钟
⏱️	跑表
⏱	跑表
⏲️	定时器 时钟
⏲	定时器 时钟
🕰️	壁炉 台钟
🕰	壁炉 台钟
🕛	十二点
🕧	十二点三十分
🕐	一点钟
🕜	三十分之一
🕑	两点钟
🕝	两点三十分
🕒	三点 整
🕞	三点半
🕓	四点钟
🕟	四点三十分
🕔	五点钟
🕠	五点半
🕕	六点钟
🕡	六点半
🕖	七点钟
🕢	七点半
🕗	八点钟
🕣	八点半
🕘	九点钟
🕤	9 30
🕙	十点钟
🕥	十点半
🕚	十一点
🕦	十一点三十分
🌑	新月
🌒	上 弦月
🌓	上 弦月
🌔	凸月
🌕	满月
🌖	亏 凸月
🌗	下弦月
🌘	残月
🌙	新月
🌚	新 月脸
🌛	上弦月脸
🌜	下弦月脸
🌡️	温度计
🌡	温度计
☀️	太阳
☀	太阳
🌝	满月脸
🌞	太阳 与 脸
⭐	星星
🌟	发光 的 星星
🌠	流星
☁️	云
☁	云
⛅	云层 后面 的 太阳
⛈️	云 与 闪电 和 雨
⛈	云 与 闪电 和 雨
🌤️	小 云朵 后面 的 太阳
🌤	小 云朵 后面 的 太阳
🌥️	太阳 在 大云 后面
🌥	太阳 在 大云 后面
🌦️	太阳 在 雨云 后面
🌦	太阳 在 雨云 后面
🌧️	云 有 雨
🌧	云 有 雨
🌨️	云 与 雪
🌨	云 与 雪
🌩️	云 与 闪电
🌩	云 与 闪电
🌪️	龙卷风
🌪	龙卷风
🌫️	多 雾 路段
🌫	多 雾 路段
🌬️	风脸
🌬	风脸
🌀	气旋
🌈	彩虹
🌂	闭合 的 伞
☂️	伞
☂	伞
☔	有 雨滴 的 雨伞
⛱️	地上 的 伞
⛱	地上 的 伞
⚡	高压
❄️	雪花
❄	雪花
☃️	雪人
☃	雪人
⛄	没有 雪 的 雪人
☄️	彗星
☄	彗星
🔥	火
💧	水滴
🌊	水波
🎃	南瓜 灯
🎄	圣诞树
🎆	烟花
🎇	烟花
🧨	鞭炮
✨	闪闪 发光
🎈	气球
🎉	礼花
🎊	五彩纸 屑球
🎋	七夕树
🎍	松木 装饰
🎎	日本 娃娃
🎏	鲤鱼 旗
🎐	风铃
🎑	赏月 仪式
🧧	红信封
🎀	丝带
🎁	包装 好的 礼物
🎗️	提醒 丝带
🎗	提醒 丝带
🎟️	门票
🎟	门票
🎫	票
🎖️	军事 奖章
🎖	军事 奖章
🏆	杯
🏅	体育 奖牌
🥇	第一 名 奖牌
🥈	第二 名 奖牌
🥉	第三 名 奖牌
⚽	足球
⚾	棒球
🥎	垒球
🏀	篮球
🏐	排球
🏈	美式 足球
🏉	橄榄球
🎾	网球
🥏	飞盘
🎳	保龄球
🏏	板球 比赛
🏑	曲棍球
🏒	冰球
🥍	长曲 棍球
🏓	乒乓
🏸	羽毛球
🥊	拳击 手套
🥋	武术服
🥅	球门网
⛳	旗子 插 在 洞 里
⛸️	滑冰
⛸	滑冰
🎣	钓鱼竿
🎽	跑步 衬衫
🎿	滑雪板
🛷	雪橇
🥌	冰壶 石
🎯	直接 命中
🎱	台球 8 球
🔮	水晶球
🧿	纳扎尔 护身符
🎮	视频 游戏
🕹️	操纵杆
🕹	操纵杆
🎰	老虎机
🎲	游戏 死亡
🧩	拼图
🧸	玩具 熊
♠️	黑桃 花色
♠	黑桃 花色
♥️	心形 套装
♥	心形 套装
♦️	钻石 套装
♦	钻石 套装
♣️	俱乐部 套装
♣	俱乐部 套装
♟️	国际象棋 棋子
♟	国际象棋 棋子
🃏	小丑
🀄	麻将 红龙
🎴	花 扑克牌
🎭	表演 艺术
🖼️	带框 的 图片
🖼	带框 的 图片
🎨	艺术家 调色板
🧵	线
🧶	纱
🔇	静音 扬声器
🔈	扬声器 音量 小
🔉	扬声器 中等 音量
🔊	扬声器 高音量
📢	喇叭
📣	扩音器
📯	邮政 号角
🔔	钟
🔕	带 斜线 的 钟形
🎼	乐谱
🎵	音符
🎶	音符
🎙️	录音室 麦克风
🎙	录音室 麦克风
🎚️	水平 滑块
🎚	水平 滑块
🎛️	控制 旋钮
🎛	控制 旋钮
🎤	麦克风
🎧	耳机
📻	收音机
🎷	萨克斯管
🎸	吉他
🎹	音乐 键盘
🎺	喇叭
🎻	小提琴
🥁	鼓
📱	手机
📲	带 箭头 的 手机
☎️	电话
☎	电话
📞	电话 听筒
📟	寻呼机
📠	传真机
🔋	电池
🔌	电 插头
💻	笔记本 电脑
🖥️	台式 电脑
🖥	台式 电脑
🖨️	打印机
🖨	打印机
⌨️	键盘
⌨	键盘
🖱️	电脑 鼠标
🖱	电脑 鼠标
🖲️	轨迹球
🖲	轨迹球
💽	电脑 磁盘
💾	软盘
💿	光盘
📀	DVD
🧮	算盘
🎥	电影 摄影机
🎞️	胶片 帧
🎞	胶片 帧
📽️	电影 放映机
📽	电影 放映机
🎬	场 记板
📺	电视
📷	相机
📸	带 闪光灯 的 相机
📹	录影机
📼	录像带
🔍	放大镜 向 左 倾斜
🔎	放大镜 向 右 倾斜
🕯️	蜡烛
🕯	蜡烛
💡	灯泡
🔦	手电筒
🏮	红纸 灯笼
📔	带 装饰 封面 的 笔记本
📕	合上 的 书
📖	打开 书
📗	绿皮书
📘	蓝皮书
📙	橙皮书
📚	图书
📓	笔记本
📒	分类 帐
📃	有 卷曲 的 页面
📜	滚动
📄	页面 朝上
📰	报纸
🗞️	卷 起来 的 报纸
🗞	卷 起来 的 报纸
📑	书签 标签
🔖	书签
🏷️	标签
🏷	标签
💰	钱袋子
💴	日元 钞票
💵	美元 钞票
💶	欧元 纸币
💷	英镑 钞票
💸	带 翅膀 的 钱
💳	信用卡
🧾	收据
💹	随 日元 增加 的 图表
💱	货币 兑换
💲	重 美元 符号
✉️	信封
✉	信封
📧	电子 邮件
📨	传入 信封
📩	带 箭头 的 信封
📤	发件箱 托盘
📥	收件箱 托盘
📦	包裹
📫	带有 升旗 的 封闭 邮箱
📪	关闭 的 邮箱 并 降下 旗帜
📬	打开 带有 升旗 的 邮箱
📭	打开 邮箱 并 降下 旗帜
📮	邮箱
🗳️	带 选票 的 投票箱
🗳	带 选票 的 投票箱
✏️	铅笔
✏	铅笔
✒️	黑色 笔尖
✒	黑色 笔尖
🖋️	钢笔
🖋	钢笔
🖊️	笔
🖊	笔
🖌️	画笔
🖌	画笔
🖍️	蜡笔
🖍	蜡笔
📝	备忘录
💼	公文包
📁	文件夹
📂	打开 文件夹
🗂️	卡片 索引 分隔线
🗂	卡片 索引 分隔线
📅	日历
📆	可 撕式 日历
🗒️	螺旋 记事本
🗒	螺旋 记事本
🗓️	螺旋 日历
🗓	螺旋 日历
📇	卡片 索引
📈	图表 增加
📉	图表 递减
📊	条形图
📋	剪 贴板
📌	图钉
📍	圆形 图钉
📎	回形 针
🖇️	链接 的 回形 针
🖇	链接 的 回形 针
📏	直尺
📐	三角尺
✂️	剪刀
✂	剪刀
🗃️	卡片 文件 盒
🗃	卡片 文件 盒
🗄️	文件 柜
🗄	文件 柜
🗑️	废 纸篓
🗑	废 纸篓
🔒	锁定
🔓	解锁
🔏	用笔 锁定
🔐	用 钥匙 锁 住
🔑	钥匙
🗝️	旧 钥匙
🗝	旧 钥匙
🔨	锤子
⛏️	挑选
⛏	挑选
⚒️	锤子 和 镐
⚒	锤子 和 镐
🛠️	锤子 和 扳手
🛠	锤子 和 扳手
🗡️	匕首
🗡	匕首
⚔️	交叉 的 剑
⚔	交叉 的 剑
🔫	手枪
🏹	弓箭
🛡️	盾
🛡	盾
🔧	扳手
🔩	螺母 和 螺栓
⚙️	齿轮
⚙	齿轮
🗜️	夹钳
🗜	夹钳
⚖️	天平 秤
⚖	天平 秤
🔗	关联
⛓️	链条
⛓	链条
🧰	工具箱
🧲	磁铁
⚗️	蒸馏器
⚗	蒸馏器
🧪	试管
🧫	培养皿
🧬	脱氧核糖核酸
🔬	显微镜
🔭	望远镜
📡	卫星 天线
💉	注射器
💊	丸
🚪	门
🛏️	床
🛏	床
🛋️	沙发 和 灯
🛋	沙发 和 灯
🚽	洗手间
🚿	淋浴
🛁	浴缸
🧴	乳液 瓶
🧷	安全 别针
🧹	扫帚
🧺	篮子
🧻	纸卷
🧼	肥皂
🧽	海绵
🧯	灭火器
🛒	购物车
🚬	香烟
⚰️	棺材
⚰	棺材
⚱️	骨灰盒
⚱	骨灰盒
🗿	摩艾
🏧	自动 取款机 标志
🚮	垃圾桶 标志 中 乱 扔 垃圾
🚰	饮用水
♿	轮椅 符号
🚹	男厕所
🚺	女 厕所
🚻	卫生间
🚼	婴儿 符号
🚾	洗手间
🛂	护照 控制
🛃	海关
🛄	行李 领取 处
🛅	行李 寄存
⚠️	警告
⚠	警告
🚸	儿童 穿越
⛔	禁止 驶入
🚫	禁止
🚳	自行车 禁行
🚭	禁止 抽烟
🚯	不 乱 扔 垃圾
🚱	非 饮用水
🚷	行人 禁止 通行
📵	没有 手机
🔞	没有 十八 岁 以下 的 人
☢️	放射性 的
☢	放射性 的
☣️	生物 危害
☣	生物 危害
⬆️	向上 箭头
⬆	向上 箭头
↗️	右 上 箭头
↗	右 上 箭头
➡️	右 箭头
➡	右 箭头
↘️	右下 箭头
↘	右下 箭头
⬇️	向下 箭头
⬇	向下 箭头
↙️	左下 箭头
↙	左下 箭头
⬅️	左箭头
⬅	左箭头
↖️	左上 箭头
↖	左上 箭头
↕️	上下 箭头
↕	上下 箭头
↔️	左右 箭头
↔	左右 箭头
↩️	右 箭头 向 左 弯曲
↩	右 箭头 向 左 弯曲
↪️	左箭头 向 右 弯曲
↪	左箭头 向 右 弯曲
⤴️	右 箭头 向上 弯曲
⤴	右 箭头 向上 弯曲
⤵️	右 箭头 向下 弯曲
⤵	右 箭头 向下 弯曲
🔃	顺时 针垂直 箭头
🔄	逆时 针箭头 按钮
🔙	返回 箭头
🔚	结束 箭头
🔛	开启 箭头
🔜	很快 箭头
🔝	顶部 箭头
🛐	宗教 场所
⚛️	原子符号
⚛	原子符号
🕉️	奥姆
🕉	奥姆
✡️	大卫 之 星
✡	大卫 之 星
☸️	法轮
☸	法轮
☯️	阴阳
☯	阴阳
✝️	拉丁 十字
✝	拉丁 十字
☦️	东正教 十字架
☦	东正教 十字架
☪️	星星 和 新月
☪	星星 和 新月
☮️	和平 象征
☮	和平 象征
🕎	烛台
🔯	虚线 六角星
♈	白羊座
♉	金牛座
♊	双子座
♋	癌症
♌	狮子座
♍	处女座
♎	天秤座
♏	天蝎座
♐	射手座
♑	摩羯座
♒	水瓶 座
♓	双鱼座
⛎	蛇 夫座
🔀	随机 播放 曲目 按钮
🔁	重复 按钮
🔂	重复 单个 按钮
▶️	播放 按钮
▶	播放 按钮
⏩	快进 按钮
⏭️	下 一 曲目 按钮
⏭	下 一 曲目 按钮
⏯️	播放 或 暂停 按钮
⏯	播放 或 暂停 按钮
◀️	反向 按钮
◀	反向 按钮
⏪	快退 按钮
⏮️	最后 一 首 曲目 按钮
⏮	最后 一 首 曲目 按钮
🔼	向上 按钮
⏫	快速 向上 按钮
🔽	向下 按钮
⏬	快速 向下 按钮
⏸️	暂停 按钮
⏸	暂停 按钮
⏹️	停止 按钮
⏹	停止 按钮
⏺️	录音 按钮
⏺	录音 按钮
⏏️	弹出 按钮
⏏	弹出 按钮
🎦	电影
🔅	调暗 按钮
🔆	明亮 的 按钮
📶	天线棒
📳	振动 模式
📴	手机 关机
♀️	女性 标志
♀	女性 标志
♂️	男性 标志
♂	男性 标志
⚕️	医学 符号
⚕	医学 符号
♾️	无穷
♾	无穷
♻️	回收 符号
♻	回收 符号
⚜️	百合花
⚜	百合花
🔱	三叉戟 徽章
📛	名卡
🔰	初学者 的 日语 符号
⭕	重大 圆
✅	白色 重复 选标 记
☑️	带 支票 的 投票箱
☑	带 支票 的 投票箱
✔️	重复 选标 记
✔	重复 选标 记
✖️	重 乘法 x
✖	重 乘法 x
❌	十字 标记
❎	十字 标记 按钮
➕	重加号
➖	重 减号
➗	重除 法 标志
➰	卷曲 环
➿	双卷 曲环
〽️	零件 交替 标记
〽	零件 交替 标记
✳️	八 辐 星号
✳	八 辐 星号
✴️	八角星
✴	八角星
❇️	火花
❇	火花
‼️	双 感叹号
‼	双 感叹号
⁉️	感叹号 问号
⁉	感叹号 问号
❓	问号
❔	白色 问号
❕	白色 感叹号
❗	感叹号
〰️	波浪 破 折号
〰	波浪 破 折号
©️	版权
©	版权
®️	挂号 的
®	挂号 的
™️	商标
™	商标
#️⃣	键帽 ： #
#⃣	键帽 ： #
*️⃣	键帽 ： *
*⃣	键帽 ： *
0️⃣	键帽 ： 0
0⃣	键帽 ： 0
1️⃣	键帽 ： 1 个
1⃣	键帽 ： 1 个
2️⃣	键帽 ： 2
2⃣	键帽 ： 2
3️⃣	键帽 ： 3
3⃣	键帽 ： 3
4️⃣	键帽 ： 4
4⃣	键帽 ： 4
5️⃣	键帽 ： 5
5⃣	键帽 ： 5
6️⃣	键帽 ： 6
6⃣	键帽 ： 6
7️⃣	键帽 ： 7
7⃣	键帽 ： 7
8️⃣	键帽 ： 8
8⃣	键帽 ： 8
9️⃣	键帽 ： 9
9⃣	键帽 ： 9
🔟	键帽 ： 10
💯	百分
🔠	输入 拉丁 大写 字母
🔡	输入 拉丁 小写 字母
🔢	输入 数字
🔣	输入 符号
🔤	输入 拉丁 字母
🅰️	A 按钮 （ 血型 ）
🅰	A 按钮 （ 血型 ）
🆎	AB 按钮 （ 血型 ）
🅱️	B 按钮 （ 血型 ）
🅱	B 按钮 （ 血型 ）
🆑	CL 按钮
🆒	酷 按钮
🆓	免费 按钮
ℹ️	信息
ℹ	信息
🆔	身份 识别 按钮
Ⓜ️	圆圈 中 的 M
Ⓜ	圆圈 中 的 M
🆕	新 按钮
🆖	不 合格 按钮
🅾️	O型 按钮 （ 血型 ）
🅾	O型 按钮 （ 血型 ）
🆗	确定 按钮
🅿️	P 按钮
🅿	P 按钮
🆘	求救 按钮
🆙	向上 按钮
🆚	VS 按钮
🈁	日语 “ 此处 ” 按钮
🈂️	日语 “ 服务费 ” 按钮
🈂	日语 “ 服务费 ” 按钮
🈷️	日语 “ 每月 金额 ” 按钮
🈷	日语 “ 每月 金额 ” 按钮
🈶	日语 “ 不 免费 ” 按钮
🈯	日语 “ 保留 ” 按钮
🉐	日本 的 “ 讨价还价 ” 按钮
🈹	日语 “ 折扣 ” 按钮
🈚	日语 “ 免费 ” 按钮
🈲	日语 “ 禁止 ” 按钮
🉑	日语 “ 可 接受 ” 按钮
🈸	日语 “ 申请 ” 按钮
🈴	日语 “ 及格 ” 按钮
🈳	日语 “ 空缺 ” 按钮
㊗️	日语 “ 恭喜 ” 按钮
㊗	日语 “ 恭喜 ” 按钮
㊙️	日语 “ 秘密 ” 按钮
㊙	日语 “ 秘密 ” 按钮
🈺	日语 “ 开门 营业 ” 按钮
🈵	日语 “ 无 空缺 ” 按钮
▪️	黑色 小方 块
▪	黑色 小方 块
▫️	白色 小方 块
▫	白色 小方 块
◻️	白色 中方形
◻	白色 中方形
◼️	黑色 中方形
◼	黑色 中方形
◽	白色 中小 正方形
◾	黑色 中小 方块
⬛	黑色 大方块
⬜	白色 大正 方形
🔶	大 橙色 钻石
🔷	大 蓝色 钻石
🔸	小 橙色 钻石
🔹	小 蓝色 钻石
🔺	红色 三角形 向上
🔻	红色 三角形 朝下
💠	带 点 的 钻石
🔘	单选 按钮
🔲	黑色 方形 按钮
🔳	白色 方形 按钮
⚪	白色 圆圈
⚫	黑色 圆圈
🔴	红色 圆圈
🔵	蓝色 圆圈
🏁	方格旗
🚩	三角旗
🎌	交叉 旗帜
🏴	黑旗
🏳️	白旗
🏳	白旗
🏳️‍🌈	彩虹 旗
🏳‍🌈	彩虹 旗
🏴‍☠️	海盗旗
🏴‍☠	海盗旗
🇦🇨	阿森松岛
🇦🇩	安道尔
🇦🇪	阿拉伯 联合 酋长国
🇦🇫	阿富汗
🇦🇬	安提瓜和巴布达
🇦🇮	安圭拉
🇦🇱	阿尔巴尼亚
🇦🇲	亚美尼亚
🇦🇴	安哥拉
🇦🇶	南极洲
🇦🇷	阿根廷
🇦🇸	美属萨摩亚
🇦🇹	奥地利
🇦🇺	澳大利亚
🇦🇼	阿鲁巴岛
🇦🇽	奥兰群岛
🇦🇿	阿塞拜疆
🇧🇦	波斯尼亚 和 黑塞 哥维 那
🇧🇧	巴巴多斯
🇧🇩	孟加拉国
🇧🇪	比利时
🇧🇫	布基纳法索
🇧🇬	保加利亚
🇧🇭	巴林
🇧🇮	布隆迪
🇧🇯	贝宁
🇧🇱	圣巴泰勒 米岛
🇧🇲	百慕大
🇧🇳	文莱
🇧🇴	玻利维亚
🇧🇶	加勒比 荷兰
🇧🇷	巴西
🇧🇸	巴哈马
🇧🇹	不丹
🇧🇻	布维岛
🇧🇼	博茨瓦纳
🇧🇾	白俄罗斯
🇧🇿	伯利兹
🇨🇦	加拿大
🇨🇨	科科斯 （ 基林 ） 群岛
🇨🇩	刚果 - 金沙萨
🇨🇫	中非共和国
🇨🇬	刚果 - 布拉柴维尔
🇨🇭	瑞士
🇨🇮	科特迪瓦
🇨🇰	库克 群岛
🇨🇱	智利
🇨🇲	喀麦隆
🇨🇳	中国
🇨🇴	哥伦比亚
🇨🇵	克利 珀顿 岛
🇨🇷	哥斯达黎加
🇨🇺	古巴
🇨🇻	佛得角
🇨🇼	库拉索
🇨🇽	圣诞岛
🇨🇾	塞浦路斯
🇨🇿	捷克
🇩🇪	德国
🇩🇬	迪戈加西亚岛
🇩🇯	吉布提
🇩🇰	丹麦
🇩🇲	多米尼加
🇩🇴	多明尼加共和国
🇩🇿	阿尔及利亚
🇪🇦	休达 和 梅利利亚
🇪🇨	厄瓜多尔
🇪🇪	爱沙尼亚
🇪🇬	埃及
🇪🇭	撒哈拉 沙漠 西部
🇪🇷	厄立特里亚
🇪🇸	西班牙
🇪🇹	埃塞俄比亚
🇪🇺	欧洲 联盟
🇫🇮	芬兰
🇫🇯	斐济
🇫🇰	福克兰 群岛
🇫🇲	密克罗尼西亚
🇫🇴	法罗 群岛
🇫🇷	法国
🇬🇦	加蓬
🇬🇧	英国
🇬🇩	格林纳达
🇬🇪	乔治亚州
🇬🇫	法属圭亚那
🇬🇬	根西岛
🇬🇭	加纳
🇬🇮	直布罗陀
🇬🇱	格陵兰
🇬🇲	冈比亚
🇬🇳	几内亚
🇬🇵	瓜德罗普岛
🇬🇶	赤道几内亚
🇬🇷	希腊
🇬🇸	南 乔治亚岛 和 南桑威奇 群岛
🇬🇹	危地马拉
🇬🇺	关岛
🇬🇼	几内亚 比绍
🇬🇾	圭亚那
🇭🇰	中国 香港 特别 行政区
🇭🇲	赫德岛 和 麦克唐纳 群岛
🇭🇳	洪都拉斯
🇭🇷	克罗地亚
🇭🇹	海地
🇭🇺	匈牙利
🇮🇨	加那利 群岛
🇮🇩	印度尼西亚
🇮🇪	爱尔兰
🇮🇱	以色列
🇮🇲	马恩岛
🇮🇳	印度
🇮🇴	英属 印度洋 领地
🇮🇶	伊拉克
🇮🇷	伊朗
🇮🇸	冰岛
🇮🇹	意大利
🇯🇪	球衣
🇯🇲	牙买加
🇯🇴	约旦
🇯🇵	日本
🇰🇪	肯尼亚
🇰🇬	吉尔吉斯斯坦
🇰🇭	柬埔寨
🇰🇮	基里巴斯
🇰🇲	科摩罗
🇰🇳	圣基茨和尼维斯
🇰🇵	北 朝鲜
🇰🇷	韩国
🇰🇼	科威特
🇰🇾	开曼 群岛
🇰🇿	哈萨克斯坦
🇱🇦	老挝
🇱🇧	黎巴嫩
🇱🇨	圣卢西亚
🇱🇮	列支敦士登
🇱🇰	斯里兰卡
🇱🇷	利比里亚
🇱🇸	莱索托
🇱🇹	立陶宛
🇱🇺	卢森堡
🇱🇻	拉脱维亚
🇱🇾	利比亚
🇲🇦	摩洛哥
🇲🇨	摩纳哥
🇲🇩	摩尔多瓦
🇲🇪	黑山
🇲🇫	圣马丁
🇲🇬	马达加斯加
🇲🇭	马绍尔 群岛
🇲🇰	马其顿
🇲🇱	马里
🇲🇲	缅甸 （ 缅甸 ）
🇲🇳	蒙古
🇲🇴	中国 澳门 特别 行政区
🇲🇵	北马里亚纳群岛
🇲🇶	马提尼克岛
🇲🇷	毛里塔尼亚
🇲🇸	蒙特塞拉特
🇲🇹	马耳他
🇲🇺	毛里求斯
🇲🇻	马尔代夫
🇲🇼	马拉维
🇲🇽	墨西哥
🇲🇾	马来西亚
🇲🇿	莫桑比克
🇳🇦	纳米比亚
🇳🇨	新喀里多尼亚
🇳🇪	尼日尔
🇳🇫	诺福克岛
🇳🇬	尼日利亚
🇳🇮	尼加拉瓜
🇳🇱	荷兰
🇳🇴	挪威
🇳🇵	尼泊尔
🇳🇷	瑙鲁
🇳🇺	纽埃
🇳🇿	新西兰
🇴🇲	阿曼
🇵🇦	巴拿马
🇵🇪	秘鲁
🇵🇫	法属波利尼西亚
🇵🇬	巴布亚新几内亚
🇵🇭	菲律宾
🇵🇰	巴基斯坦
🇵🇱	波兰
🇵🇲	圣皮埃尔和密克隆 群岛
🇵🇳	皮特凯恩 群岛
🇵🇷	波多黎各
🇵🇸	巴勒斯坦 领土
🇵🇹	葡萄牙
🇵🇼	帕劳
🇵🇾	巴拉圭
🇶🇦	卡塔尔
🇷🇪	团圆
🇷🇴	罗马尼亚
🇷🇸	塞尔维亚
🇷🇺	俄罗斯
🇷🇼	卢旺达
🇸🇦	沙特阿拉伯
🇸🇧	所罗门 群岛
🇸🇨	塞舌尔
🇸🇩	苏丹
🇸🇪	瑞典
🇸🇬	新加坡
🇸🇭	圣赫勒 拿岛
🇸🇮	斯洛文尼亚
🇸🇯	斯瓦尔巴群岛 和 扬马 延岛
🇸🇰	斯洛伐克
🇸🇱	塞拉利昂
🇸🇲	圣马力诺
🇸🇳	塞内加尔
🇸🇴	索马里
🇸🇷	苏里南
🇸🇸	南 苏丹
🇸🇹	圣多美和普林西比
🇸🇻	萨尔瓦多
🇸🇽	圣马丁岛
🇸🇾	叙利亚
🇸🇿	斯威士兰
🇹🇦	特里斯坦·达库尼亚
🇹🇨	特克斯和凯科斯 群岛
🇹🇩	乍得
🇹🇫	法属 南部 领土
🇹🇬	多哥
🇹🇭	泰国
🇹🇯	塔吉克斯坦
🇹🇰	托克劳
🇹🇱	东帝汶
🇹🇲	土库曼斯坦
🇹🇳	突尼斯
🇹🇴	汤加
🇹🇷	火鸡
🇹🇹	特立尼达和多巴哥
🇹🇻	图瓦卢
🇹🇼	台湾
🇹🇿	坦桑尼亚
🇺🇦	乌克兰
🇺🇬	乌干达
🇺🇲	美国 离岛
🇺🇳	联合国
🇺🇸	美国
🇺🇾	乌拉圭
🇺🇿	乌兹别克斯坦
🇻🇦	梵蒂冈 城
🇻🇨	圣文森特 和 格林纳丁斯
🇻🇪	委内瑞拉
🇻🇬	英属维尔京群岛
🇻🇮	美 属 维尔京 群岛
🇻🇳	越南
🇻🇺	瓦努阿图
🇼🇫	瓦利斯和富图纳群岛
🇼🇸	萨摩亚
🇽🇰	科索沃
🇾🇪	也门
🇾🇹	马约 特岛
🇿🇦	南非
🇿🇲	赞比亚
🇿🇼	津巴布韦
🏴󠁧󠁢󠁥󠁮󠁧󠁿	英格兰
🏴󠁧󠁢󠁳󠁣󠁴󠁿	苏格兰
🏴󠁧󠁢󠁷󠁬󠁳󠁿	威尔士
