😀	笑臉
🍋	檸檬
🍌	香蕉
🍍	鳳梨
🥭	芒果
🍎	紅 蘋果
🍏	青蘋果
🍐	梨
🍑	桃
🍒	櫻桃
🍓	草莓
🥝	奇 異果
🍅	番茄
🥥	椰子
🥑	酪梨
🍆	茄子
🥔	馬 鈴薯
🥕	紅蘿 蔔
🌽	玉米 穗
🌶️	辣椒
🌶	辣椒
🥒	黃瓜
🥬	綠葉
🥦	綠色 花椰菜
🍄	菇
🥜	花生
🌰	栗
🍞	麵包
🥐	羊角 麵包
🥖	長棍 麵包
🥨	椒鹽 捲餅
🥯	貝果
🥞	薄 煎餅
🧀	起 司角
🍖	骨頭 上 的 肉
🍗	家禽 腿
🥩	切肉
🥓	培根
🍔	漢堡
🍟	薯條
🍕	披薩
🌭	熱狗
🥪	三明治
🌮	墨西哥 玉米餅
🌯	墨西哥 捲餅
🥙	大餅
🥚	蛋
🍳	烹飪
🥘	淺盤 食物
🍲	一 鍋 食物
🥣	帶 湯匙 的 碗
🥗	綠色 的 沙拉
🍿	爆米花
🧂	鹽
🥫	罐頭 食品
🍱	便 當盒
🍘	米果
🍙	飯糰
🍚	熟米 飯
🍛	咖哩飯
🍜	蒸碗
🍝	義大利細 麵條
🍠	烤 地瓜
🍢	奧登
🍣	壽司
🍤	炒 蝦仁
🍥	帶 有 漩渦 的 魚餅
🥮	月餅
🍡	團子
🥟	餃子
🥠	幸運 餅乾
🥡	外帶盒
🍦	軟 冰淇淋
🍧	刨冰
🍨	冰淇淋
🍩	油炸圈 餅
🍪	餅乾
🎂	生日 蛋糕
🍰	脆餅
🧁	紙杯 蛋糕
🥧	派
🍫	巧克力 吧
🍬	糖果
🍭	棒糖
🍮	卡仕 達醬
🍯	蜜罐
🍼	嬰兒 奶瓶
🥛	一 杯 牛奶
☕	熱飲
🍵	無柄 茶杯
🍶	清酒
🍾	軟木塞 爆開 的 瓶子
🍷	紅酒杯
🍸	雞尾 酒杯
🍹	熱帶 飲料
🍺	啤酒杯
🍻	叮噹 作響 的 啤酒杯
🥂	叮噹 作響 的 眼鏡
🥃	玻璃杯
🥤	帶 吸管 的 杯子
🥢	筷子
🍽️	帶 盤子 的 叉子 和 刀子
🍽	帶 盤子 的 叉子 和 刀子
🍴	刀叉
🥄	湯匙
🔪	花椰 菜刀
🏺	雙耳瓶
🌍	顯示 歐洲 - 非洲 的 地球 儀
🌎	顯示 美洲 的 地球 儀
🌏	顯示 亞洲 - 澳洲 的 地球 儀
🌐	有 經絡 的 地球 儀
🗺️	世界 地圖
🗺	世界 地圖
🗾	日本 地圖
🧭	羅盤
🏔️	雪山
🏔	雪山
⛰️	山
⛰	山
🌋	火山
🗻	富士山
🏕️	露營
🏕	露營
🏖️	帶傘 的 海灘
🏖	帶傘 的 海灘
🏜️	沙漠
🏜	沙漠
🏝️	沙漠 荒島
🏝	沙漠 荒島
🏞️	國家 公園
🏞	國家 公園
🏟️	體育 場
🏟	體育 場
🏛️	古典 建築
🏛	古典 建築
🏗️	建築 施工
🏗	建築 施工
🧱	磚塊
🏘️	房屋
🏘	房屋
🏚️	廢棄 的 房子
🏚	廢棄 的 房子
🏠	房子
🏡	帶花園 的 房子
🏢	辦公 大樓
🏣	日本 郵局
🏤	郵局
🏥	醫院
🏦	銀行
🏨	飯店
🏩	愛情 飯店
🏪	便利 商店
🏫	學校
🏬	百貨 公司
🏭	工廠
🏯	日本 城堡
🏰	城堡
💒	婚禮
🗼	東 京鐵
🗽	自由 女神像
⛪	教會
🕌	清真寺
🕍	猶 太 教堂
⛩️	神社
⛩	神社
🕋	天房
⛲	噴泉
⛺	帳篷
🌁	有 霧
🌃	有 星星 的 夜晚
🏙️	城市 景觀
🏙	城市 景觀
🌄	山上 的 日出
🌅	日出
🌆	黃昏時 的 城市 景觀
🌇	日落
🌉	晚上 的 橋
♨️	溫泉
♨	溫泉
🌌	銀河系
🎠	旋轉 木馬
🎡	摩天 輪
🎢	雲霄 飛車
💈	理髮店 招牌
🎪	馬 戲團 帳篷
🚂	機車
🚃	火車 車廂
🚄	高速 火車
🚅	子彈 列車
🚆	火車
🚇	捷運
🚈	輕軌
🚉	車站
🚊	電車
🚝	單軌 鐵路
🚞	山區 鐵路
🚋	電車
🚌	公車
🚍	迎面而來 的 巴士
🚎	電車
🚐	小巴
🚑	救護 車
🚒	消防車
🚓	警車
🚔	迎面而來 的 警車
🚕	計程 車
🚖	迎面而來 的 計程 車
🚗	汽車
🚘	迎面而來 的 汽車
🚙	運動型 多 用途 車
🚚	送 貨 卡車
🚛	鉸接式 貨車
🚜	聯結 機
🚲	自行車
🛴	踢 滑板車
🛹	滑板
🛵	小型 摩托車
🚏	公車站
🛣️	高速 公路
🛣	高速 公路
🛤️	鐵路 軌道
🛤	鐵路 軌道
🛢️	油桶
🛢	油桶
⛽	燃油 幫浦
🚨	警車 燈
🚥	水平 交通 燈
🚦	垂直 交通燈
🛑	停止 標誌
🚧	建造
⚓	錨
⛵	帆船
🛶	獨 木舟
🚤	快艇
🛳️	客船
🛳	客船
⛴️	渡輪
⛴	渡輪
🛥️	摩托艇
🛥	摩托艇
🚢	船
✈️	飛機
✈	飛機
🛩️	小 飛機
🛩	小 飛機
🛫	飛機 起飛
🛬	飛機 到 達
💺	座位
🚁	直升機
🚟	懸浮 鐵路
🚠	山地 索道
🚡	空中 纜車
🛰️	衛星
🛰	衛星
🚀	火箭
🛸	飛碟
🛎️	侍者 鈴
🛎	侍者 鈴
🧳	行李
⌛	沙漏 完成
⏳	沙漏 未 完成
⌚	手錶
⏰	鬧鐘
⏱️	跑表
⏱	跑表
⏲️	定時器 時鐘
⏲	定時器 時鐘
🕰️	壁爐 桌鐘
🕰	壁爐 桌鐘
🕛	十二 點
🕧	十二 點 三十分
🕐	一 點 鐘
🕜	三十分之一
🕑	兩點 鐘
🕝	兩點 三十分
🕒	三 點 整
🕞	三 點 半
🕓	四點鐘
🕟	四 點 三十分
🕔	五 點
🕠	五 點 半
🕕	六點鐘
🕡	六 點 半
🕖	七點鐘
🕢	七 點 半
🕗	八 點
🕣	八 點 半
🕘	九點鐘
🕤	9 30
🕙	十點鐘
🕥	十 點 半
🕚	十一 點
🕦	十一 點 三十分
🌑	新月
🌒	上 弦月
🌓	上 弦月
🌔	凸月
🌕	滿月
🌖	虧 凸月
🌗	下弦月
🌘	殘月
🌙	新月
🌚	新 月臉
🌛	上 弦月 臉
🌜	下弦 月臉
🌡️	溫度 計
🌡	溫度 計
☀️	太 陽
☀	太 陽
🌝	滿月 臉
🌞	太 陽 與臉
⭐	星星
🌟	發光 的 星星
🌠	流星
☁️	雲
☁	雲
⛅	雲層 後方 的 太 陽
⛈️	雲與 閃電 和 雨
⛈	雲與 閃電 和 雨
🌤️	小 雲朵 後面 的 太 陽
🌤	小 雲朵 後面 的 太 陽
🌥️	太 陽 在 大雲 後面
🌥	太 陽 在 大雲 後面
🌦️	太 陽 在 雨雲 後面
🌦	太 陽 在 雨雲 後面
🌧️	雲 有 雨
🌧	雲 有 雨
🌨️	雲 與雪
🌨	雲 與雪
🌩️	雲與 閃電
🌩	雲與 閃電
🌪️	龍捲 風
🌪	龍捲 風
🌫️	多 霧 路段
🌫	多 霧 路段
🌬️	風臉
🌬	風臉
🌀	氣旋
🌈	彩虹
🌂	閉合 的 傘
☂️	傘
☂	傘
☔	有 雨滴 的 雨傘
⛱️	地上 的 傘
⛱	地上 的 傘
⚡	高壓
❄️	雪花
❄	雪花
☃️	雪人
☃	雪人
⛄	沒有 雪 的 雪人
☄️	彗星
☄	彗星
🔥	火
💧	水滴
🌊	水波
🎃	南瓜 燈
🎄	聖誕樹
🎆	煙火
🎇	煙火
🧨	鞭炮
✨	閃閃 發光
🎈	氣球
🎉	禮花
🎊	五彩 紙屑球
🎋	七夕樹
🎍	松木 裝飾
🎎	日本 娃娃
🎏	鯉 魚旗
🎐	風鈴
🎑	賞月 儀式
🧧	紅色 信封
🎀	絲帶
🎁	包裝 好的 禮物
🎗️	提醒 絲帶
🎗	提醒 絲帶
🎟️	門票
🎟	門票
🎫	票
🎖️	軍事 獎章
🎖	軍事 獎章
🏆	杯
🏅	運動 獎牌
🥇	第一 名 獎牌
🥈	第二 名 獎牌
🥉	第三 名 獎牌
⚽	足球
⚾	棒球
🥎	壘球
🏀	籃球
🏐	排球
🏈	美式 足球
🏉	橄欖球
🎾	網球
🥏	飛盤
🎳	保齡球
🏏	板球 比賽
🏑	曲棍球
🏒	冰 上 曲棍球
🥍	長曲 棍球
🏓	乒乓
🏸	羽毛球
🥊	拳擊 手套
🥋	武術服
🥅	球門 網
⛳	旗子 插 在 洞裡
⛸️	滑冰
⛸	滑冰
🎣	釣竿
🎽	跑步 襯衫
🎿	滑雪板
🛷	雪橇
🥌	冰壺石
🎯	直接 命中
🎱	英式 撞球 8 球
🔮	水晶球
🧿	納札 爾護 身符
🎮	電玩 遊戲
🕹️	搖桿
🕹	搖桿
🎰	老虎 機
🎲	遊戲 死亡
🧩	拼圖
🧸	玩具 熊
♠️	黑桃 花色
♠	黑桃 花色
♥️	心形 套裝
♥	心形 套裝
♦️	鑽石 套裝
♦	鑽石 套裝
♣️	俱樂部 套裝
♣	俱樂部 套裝
♟️	國際象棋 棋子
♟	國際象棋 棋子
🃏	小丑
🀄	麻將 紅龍
🎴	花撲 克牌
🎭	表演 藝術
🖼️	帶框 的 圖片
🖼	帶框 的 圖片
🎨	藝術家 調色板
🧵	線
🧶	紗
🔇	靜音 揚聲器
🔈	揚聲器 音量 小
🔉	揚聲器 中等 音量
🔊	揚聲器 高音量
📢	喇叭
📣	擴音器
📯	郵政 號角
🔔	鐘
🔕	斜線 的 鐘形
🎼	樂譜
🎵	音符
🎶	音符
🎙️	錄音室 麥 克風
🎙	錄音室 麥 克風
🎚️	水平 滑桿
🎚	水平 滑桿
🎛️	控制 旋鈕
🎛	控制 旋鈕
🎤	麥克風
🎧	耳機
📻	收音機
🎷	薩克斯風
🎸	吉他
🎹	音樂 鍵盤
🎺	喇叭
🎻	小提琴
🥁	鼓
📱	智慧型 手機
📲	有 箭頭 的 手機
☎️	電話
☎	電話
📞	電話 聽筒
📟	呼叫器
📠	傳 真 機
🔋	電池
🔌	電 插頭
💻	筆記型 電腦
🖥️	桌上型 電腦
🖥	桌上型 電腦
🖨️	印表 機
🖨	印表 機
⌨️	鍵盤
⌨	鍵盤
🖱️	電腦 滑鼠
🖱	電腦 滑鼠
🖲️	軌跡球
🖲	軌跡球
💽	電腦 磁碟
💾	軟碟
💿	光碟
📀	DVD
🧮	算盤
🎥	電影 攝 影機
🎞️	膠卷
🎞	膠卷
📽️	電影 放映 機
📽	電影 放映 機
🎬	場 記板
📺	電視
📷	相機
📸	附閃 光燈 的 相機
📹	錄影 機
📼	錄影 帶
🔍	放 大鏡 向 左傾 斜
🔎	放 大鏡 向 右 傾 斜
🕯️	蠟燭
🕯	蠟燭
💡	燈泡
🔦	手電筒
🏮	紅紙 燈籠
📔	裝飾 封面 的 筆記 本
📕	合上 的 書
📖	打開 書
📗	綠皮 書
📘	藍皮 書
📙	橘子 皮書
📚	圖書
📓	筆記 本
📒	分類 帳
📃	有 捲曲 的 頁面
📜	捲動
📄	頁面 朝上
📰	報紙
🗞️	捲 起來 的 報紙
🗞	捲 起來 的 報紙
📑	書籤 標籤
🔖	書籤
🏷️	標籤
🏷	標籤
💰	錢袋子
💴	日元 鈔票
💵	美元 鈔票
💶	歐元 紙幣
💷	英鎊 鈔票
💸	帶 翅膀 的 錢
💳	信用卡
🧾	收據
💹	隨日 圓 增加 的 圖表
💱	貨幣 兌換
💲	重 美元 符號
✉️	信封
✉	信封
📧	電子 郵件
📨	傳入 信封
📩	帶箭頭 的 信封
📤	寄件箱 托盤
📥	收件 匣托盤
📦	包裹
📫	帶 有 升旗 的 封閉 信箱
📪	關閉 的 郵箱 並 降下 旗幟
📬	打開 有 升旗 的 信箱
📭	打開 郵箱 並 降下 旗幟
📮	信箱
🗳️	帶 選票 的 投票箱
🗳	帶 選票 的 投票箱
✏️	鉛筆
✏	鉛筆
✒️	黑色 筆尖
✒	黑色 筆尖
🖋️	鋼筆
🖋	鋼筆
🖊️	筆
🖊	筆
🖌️	畫筆
🖌	畫筆
🖍️	蠟筆
🖍	蠟筆
📝	備 忘錄
💼	公事 包
📁	資料 夾
📂	打開 資料 夾
🗂️	卡片 索引 分隔 線
🗂	卡片 索引 分隔 線
📅	日曆
📆	可 撕式 日曆
🗒️	螺旋 記事 本
🗒	螺旋 記事 本
🗓️	螺旋 日曆
🗓	螺旋 日曆
📇	卡片 索引
📈	圖表 增加
📉	圖表 遞減
📊	長條 圖
📋	剪貼簿
📌	圖釘
📍	圓形 圖釘
📎	迴紋 針
🖇️	連結 的 迴紋 針
🖇	連結 的 迴紋 針
📏	直尺
📐	三角尺
✂️	剪刀
✂	剪刀
🗃️	卡片 文件 盒
🗃	卡片 文件 盒
🗄️	文件 櫃
🗄	文件 櫃
🗑️	廢紙 簍
🗑	廢紙 簍
🔒	鎖定
🔓	解鎖
🔏	用 筆 鎖定
🔐	用 鑰匙 鎖住
🔑	鑰匙
🗝️	舊 鑰匙
🗝	舊 鑰匙
🔨	錘子
⛏️	挑選
⛏	挑選
⚒️	錘子 和 鎬
⚒	錘子 和 鎬
🛠️	錘子 和 扳手
🛠	錘子 和 扳手
🗡️	匕首
🗡	匕首
⚔️	交叉 的 劍
⚔	交叉 的 劍
🔫	手槍
🏹	弓箭
🛡️	盾
🛡	盾
🔧	扳手
🔩	螺帽 和 螺栓
⚙️	齒輪
⚙	齒輪
🗜️	夾鉗
🗜	夾鉗
⚖️	天平 秤
⚖	天平 秤
🔗	關聯
⛓️	鏈條
⛓	鏈條
🧰	工具箱
🧲	磁鐵
⚗️	蒸餾器
⚗	蒸餾器
🧪	試管
🧫	培養 皿
🧬	脫氧核糖核酸
🔬	顯 微鏡
🔭	望遠鏡
📡	衛星 天線
💉	注射器
💊	丸
🚪	門
🛏️	床
🛏	床
🛋️	沙發 和 燈
🛋	沙發 和 燈
🚽	洗手間
🚿	淋浴
🛁	浴缸
🧴	乳液 瓶
🧷	安全 別針
🧹	掃帚
🧺	籃子
🧻	紙捲
🧼	肥皂
🧽	海綿
🧯	滅火器
🛒	購物 車
🚬	香菸
⚰️	棺材
⚰	棺材
⚱️	骨灰盒
⚱	骨灰盒
🗿	摩艾
🏧	自動 櫃 員機 標誌
🚮	垃圾桶 標誌 中 亂丟 垃圾
🚰	飲 用水
♿	輪椅 符號
🚹	男廁
🚺	女廁
🚻	廁 所
🚼	嬰兒 符號
🚾	洗手間
🛂	護照 管制
🛃	海關
🛄	行李 領取 處
🛅	行李 寄存
⚠️	警告
⚠	警告
🚸	兒童 穿越
⛔	禁止 駛入
🚫	禁止
🚳	自行車 禁行
🚭	禁止 抽煙
🚯	不 亂丟 垃圾
🚱	非飲 用水
🚷	行人 禁止 通行
📵	沒有 手機
🔞	沒有 十八 歲 以下 的 人
☢️	放射性 的
☢	放射性 的
☣️	生物 危害
☣	生物 危害
⬆️	向上 箭頭
⬆	向上 箭頭
↗️	右上 箭頭
↗	右上 箭頭
➡️	右箭 頭
➡	右箭 頭
↘️	右下 箭頭
↘	右下 箭頭
⬇️	向下 箭頭
⬇	向下 箭頭
↙️	左下 箭頭
↙	左下 箭頭
⬅️	左箭 頭
⬅	左箭 頭
↖️	左上 箭頭
↖	左上 箭頭
↕️	上下 箭 頭
↕	上下 箭 頭
↔️	左右 箭頭
↔	左右 箭頭
↩️	右箭 頭 向 左 彎曲
↩	右箭 頭 向 左 彎曲
↪️	左箭 頭 向 右 彎曲
↪	左箭 頭 向 右 彎曲
⤴️	右箭 頭 向上 彎曲
⤴	右箭 頭 向上 彎曲
⤵️	右箭 頭 向下 彎曲
⤵	右箭 頭 向下 彎曲
🔃	順 時針 垂直 箭 頭
🔄	逆時 針箭 頭 按 鈕
🔙	返回 箭頭
🔚	結束 箭頭
🔛	開啟 箭頭
🔜	很快 箭頭
🔝	頂部 箭頭
🛐	宗教 場 所
⚛️	原子符號
⚛	原子符號
🕉️	奧姆
🕉	奧姆
✡️	大衛 之 星
✡	大衛 之 星
☸️	法輪
☸	法輪
☯️	陰陽
☯	陰陽
✝️	拉丁 十字
✝	拉丁 十字
☦️	東正教 十字架
☦	東正教 十字架
☪️	星星 和 新月
☪	星星 和 新月
☮️	和平 象徵
☮	和平 象徵
🕎	燭台
🔯	虛線 六角星
♈	牡羊座
♉	金牛座
♊	雙子 座
♋	癌症
♌	獅子 座
♍	處 女座
♎	天秤座
♏	天蠍座
♐	射手座
♑	摩羯座
♒	水瓶 座
♓	雙魚座
⛎	蛇 夫座
🔀	隨機 播放 曲目 按 鈕
🔁	重複 按鈕
🔂	重複 單 一 按 鈕
▶️	播放 鈕
▶	播放 鈕
⏩	快轉 按 鈕
⏭️	下 一 曲 目鈕
⏭	下 一 曲 目鈕
⏯️	播放 或 暫停 按 鈕
⏯	播放 或 暫停 按 鈕
◀️	反向 按鈕
◀	反向 按鈕
⏪	快退 按 鈕
⏮️	最後 一 首 曲 目鈕
⏮	最後 一 首 曲 目鈕
🔼	向上 按鈕
⏫	快速 向上 按鈕
🔽	向下 按鈕
⏬	快速 向下 按鈕
⏸️	暫停 按 鈕
⏸	暫停 按 鈕
⏹️	停止 按鈕
⏹	停止 按鈕
⏺️	錄音 按 鈕
⏺	錄音 按 鈕
⏏️	彈出 按鈕
⏏	彈出 按鈕
🎦	電影
🔅	調暗 按 鈕
🔆	明亮 的 按鈕
📶	天線棒
📳	振動 模式
📴	手機 關機
♀️	女性 標誌
♀	女性 標誌
♂️	男性 標誌
♂	男性 標誌
⚕️	醫學 符號
⚕	醫學 符號
♾️	無窮
♾	無窮
♻️	回收 符號
♻	回收 符號
⚜️	百合花
⚜	百合花
🔱	三叉戟 徽章
📛	名卡
🔰	初學者 的 日文 符號
⭕	重大 圓
✅	白色 重複 選 標記
☑️	帶 支票 的 投票箱
☑	帶 支票 的 投票箱
✔️	重複 選 標記
✔	重複 選 標記
✖️	重 乘法 x
✖	重 乘法 x
❌	十字 標記
❎	十字 標記 按 鈕
➕	重 加號
➖	重減 號
➗	重除 法標 誌
➰	捲曲 環
➿	雙捲 曲環
〽️	零件 交替 標記
〽	零件 交替 標記
✳️	八 輻 星號
✳	八 輻 星號
✴️	八角星
✴	八角星
❇️	火花
❇	火花
‼️	雙驚 嘆號
‼	雙驚 嘆號
⁉️	驚嘆 號問 號
⁉	驚嘆 號問 號
❓	問號
❔	白色 問號
❕	白色 驚嘆 號
❗	驚嘆 號
〰️	波浪 破 折號
〰	波浪 破 折號
©️	版權
©	版權
®️	掛號 的
®	掛號 的
™️	商標
™	商標
#️⃣	鍵帽 ： #
#⃣	鍵帽 ： #
*️⃣	鍵帽 ： *
*⃣	鍵帽 ： *
0️⃣	鍵帽 ： 0
0⃣	鍵帽 ： 0
1️⃣	鍵帽 ： 1 個
1⃣	鍵帽 ： 1 個
2️⃣	鍵帽 ： 2
2⃣	鍵帽 ： 2
3️⃣	鍵帽 ： 3
3⃣	鍵帽 ： 3
4️⃣	鍵帽 ： 4
4⃣	鍵帽 ： 4
5️⃣	鍵帽 ： 5
5⃣	鍵帽 ： 5
6️⃣	鍵帽 ： 6
6⃣	鍵帽 ： 6
7️⃣	鍵帽 ： 7
7⃣	鍵帽 ： 7
8️⃣	鍵帽 ： 8
8⃣	鍵帽 ： 8
9️⃣	鍵帽 ： 9
9⃣	鍵帽 ： 9
🔟	鍵帽 ： 10
💯	百分
🔠	輸入 拉丁大寫 字母
🔡	輸入 拉丁 小寫 字母
🔢	輸入 數字
🔣	輸入 符號
🔤	輸入 拉丁 字母
🅰️	A鈕 （ 血型 ）
🅰	A鈕 （ 血型 ）
🆎	AB 按鈕 （ 血型 ）
🅱️	B鈕 （ 血型 ）
🅱	B鈕 （ 血型 ）
🆑	CL鈕
🆒	酷按鈕
🆓	免費 按鈕
ℹ️	資訊
ℹ	資訊
🆔	識別 按 鈕
Ⓜ️	圓圈 中 的 M
Ⓜ	圓圈 中 的 M
🆕	新 按鈕
🆖	不 合格 按鈕
🅾️	O型 鈕 （ 血型 ）
🅾	O型 鈕 （ 血型 ）
🆗	確定 按鈕
🅿️	P按鈕
🅿	P按鈕
🆘	求救 按 鈕
🆙	向上 按鈕
🆚	VS 按鈕
🈁	日文 「 此 處 」 按 鈕
🈂️	日文 「 服務費 」 按 鈕
🈂	日文 「 服務費 」 按 鈕
🈷️	日文 「 每月 金額 」 按 鈕
🈷	日文 「 每月 金額 」 按 鈕
🈶	日文 「 不 免費 」 按 鈕
🈯	日文 「 保留 」 按 鈕
🉐	日本 的 「 討價 還價 」 按 鈕
🈹	日文 “ 折扣 ” 按鈕
🈚	日文 “ 免費 ” 按 鈕
🈲	日文 「 禁止 」 按 鈕
🉑	日文 「 可 接受 」 按 鈕
🈸	日文 「 申請 」 按 鈕
🈴	日文 「 及格 」 按 鈕
🈳	日文 「 空缺 」 按 鈕
㊗️	日文 「 恭喜 」 按 鈕
㊗	日文 「 恭喜 」 按 鈕
㊙️	日文 “ 秘密 ” 按 鈕
㊙	日文 “ 秘密 ” 按 鈕
🈺	日文 「 開門 營業 」 按 鈕
🈵	日文 「 無 空缺 」 按 鈕
▪️	黑色 小方 塊
▪	黑色 小方 塊
▫️	白色 小方 塊
▫	白色 小方 塊
◻️	白色 中方形
◻	白色 中方形
◼️	黑色 中方形
◼	黑色 中方形
◽	白色 中小 正方形
◾	黑色 中小方 塊
⬛	黑色 大方塊
⬜	白色 大正 方形
🔶	大 橘色 鑽石
🔷	大 藍色 鑽石
🔸	小 橘色 鑽石
🔹	小 藍色 鑽石
🔺	紅色 三角形 向上
🔻	紅色 三角形 朝下
💠	帶點 的 鑽石
🔘	單選 按 鈕
🔲	黑色 方形 按 鈕
🔳	白色 方形 按 鈕
⚪	白色 圓圈
⚫	黑色 圓圈
🔴	紅色 圓圈
🔵	藍色 圓圈
🏁	方格旗
🚩	三角旗
🎌	交叉 旗幟
🏴	黑旗
🏳️	白旗
🏳	白旗
🏳️‍🌈	彩虹 旗
🏳‍🌈	彩虹 旗
🏴‍☠️	海盜旗
🏴‍☠	海盜旗
🇦🇨	阿森松島
🇦🇩	安道 爾
🇦🇪	阿拉伯 聯合 大 公國
🇦🇫	阿富汗
🇦🇬	安地卡 及 巴布達
🇦🇮	安圭拉
🇦🇱	阿爾巴尼亞
🇦🇲	亞美尼亞
🇦🇴	安哥拉
🇦🇶	南極洲
🇦🇷	阿根廷
🇦🇸	美 屬薩 摩亞
🇦🇹	奧地利
🇦🇺	澳洲
🇦🇼	阿魯巴島
🇦🇽	奧蘭 群島
🇦🇿	亞塞 拜然
🇧🇦	波士尼 亞與 赫塞哥 維納
🇧🇧	巴貝 多
🇧🇩	孟加拉
🇧🇪	比利時
🇧🇫	布吉納 法索
🇧🇬	保加利亞
🇧🇭	巴林
🇧🇮	蒲隆 地
🇧🇯	貝南
🇧🇱	聖巴泰勒 米島
🇧🇲	百慕達
🇧🇳	汶萊
🇧🇴	玻利 維亞
🇧🇶	加勒比海 荷蘭
🇧🇷	巴西
🇧🇸	巴哈馬
🇧🇹	不丹
🇧🇻	布維島
🇧🇼	波札 那
🇧🇾	白俄羅斯
🇧🇿	貝里斯
🇨🇦	加拿大
🇨🇨	科科斯 （ 基林 ） 群島
🇨🇩	剛果 - 金沙薩
🇨🇫	中非共和國
🇨🇬	剛果 - 布拉柴維爾
🇨🇭	瑞士
🇨🇮	科特迪瓦
🇨🇰	庫克 群島
🇨🇱	智利
🇨🇲	喀麥隆
🇨🇳	中國
🇨🇴	哥倫 比亞
🇨🇵	克利珀 頓島
🇨🇷	哥斯大黎加
🇨🇺	古巴
🇨🇻	維德角
🇨🇼	庫拉索
🇨🇽	聖誕島
🇨🇾	賽普勒斯
🇨🇿	捷克
🇩🇪	德國
🇩🇬	迪戈加西 亞島
🇩🇯	吉布 地
🇩🇰	丹麥
🇩🇲	多明尼加
🇩🇴	多明尼加 共和國
🇩🇿	阿爾 及 利亞
🇪🇦	休達 和 梅利利亞
🇪🇨	厄瓜 多
🇪🇪	愛沙尼亞
🇪🇬	埃及
🇪🇭	撒哈拉 沙漠 西部
🇪🇷	厄利 垂亞
🇪🇸	西班牙
🇪🇹	衣索 比亞
🇪🇺	歐洲 聯盟
🇫🇮	芬蘭
🇫🇯	斐濟
🇫🇰	福克 蘭 群島
🇫🇲	密克羅尼西亞
🇫🇴	法羅 群島
🇫🇷	法國
🇬🇦	加彭
🇬🇧	英國
🇬🇩	格瑞那達
🇬🇪	喬治 亞州
🇬🇫	法屬 圭亞 那
🇬🇬	根 西島
🇬🇭	迦納
🇬🇮	直布羅陀
🇬🇱	格陵蘭
🇬🇲	甘比亞
🇬🇳	幾內亞
🇬🇵	瓜德羅 普島
🇬🇶	赤道 幾 內亞
🇬🇷	希臘
🇬🇸	南喬 治 亞島 和 南桑威奇 群島
🇬🇹	瓜地馬拉
🇬🇺	關島
🇬🇼	幾內 亞比紹
🇬🇾	蓋亞 那
🇭🇰	中國 香港 特別 行政 區
🇭🇲	赫德島 和 麥克 唐納群 島
🇭🇳	宏都拉斯
🇭🇷	克羅 埃西亞
🇭🇹	海地
🇭🇺	匈牙利
🇮🇨	加那利 群島
🇮🇩	印尼
🇮🇪	愛爾 蘭
🇮🇱	以色列
🇮🇲	馬 恩島
🇮🇳	印度
🇮🇴	英屬 印度 洋領 地
🇮🇶	伊拉克
🇮🇷	伊朗
🇮🇸	冰島
🇮🇹	義大利
🇯🇪	球衣
🇯🇲	牙買 加
🇯🇴	約旦
🇯🇵	日本
🇰🇪	肯亞
🇰🇬	吉爾 吉斯斯坦
🇰🇭	柬埔寨
🇰🇮	吉里巴斯
🇰🇲	葛摩
🇰🇳	聖 克里斯多福 及 尼維斯
🇰🇵	北韓
🇰🇷	韓國
🇰🇼	科威特
🇰🇾	開曼 群島
🇰🇿	哈薩克
🇱🇦	寮國
🇱🇧	黎巴嫩
🇱🇨	聖露 西亞
🇱🇮	列支敦斯登
🇱🇰	斯里蘭卡
🇱🇷	賴 比 瑞亞
🇱🇸	賴索托
🇱🇹	立陶宛
🇱🇺	盧森堡
🇱🇻	拉脫 維亞
🇱🇾	利比亞
🇲🇦	摩洛哥
🇲🇨	摩納哥
🇲🇩	摩爾 多 瓦
🇲🇪	蒙特內哥 羅
🇲🇫	聖馬 丁
🇲🇬	馬達加斯加
🇲🇭	馬紹 爾群 島
🇲🇰	馬 其 頓
🇲🇱	馬裡
🇲🇲	緬甸 （ 緬甸 ）
🇲🇳	蒙古
🇲🇴	中 國 澳門 特別 行政 區
🇲🇵	北馬 裡亞 納群 島
🇲🇶	馬提尼克 島
🇲🇷	茅利塔尼亞
🇲🇸	蒙特塞拉特
🇲🇹	馬爾 他
🇲🇺	模里西斯
🇲🇻	馬爾 地夫
🇲🇼	馬拉威
🇲🇽	墨西哥
🇲🇾	馬來 西亞
🇲🇿	莫 三 比 克
🇳🇦	納米 比亞
🇳🇨	新 喀裡 多尼亞
🇳🇪	尼日
🇳🇫	諾福克島
🇳🇬	奈及 利亞
🇳🇮	尼加拉瓜
🇳🇱	荷蘭
🇳🇴	挪威
🇳🇵	尼泊爾
🇳🇷	諾魯
🇳🇺	紐埃
🇳🇿	紐 西蘭
🇴🇲	阿曼
🇵🇦	巴拿馬
🇵🇪	秘魯
🇵🇫	法屬 玻里尼西亞
🇵🇬	巴布亞 紐幾 內亞
🇵🇭	菲律賓
🇵🇰	巴基斯坦
🇵🇱	波蘭
🇵🇲	聖皮 埃爾 和 密克隆 群島
🇵🇳	皮特凱恩 群島
🇵🇷	波多黎各
🇵🇸	巴勒斯坦 領土
🇵🇹	葡萄牙
🇵🇼	帛琉
