😀	γελαστό πρόσωπο
👮‍♂️	άνδρας αστυνομικός
👮‍♂	άνδρας αστυνομικός
👮🏻‍♂️	άνδρας αστυνομικός: ανοιχτόχρωμος τόνος δέρματος
👮🏻‍♂	άνδρας αστυνομικός: ανοιχτόχρωμος τόνος δέρματος
👮🏼‍♂️	άνδρας αστυνομικός: μεσαίος-ανοιχτός τόνος δέρματος
👮🏼‍♂	άνδρας αστυνομικός: μεσαίος-ανοιχτός τόνος δέρματος
👮🏽‍♂️	άνδρας αστυνομικός: μεσαίου τόνου δέρματος
👮🏽‍♂	άνδρας αστυνομικός: μεσαίου τόνου δέρματος
👮🏾‍♂️	άνδρας αστυνομικός: μεσαίος-σκούρος τόνος δέρματος
👮🏾‍♂	άνδρας αστυνομικός: μεσαίος-σκούρος τόνος δέρματος
👮🏿‍♂️	άνδρας αστυνομικός: σκούρος τόνος δέρματος
👮🏿‍♂	άνδρας αστυνομικός: σκούρος τόνος δέρματος
👮‍♀️	γυναίκα αστυνομικός
👮‍♀	γυναίκα αστυνομικός
👮🏻‍♀️	γυναίκα αστυνομικός: ανοιχτόχρωμος τόνος δέρματος
👮🏻‍♀	γυναίκα αστυνομικός: ανοιχτόχρωμος τόνος δέρματος
👮🏼‍♀️	γυναίκα αστυνομικός: μεσαίος-ανοιχτός τόνος δέρματος
👮🏼‍♀	γυναίκα αστυνομικός: μεσαίος-ανοιχτός τόνος δέρματος
👮🏽‍♀️	γυναίκα αστυνομικός: μεσαίος τόνος δέρματος
👮🏽‍♀	γυναίκα αστυνομικός: μεσαίος τόνος δέρματος
👮🏾‍♀️	γυναίκα αστυνομικός: μεσαίος-σκούρος τόνος δέρματος
👮🏾‍♀	γυναίκα αστυνομικός: μεσαίος-σκούρος τόνος δέρματος
👮🏿‍♀️	γυναίκα αστυνομικός: σκούρος τόνος δέρματος
👮🏿‍♀	γυναίκα αστυνομικός: σκούρος τόνος δέρματος
🕵️	ντεντεκτίβ
🕵	ντεντεκτίβ
🕵🏻	ντετέκτιβ: ανοιχτόχρωμος τόνος δέρματος
🕵🏼	ντετέκτιβ: μεσαίος-ανοιχτός τόνος δέρματος
🕵🏽	ντετέκτιβ: μεσαίου τόνου δέρματος
🕵🏾	ντετέκτιβ: μεσαίος-σκούρος τόνος δέρματος
🕵🏿	ντετέκτιβ: σκούρος τόνος δέρματος
🕵️‍♂️	άνδρας ντετέκτιβ
🕵‍♂️	άντρας ντετέκτιβ
🕵️‍♂	άντρας ντετέκτιβ
🕵‍♂	άνδρας ντετέκτιβ
🕵🏻‍♂️	άνδρας ντετέκτιβ: ανοιχτόχρωμος τόνος δέρματος
🕵🏻‍♂	άνδρας ντετέκτιβ: ανοιχτόχρωμος τόνος δέρματος
🕵🏼‍♂️	άντρας ντετέκτιβ: μεσαίος-ανοιχτός τόνος δέρματος
🕵🏼‍♂	άντρας ντετέκτιβ: μεσαίος-ανοιχτός τόνος δέρματος
🕵🏽‍♂️	άντρας ντετέκτιβ: μεσαίου τόνου δέρματος
🕵🏽‍♂	άντρας ντετέκτιβ: μεσαίου τόνου δέρματος
🕵🏾‍♂️	άντρας ντετέκτιβ: μεσαίος-σκούρος τόνος δέρματος
🕵🏾‍♂	άντρας ντετέκτιβ: μεσαίος-σκούρος τόνος δέρματος
🕵🏿‍♂️	άντρας ντετέκτιβ: σκούρος τόνος δέρματος
🕵🏿‍♂	άντρας ντετέκτιβ: σκούρος τόνος δέρματος
🕵️‍♀️	γυναίκα ντετέκτιβ
🕵‍♀️	γυναίκα ντετέκτιβ
🕵️‍♀	γυναίκα ντετέκτιβ
🕵‍♀	γυναίκα ντετέκτιβ
🕵🏻‍♀️	γυναίκα ντετέκτιβ: ανοιχτόχρωμος τόνος δέρματος
🕵🏻‍♀	γυναίκα ντετέκτιβ: ανοιχτόχρωμος τόνος δέρματος
🕵🏼‍♀️	γυναίκα ντετέκτιβ: μεσαίος-ανοιχτός τόνος δέρματος
🕵🏼‍♀	γυναίκα ντετέκτιβ: μεσαίος-ανοιχτός τόνος δέρματος
🕵🏽‍♀️	γυναίκα ντετέκτιβ: μεσαίου τόνου δέρματος
🕵🏽‍♀	γυναίκα ντετέκτιβ: μεσαίου τόνου δέρματος
🕵🏾‍♀️	γυναίκα ντετέκτιβ: μεσαίος-σκούρος τόνος δέρματος
🕵🏾‍♀	γυναίκα ντετέκτιβ: μεσαίος-σκούρος τόνος δέρματος
🕵🏿‍♀️	γυναίκα ντετέκτιβ: σκούρος τόνος δέρματος
🕵🏿‍♀	γυναίκα ντετέκτιβ: σκούρος τόνος δέρματος
💂	φρουρά
💂🏻	guard: ανοιχτόχρωμος τόνος δέρματος
💂🏼	guard: μεσαίος-ανοιχτός τόνος δέρματος
💂🏽	guard: μεσαίου τόνου δέρματος
💂🏾	guard: μεσαίος-σκούρος τόνος δέρματος
💂🏿	guard: σκούρος τόνος δέρματος
💂‍♂️	άνδρας φρουρός
💂‍♂	άνδρας φρουρός
💂🏻‍♂️	man guard: ανοιχτόχρωμος τόνος δέρματος
💂🏻‍♂	man guard: ανοιχτόχρωμος τόνος δέρματος
💂🏼‍♂️	Man guard: μεσαίος-ανοιχτός τόνος δέρματος
💂🏼‍♂	Man guard: μεσαίος-ανοιχτός τόνος δέρματος
💂🏽‍♂️	Man guard: μεσαίος τόνος δέρματος
💂🏽‍♂	Man guard: μεσαίος τόνος δέρματος
💂🏾‍♂️	man guard: μεσαίος-σκούρος τόνος δέρματος
💂🏾‍♂	man guard: μεσαίος-σκούρος τόνος δέρματος
💂🏿‍♂️	Man guard: σκούρος τόνος δέρματος
💂🏿‍♂	Man guard: σκούρος τόνος δέρματος
💂‍♀️	γυναίκα φύλακας
💂‍♀	γυναίκα φύλακας
💂🏻‍♀️	γυναίκα φύλακας: ανοιχτόχρωμος τόνος δέρματος
💂🏻‍♀	γυναίκα φύλακας: ανοιχτόχρωμος τόνος δέρματος
💂🏼‍♀️	γυναίκα φύλακας: μεσαίου-ανοιχτός τόνος δέρματος
💂🏼‍♀	γυναίκα φύλακας: μεσαίος-ανοιχτός τόνος δέρματος
💂🏽‍♀️	γυναίκα φύλακας: μεσαίος τόνος δέρματος
💂🏽‍♀	γυναίκα φύλακας: μεσαίος τόνος δέρματος
💂🏾‍♀️	γυναίκα φύλακας: μεσαίος-σκούρος τόνος δέρματος
💂🏾‍♀	γυναίκα φύλακας: μεσαίος-σκούρος τόνος δέρματος
💂🏿‍♀️	γυναίκα φύλακας: σκούρος τόνος δέρματος
💂🏿‍♀	γυναίκα φύλακας: σκούρος τόνος δέρματος
👷	εργάτης οικοδομής
👷🏻	εργάτης οικοδομών: ανοιχτόχρωμη επιδερμίδα
👷🏼	εργάτης οικοδομών: μεσαίου-ανοιχτός τόνος δέρματος
👷🏽	εργάτης οικοδομών: μεσαίου τόνου δέρματος
👷🏾	εργάτης οικοδομών: μεσαίου-σκούρου τόνου δέρματος
👷🏿	εργάτης οικοδομών: σκούρο δέρμα
👷‍♂️	άνδρας εργάτης οικοδομών
👷‍♂	άνδρας εργάτης οικοδομών
👷🏻‍♂️	άνδρας εργάτης οικοδομών: ανοιχτόχρωμη επιδερμίδα
👷🏻‍♂	άνδρας εργάτης οικοδομών: ανοιχτόχρωμη επιδερμίδα
👷🏼‍♂️	άνδρας εργάτης οικοδομών: μεσαίου-ανοιχτός τόνος δέρματος
👷🏼‍♂	άνδρας εργάτης οικοδομών: μεσαίου-ανοιχτός τόνος δέρματος
👷🏽‍♂️	άνδρας εργάτης οικοδομών: μεσαίου τόνου δέρματος
👷🏽‍♂	άνδρας εργάτης οικοδομών: μεσαίου τόνου δέρματος
👷🏾‍♂️	άνδρας εργάτης οικοδομών: μεσαίος-σκούρος τόνος δέρματος
👷🏾‍♂	άνδρας εργάτης οικοδομών: μεσαίος-σκούρος τόνος δέρματος
👷🏿‍♂️	άνδρας εργάτης οικοδομών: σκουρόχρωμος τόνος δέρματος
👷🏿‍♂	άνδρας εργάτης οικοδομών: σκουρόχρωμος τόνος δέρματος
👷‍♀️	γυναίκα εργάτης οικοδομών
👷‍♀	γυναίκα εργάτης οικοδομών
👷🏻‍♀️	γυναίκα εργάτης οικοδομών: ανοιχτόχρωμη επιδερμίδα
👷🏻‍♀	γυναίκα εργάτης οικοδομών: ανοιχτόχρωμη επιδερμίδα
👷🏼‍♀️	γυναίκα εργάτης οικοδομών: μεσαίου-ανοιχτός τόνος δέρματος
👷🏼‍♀	γυναίκα εργάτης οικοδομών: μεσαίου-ανοιχτός τόνος δέρματος
👷🏽‍♀️	γυναίκα εργάτης οικοδομών: μεσαίου τόνου δέρματος
👷🏽‍♀	γυναίκα εργάτης οικοδομών: μεσαίου τόνου δέρματος
👷🏾‍♀️	γυναίκα εργάτης οικοδομών: μεσαίος-σκούρος τόνος δέρματος
👷🏾‍♀	γυναίκα εργάτης οικοδομών: μεσαίος-σκούρος τόνος δέρματος
👷🏿‍♀️	γυναίκα εργάτης οικοδομών: σκούρο δέρμα
👷🏿‍♀	γυναίκα εργάτης οικοδομών: σκούρο δέρμα
🤴	πρίγκιπας
🤴🏻	πρίγκιπας: ανοιχτόχρωμος τόνος δέρματος
🤴🏼	πρίγκιπας: μεσαίος-ανοιχτός τόνος δέρματος
🤴🏽	πρίγκιπας: μεσαίος τόνος δέρματος
🤴🏾	πρίγκιπας: μεσαίος-σκούρος τόνος δέρματος
🤴🏿	πρίγκιπας: σκούρος τόνος δέρματος
👸	πριγκίπισσα
👸🏻	πριγκίπισσα: ανοιχτόχρωμος τόνος δέρματος
👸🏼	πριγκίπισσα: μεσαίου-ανοιχτός τόνος δέρματος
👸🏽	πριγκίπισσα: μεσαίος τόνος δέρματος
👸🏾	πριγκίπισσα: μεσαίος-σκούρος τόνος δέρματος
👸🏿	πριγκίπισσα: σκούρος τόνος δέρματος
👳	άτομο που φορά τουρμπάνι
👳🏻	άτομο που φορά τουρμπάνι: ανοιχτόχρωμος τόνος δέρματος
👳🏼	άτομο που φορά τουρμπάνι: μεσαίος-ανοιχτός τόνος δέρματος
👳🏽	άτομο που φορά τουρμπάνι: μεσαίος τόνος δέρματος
👳🏾	άτομο που φορά τουρμπάνι: μεσαίος-σκούρος τόνος δέρματος
👳🏿	άτομο που φορά τουρμπάνι: σκούρος τόνος δέρματος
👳‍♂️	άνδρας φορώντας τουρμπάνι
👳‍♂	άνδρας φορώντας τουρμπάνι
👳🏻‍♂️	άνδρας με τουρμπάνι: ανοιχτόχρωμος τόνος δέρματος
👳🏻‍♂	άνδρας με τουρμπάνι: ανοιχτόχρωμος τόνος δέρματος
👳🏼‍♂️	άνδρας με τουρμπάνι: μεσαίος-ανοιχτός τόνος δέρματος
👳🏼‍♂	άνδρας με τουρμπάνι: μεσαίος-ανοιχτός τόνος δέρματος
👳🏽‍♂️	άνδρας με τουρμπάνι: μεσαίος τόνος δέρματος
