😀	হাসিমুখ
👮🏻‍♀	মহিলা পুলিশ অফিসার: হালকা ত্বকের রঙ
👮🏼‍♀️	মহিলা পুলিশ অফিসার: মাঝারি-হালকা ত্বকের রঙ
👮🏼‍♀	মহিলা পুলিশ অফিসার: মাঝারি-হালকা ত্বকের রঙ
👮🏽‍♀️	মহিলা পুলিশ অফিসার: মাঝারি চামড়ার রং
👮🏽‍♀	মহিলা পুলিশ অফিসার: মাঝারি চামড়ার রং
👮🏾‍♀️	মহিলা পুলিশ অফিসার: মাঝারি কালো ত্বকের রং
👮🏾‍♀	মহিলা পুলিশ অফিসার: মাঝারি কালো ত্বকের রং
👮🏿‍♀️	মহিলা পুলিশ অফিসার: কালো ত্বকের রং
👮🏿‍♀	মহিলা পুলিশ অফিসার: কালো ত্বকের রং
🕵️	গোয়েন্দা
🕵	গোয়েন্দা
🕵🏻	গোয়েন্দা: হালকা ত্বকের রঙ
🕵🏼	গোয়েন্দা: মাঝারি-হালকা ত্বকের রঙ
🕵🏽	গোয়েন্দা: মাঝারি ত্বকের রঙ
🕵🏾	গোয়েন্দা: মাঝারি-গাঢ় ত্বকের রঙ
🕵🏿	গোয়েন্দা: কালো ত্বকের রঙ
🕵️‍♂️	মানুষ গোয়েন্দা
🕵‍♂️	মানুষ গোয়েন্দা
🕵️‍♂	মানুষ গোয়েন্দা
🕵‍♂	মানুষ গোয়েন্দা
🕵🏻‍♂️	পুরুষ গোয়েন্দা: হালকা ত্বকের রঙ
🕵🏻‍♂	পুরুষ গোয়েন্দা: হালকা ত্বকের রঙ
🕵🏼‍♂️	পুরুষ গোয়েন্দা: মাঝারি-হালকা ত্বকের রঙ
🕵🏼‍♂	পুরুষ গোয়েন্দা: মাঝারি-হালকা ত্বকের রঙ
🕵🏽‍♂️	পুরুষ গোয়েন্দা: মাঝারি চামড়ার রং
🕵🏽‍♂	পুরুষ গোয়েন্দা: মাঝারি চামড়ার রং
🕵🏾‍♂️	পুরুষ গোয়েন্দা: মাঝারি-কালো ত্বকের রং
🕵🏾‍♂	পুরুষ গোয়েন্দা: মাঝারি-কালো ত্বকের রং
🕵🏿‍♂️	পুরুষ গোয়েন্দা: কালো ত্বকের রং
🕵🏿‍♂	পুরুষ গোয়েন্দা: কালো ত্বকের রং
🕵️‍♀️	মহিলা গোয়েন্দা
🕵‍♀️	মহিলা গোয়েন্দা
🕵️‍♀	মহিলা গোয়েন্দা
🕵‍♀	মহিলা গোয়েন্দা
🕵🏻‍♀️	মহিলা গোয়েন্দা: ত্বকের হালকা রঙ
🕵🏻‍♀	মহিলা গোয়েন্দা: ত্বকের হালকা রঙ
🕵🏼‍♀️	মহিলা গোয়েন্দা: মাঝারি-হালকা ত্বকের রঙ
🕵🏼‍♀	মহিলা গোয়েন্দা: মাঝারি-হালকা ত্বকের রঙ
🕵🏽‍♀️	মহিলা গোয়েন্দা: মাঝারি চামড়ার রং
🕵🏽‍♀	মহিলা গোয়েন্দা: মাঝারি চামড়ার রং
🕵🏾‍♀️	মহিলা গোয়েন্দা: মাঝারি-কালো ত্বকের রঙ
🕵🏾‍♀	মহিলা গোয়েন্দা: মাঝারি-কালো ত্বকের রঙ
🕵🏿‍♀️	মহিলা গোয়েন্দা: কালো ত্বকের রঙ
🕵🏿‍♀	মহিলা গোয়েন্দা: কালো ত্বকের রঙ
💂	পাহারা
💂🏻	গার্ড: হালকা ত্বকের রঙ
💂🏼	গার্ড: মাঝারি-হালকা ত্বকের রঙ
💂🏽	গার্ড: মাঝারি ত্বকের রঙ
💂🏾	গার্ড: মাঝারি-গাঢ় ত্বকের রং
💂🏿	গার্ড: কালো ত্বকের রং
💂‍♂️	মানুষ প্রহরী
💂‍♂	মানুষ প্রহরী
💂🏻‍♂️	পুরুষ প্রহরী: হালকা ত্বকের রঙ
💂🏻‍♂	পুরুষ প্রহরী: হালকা ত্বকের রঙ
💂🏼‍♂️	ম্যান গার্ড: মাঝারি-হালকা ত্বকের রং
💂🏼‍♂	ম্যান গার্ড: মাঝারি-হালকা ত্বকের রং
💂🏽‍♂️	পুরুষ প্রহরী: মাঝারি চামড়ার রং
💂🏽‍♂	পুরুষ প্রহরী: মাঝারি চামড়ার রং
💂🏾‍♂️	ম্যান গার্ড: মাঝারি-কালো ত্বকের রং
💂🏾‍♂	ম্যান গার্ড: মাঝারি-কালো ত্বকের রং
💂🏿‍♂️	পুরুষ প্রহরী: কালো ত্বকের রং
💂🏿‍♂	পুরুষ প্রহরী: কালো ত্বকের রং
💂‍♀️	মহিলা গার্ড
💂‍♀	মহিলা গার্ড
💂🏻‍♀️	মহিলা গার্ড: হালকা ত্বকের রঙ
💂🏻‍♀	মহিলা গার্ড: হালকা ত্বকের রঙ
💂🏼‍♀️	মহিলা গার্ড: মাঝারি-হালকা ত্বকের রং
💂🏼‍♀	মহিলা গার্ড: মাঝারি-হালকা ত্বকের রং
💂🏽‍♀️	মহিলা গার্ড: মাঝারি ত্বকের রঙ
💂🏽‍♀	মহিলা গার্ড: মাঝারি ত্বকের রঙ
💂🏾‍♀️	মহিলা গার্ড: মাঝারি-কালো ত্বকের রঙ
💂🏾‍♀	মহিলা গার্ড: মাঝারি-কালো ত্বকের রঙ
💂🏿‍♀️	মহিলা গার্ড: কালো ত্বকের রঙ
💂🏿‍♀	মহিলা গার্ড: কালো ত্বকের রঙ
👷	নির্মাণ শ্রমিক
👷🏻	নির্মাণ কর্মী: হালকা ত্বকের রঙ
👷🏼	নির্মাণ কর্মী: মাঝারি-হালকা ত্বকের রং
👷🏽	নির্মাণ কর্মী: মাঝারি চামড়ার রং
👷🏾	নির্মাণ কর্মী: মাঝারি-কালো ত্বকের রং
👷🏿	নির্মাণ কর্মী: কালো ত্বকের রঙ
👷‍♂️	মানুষ নির্মাণ শ্রমিক
👷‍♂	মানুষ নির্মাণ শ্রমিক
👷🏻‍♂️	পুরুষ নির্মাণ কর্মী: হালকা ত্বকের রঙ
👷🏻‍♂	পুরুষ নির্মাণ কর্মী: হালকা ত্বকের রঙ
👷🏼‍♂️	পুরুষ নির্মাণ কর্মী: মাঝারি-হালকা ত্বকের রং
👷🏼‍♂	পুরুষ নির্মাণ কর্মী: মাঝারি-হালকা ত্বকের রং
👷🏽‍♂️	পুরুষ নির্মাণ কর্মী: মাঝারি চামড়ার রং
👷🏽‍♂	পুরুষ নির্মাণ কর্মী: মাঝারি চামড়ার রং
👷🏾‍♂️	পুরুষ নির্মাণ শ্রমিক: মাঝারি-কালো ত্বকের রং
👷🏾‍♂	পুরুষ নির্মাণ শ্রমিক: মাঝারি-কালো ত্বকের রং
👷🏿‍♂️	পুরুষ নির্মাণ কর্মী: কালো ত্বকের রং
👷🏿‍♂	পুরুষ নির্মাণ কর্মী: কালো ত্বকের রং
👷‍♀️	মহিলা নির্মাণ কর্মী
👷‍♀	মহিলা নির্মাণ কর্মী
👷🏻‍♀️	মহিলা নির্মাণ কর্মী: হালকা ত্বকের রঙ
👷🏻‍♀	মহিলা নির্মাণ কর্মী: হালকা ত্বকের রঙ
👷🏼‍♀️	মহিলা নির্মাণ কর্মী: মাঝারি-হালকা ত্বকের রং
👷🏼‍♀	মহিলা নির্মাণ কর্মী: মাঝারি-হালকা ত্বকের রং
👷🏽‍♀️	মহিলা নির্মাণ কর্মী: মাঝারি চামড়ার রং
👷🏽‍♀	মহিলা নির্মাণ কর্মী: মাঝারি চামড়ার রং
👷🏾‍♀️	মহিলা নির্মাণ কর্মী: মাঝারি-কালো ত্বকের রং
👷🏾‍♀	মহিলা নির্মাণ কর্মী: মাঝারি-কালো ত্বকের রং
👷🏿‍♀️	মহিলা নির্মাণ কর্মী: কালো ত্বকের রঙ
👷🏿‍♀	মহিলা নির্মাণ কর্মী: কালো ত্বকের রঙ
