😀	nacereno lice
🏞️	Nacionalni park
🏞	Nacionalni park
🏟️	stadion
🏟	stadion
🏛️	klasična zgrada
🏛	klasična zgrada
🏗️	visokogradnja
🏗	visokogradnja
🧱	opeke
🏘️	kuće
🏘	kuće
🏚️	zapuštena kuća
🏚	zapuštena kuća
🏠	kuća
🏡	kuća sa vrtom
🏢	poslovna zgrada
🏣	Japanska pošta
🏤	Poštanski ured
🏥	bolnica
🏦	banka
🏨	hotel
🏩	ljubavni hotel
🏪	mini market
🏫	škola
🏬	robna kuća
🏭	tvornica
🏯	Japanski dvorac
🏰	dvorac
💒	vjenčanje
🗼	Tokijski toranj
🗽	Kip slobode
⛪	crkva
🕌	džamija
🕍	sinagoga
⛩️	šintoističko svetište
⛩	šintoističko svetište
🕋	kaba
⛲	fontana
⛺	šator
🌁	maglovit
🌃	noć sa zvijezdama
🏙️	gradski pejzaž
🏙	gradski pejzaž
🌄	izlazak sunca nad planinama
🌅	izlazak sunca
🌆	gradski pejzaž u sumrak
🌇	zalazak sunca
🌉	most noću
♨️	izvori vruće vode
♨	izvori vruće vode
🌌	mliječna staza
🎠	vrtuljak konj
🎡	panoramski kotač
🎢	brdska željeznica
💈	barber stup
🎪	cirkuski šator
🚂	lokomotiva
🚃	željeznički vagon
🚄	brzi vlak
🚅	brzi vlak
🚆	vlak
🚇	metro
🚈	laka željeznica
🚉	stanica
🚊	tramvaj
🚝	pruga sa jednim kolosjekom
🚞	planinska željeznica
🚋	tramvajsko vozilo
🚌	autobus
🚍	nadolazeći autobus
🚎	trolejbus
🚐	minibus
🚑	kola hitne pomoći
🚒	vatrogasna kola
🚓	policijski auto
🚔	nadolazeće policijsko vozilo
🚕	taksi
🚖	nadolazeći taksi
🚗	automobil
🚘	nadolazeći automobil
🚙	terenac
🚚	dostavni kamion
🚛	zglobni kamion
🚜	traktor
🚲	bicikl
🛴	trotinet
🛹	skejtbord
🛵	motorni skuter
🚏	Autobusna postaja
🛣️	autocesta
🛣	autocesta
🛤️	željeznička pruga
🛤	željeznička pruga
🛢️	bačva za ulje
🛢	bačva za ulje
⛽	Pumpa za gorivo
🚨	svjetlo policijskog automobila
🚥	horizontalni semafor
🚦	vertikalni semafor
🛑	znak stop
🚧	konstrukcija
⚓	sidro
⛵	jedrilica
🛶	kanu
🚤	gliser
🛳️	putnički brod
🛳	putnički brod
⛴️	trajekt
⛴	trajekt
🛥️	motorni brod
🛥	motorni brod
🚢	brod
✈️	zrakoplov
✈	zrakoplov
🛩️	mali avion
🛩	mali avion
🛫	odlazak zrakoplova
🛬	dolazak aviona
💺	sjedalo
🚁	helikopter
🚟	viseća željeznica
🚠	planinska žičara
🚡	zračni tramvaj
🛰️	satelit
🛰	satelit
🚀	raketa
🛸	leteći tanjur
🛎️	bellhop zvono
🛎	bellhop zvono
🧳	prtljaga
⌛	pješčani sat gotov
⏳	pješčani sat nije gotov
⌚	Gledati
⏰	budilica
⏱️	štoperica
⏱	štoperica
⏲️	vremenski sat
⏲	vremenski sat
🕰️	kaminski sat
🕰	kaminski sat
🕛	dvanaest sati
🕧	dvanaest i trideset
🕐	jedan sat
🕜	jedan i trideset
🕑	dva sata
🕝	dva i trideset
🕒	tri sata
🕞	tri i trideset
🕓	četiri sata
🕟	četiri i trideset
🕔	pet sati
🕠	pet i trideset
🕕	šest sati
🕡	šest trideset
🕖	sedam sati
🕢	sedam i trideset
🕗	osam sati
🕣	osam i trideset
🕘	devet sati
🕤	devet trideset
🕙	deset sati
🕥	deset i trideset
🕚	jedanaest sati
🕦	jedanaest i trideset
🌑	mladi mjesec
🌒	rastući polumjesec
🌓	prva četvrt mjeseca
🌔	rastući gibbous moon
🌕	Puni mjesec
🌖	gibbous mjesec u opadanju
🌗	zadnja četvrt mjeseca
🌘	polumjesec u opadanju
🌙	polumjesec
🌚	lice mladog mjeseca
🌛	lice prve četvrtine mjeseca
🌜	lice zadnje četvrtine mjeseca
🌡️	termometar
🌡	termometar
☀️	Sunce
☀	Sunce
🌝	lice punog mjeseca
🌞	sunce s licem
⭐	zvijezda
🌟	užarena zvijezda
🌠	zvijezda padalica
☁️	oblak
☁	oblak
⛅	sunce iza oblaka
⛈️	oblak s munjama i kišom
⛈	oblak s munjama i kišom
🌤️	sunce iza malog oblaka
🌤	sunce iza malog oblaka
🌥️	sunce iza velikog oblaka
🌥	sunce iza velikog oblaka
🌦️	sunce iza kišnog oblaka
🌦	sunce iza kišnog oblaka
🌧️	oblak s kišom
🌧	oblak s kišom
🌨️	oblak sa snijegom
🌨	oblak sa snijegom
🌩️	oblak s munjom
🌩	oblak s munjom
🌪️	tornado
🌪	tornado
🌫️	magla
🌫	magla
🌬️	lice vjetra
🌬	lice vjetra
🌀	ciklon
🌈	duga
🌂	zatvoreni kišobran
☂️	kišobran
☂	kišobran
☔	kišobran s kapima kiše
⛱️	kišobran na zemlji
⛱	kišobran na zemlji
⚡	visoki napon
❄️	pahuljica
❄	pahuljica
☃️	snjegović
☃	snjegović
⛄	snjegović bez snijega
☄️	kometa
☄	kometa
🔥	vatra
💧	kapljica
🌊	vodeni val
🎃	bundeva
🎄	božićno drvce
🎆	vatromet
🎇	blistavi dragi kamen
🧨	petarda
✨	iskre
🎈	balon
🎉	party popper
🎊	kuglica od konfeta
🎋	drvo tanabata
🎍	ukras za bor
🎎	Japanske lutke
🎏	šaranski strimer
🎐	vjetar zvono
🎑	ceremonija promatranja mjeseca
🧧	crvena omotnica
🎀	vrpca
🎁	zamotan dar
🎗️	vrpca podsjetnika
🎗	vrpca podsjetnika
🎟️	ulaznice
🎟	ulaznice
🎫	ulaznica
🎖️	vojnička medalja
🎖	vojnička medalja
🏆	trofej
🏅	sportska medalja
🥇	Medalja za 1. mjesto
🥈	2. mjesto medalja
🥉	medalja za 3. mjesto
⚽	nogometna lopta
⚾	bejzbol
🥎	softball
🏀	košarka
🏐	odbojka
🏈	Američki nogomet
🏉	ragbi nogomet
🎾	tenis
🥏	leteći disk
🎳	kuglanje
🏏	igra kriketa
🏑	Hokej na travi
🏒	Hokej
🥍	lakros
🏓	stolni tenis
🏸	badminton
🥊	bokserska rukavica
🥋	uniforma za borilačke vještine
🥅	mreža gola
⛳	zastava u rupi
⛸️	klizanje na ledu
⛸	klizanje na ledu
🎣	štap za pecanje
🎽	majica za trčanje
🎿	skije
🛷	sanke
🥌	kamen za kovrče
🎯	izravan pogodak
🎱	biljar 8 loptica
🔮	Kristalna kugla
🧿	nazar amulet
🎮	video igra
🕹️	joystick
🕹	joystick
🎰	automat za kockanje
🎲	kocka za igru
🧩	ubodna pila
🧸	plišani medvjedić
♠️	pik odijelo
♠	pik odijelo
♥️	srce odijelo
♥	srce odijelo
♦️	dijamantno odijelo
♦	dijamantno odijelo
♣️	klupsko odijelo
♣	klupsko odijelo
♟️	šahovski pijun
♟	šahovski pijun
🃏	šaljivac
🀄	mahjong crveni zmaj
🎴	cvijet igraće karte
🎭	izvedbena umjetnost
🖼️	uokvirena slika
🖼	uokvirena slika
🎨	umjetnička paleta
🧵	nit
🧶	pređa
🔇	utišani zvučnik
🔈	niska glasnoća zvučnika
🔉	zvučnik srednje glasnoće
🔊	velika glasnoća zvučnika
📢	zvučnik
📣	megafon
📯	poštanski rog
🔔	zvono
🔕	zvono s kosom crtom
🎼	glazbena partitura
🎵	glazbena nota
🎶	glazbene note
🎙️	studijski mikrofon
🎙	studijski mikrofon
🎚️	klizač razine
🎚	klizač razine
🎛️	upravljački gumbi
🎛	upravljački gumbi
🎤	mikrofon
🎧	slušalica
📻	radio
🎷	saksofon
🎸	gitara
🎹	glazbena klavijatura
🎺	truba
🎻	violina
🥁	bubanj
📱	mobitel
📲	mobilni telefon sa strelicom
☎️	telefon
☎	telefon
📞	telefonska slušalica
📟	dojavljivač
📠	faks uređaj
🔋	baterija
🔌	električni utikač
💻	prijenosno računalo
🖥️	stolno računalo
🖥	stolno računalo
🖨️	pisač
🖨	pisač
⌨️	tipkovnica
⌨	tipkovnica
🖱️	kompjuterski miš
🖱	kompjuterski miš
🖲️	trackball
🖲	trackball
💽	disk računala
💾	disketa
💿	optički disk
📀	DVD
🧮	abakus
🎥	filmska kamera
🎞️	filmski okviri
🎞	filmski okviri
📽️	filmski projektor
📽	filmski projektor
🎬	daska za klapanje
📺	televizija
📷	fotoaparat
📸	fotoaparat sa bljeskalicom
📹	videokamera
📼	video kaseta
🔍	povećalo nagnuto ulijevo
🔎	povećalo nagnuto udesno
🕯️	svijeća
🕯	svijeća
💡	žarulja
🔦	baterijska svjetiljka
🏮	lampion od crvenog papira
📔	bilježnica s ukrasnim koricama
📕	zatvorena knjiga
📖	otvori knjigu
📗	zelena knjiga
📘	plava knjiga
📙	narančasta knjiga
📚	knjige
📓	bilježnica
📒	glavna knjiga
📃	stranica s uvojkom
📜	svitak
📄	stranica okrenuta prema gore
📰	novine
🗞️	smotane novine
🗞	smotane novine
📑	oznake oznaka
🔖	knjižna oznaka
🏷️	označiti
🏷	označiti
💰	torba za novac
💴	novčanica jena
💵	dolarska novčanica
💶	novčanica eura
💷	novčanica funte
💸	novac s krilima
💳	kreditna kartica
🧾	priznanica
💹	grafikon raste s jenom
💱	Razmjena valute
💲	teški znak dolara
✉️	omotnica
✉	omotnica
📧	e-mail
📨	dolazna omotnica
📩	omotnica sa strelicom
📤	izlaznu ladicu
📥	ulaznu ladicu
📦	paket
📫	zatvoreni poštanski sandučić s podignutom zastavicom
📪	zatvoreni poštanski sandučić sa spuštenom zastavicom
📬	otvoreni poštanski sandučić s podignutom zastavicom
📭	otvoreni poštanski sandučić sa spuštenom zastavicom
📮	Poštanski sandučić
🗳️	glasačka kutija s listićem
🗳	glasačka kutija s listićem
✏️	olovka
✏	olovka
✒️	crno pero
✒	crno pero
🖋️	nalivpero
🖋	nalivpero
🖊️	olovka
🖊	olovka
🖌️	kist za slikanje
🖌	kist za slikanje
🖍️	krejon
🖍	krejon
📝	dopis
💼	aktovka
📁	mapa s datotekama
📂	otvorite mapu datoteke
🗂️	razdjelnici indeksa karata
🗂	razdjelnici indeksa karata
📅	kalendar
📆	trgajući kalendar
🗒️	spiralni notes
🗒	spiralni notes
🗓️	spiralni kalendar
🗓	spiralni kalendar
📇	kartoteka
📈	grafikon povećava
📉	grafikon smanjuje
📊	Grafikon
📋	međuspremnik
📌	pribadača
📍	okrugla igla
📎	spajalica
🖇️	povezane spajalice
🖇	povezane spajalice
📏	ravno ravnalo
📐	trokutasto ravnalo
✂️	škare
✂	škare
🗃️	kartonska kutija
🗃	kartonska kutija
🗄️	Ormarić za spise
🗄	Ormarić za spise
🗑️	koš za otpatke
🗑	koš za otpatke
🔒	zaključan
🔓	otključan
🔏	zaključano olovkom
🔐	zaključana ključem
🔑	ključ
🗝️	stari ključ
🗝	stari ključ
🔨	čekić
⛏️	odabrati
⛏	odabrati
⚒️	čekić i kramp
⚒	čekić i kramp
🛠️	čekić i ključ
🛠	čekić i ključ
🗡️	bodež
🗡	bodež
⚔️	ukrštenih mačeva
⚔	ukrštenih mačeva
🔫	pištolj
🏹	luk i strijela
🛡️	štit
🛡	štit
🔧	ključ
🔩	matica i vijak
⚙️	zupčanik
⚙	zupčanik
🗜️	Stezaljka
🗜	Stezaljka
⚖️	ravnotežna vaga
⚖	ravnotežna vaga
🔗	veza
⛓️	lanci
⛓	lanci
🧰	kutija za alat
🧲	magnet
⚗️	alembic
⚗	alembic
🧪	epruveta
🧫	petrijeva zdjelica
🧬	DNK
🔬	mikroskop
🔭	teleskop
📡	satelitska antena
💉	injekcija
💊	pilula
🚪	vrata
🛏️	krevet
🛏	krevet
🛋️	kauč i svjetiljka
🛋	kauč i svjetiljka
🚽	WC
🚿	tuš
🛁	kada
🧴	boca losiona
🧷	zihernadla
🧹	metla
🧺	košara
🧻	rola papira
🧼	sapun
🧽	spužva
🧯	Vatrogasni Aparat
🛒	košarica za kupovinu
🚬	cigareta
⚰️	mrtvački sanduk
⚰	mrtvački sanduk
⚱️	pogrebna urna
⚱	pogrebna urna
🗿	moai
🏧	znak bankomata
🚮	smeće u kanti znak
🚰	pitka voda
♿	simbol invalidskih kolica
🚹	muška soba
🚺	ženska soba
🚻	zahod
🚼	simbol bebe
🚾	toalet za vodu
🛂	kontrola putovnica
🛃	običaji
🛄	prijava prtljage
🛅	ostavljena prtljaga
⚠️	upozorenje
⚠	upozorenje
🚸	djeca prelaze
⛔	zabranjen ulaz
🚫	zabranjeno
🚳	bez bicikala
🚭	Zabranjeno pušenje
🚯	ne bacajte smeće
🚱	nepitka voda
🚷	nema pješaka
📵	nema mobilnih telefona
🔞	nitko ispod osamnaest godina
☢️	radioaktivan
☢	radioaktivan
☣️	biološka opasnost
☣	biološka opasnost
⬆️	strelica prema gore
⬆	strelica prema gore
↗️	strelica gore-desno
↗	strelica gore-desno
➡️	desna strijela
➡	desna strijela
↘️	strelica dolje-desno
↘	strelica dolje-desno
⬇️	strelica prema dolje
⬇	strelica prema dolje
↙️	strelica dolje-lijevo
↙	strelica dolje-lijevo
⬅️	lijeva strelica
⬅	lijeva strelica
↖️	strelica gore-lijevo
↖	strelica gore-lijevo
↕️	strelica gore-dolje
↕	strelica gore-dolje
↔️	strelica lijevo-desno
↔	strelica lijevo-desno
↩️	strelica udesno zakrivljena ulijevo
↩	strelica udesno zakrivljena ulijevo
↪️	lijeva strelica zakrivljena udesno
↪	lijeva strelica zakrivljena udesno
⤴️	desna strelica zakrivljena prema gore
⤴	desna strelica zakrivljena prema gore
⤵️	desna strelica zakrivljena prema dolje
⤵	desna strelica zakrivljena prema dolje
🔃	okomite strelice u smjeru kazaljke na satu
🔄	gumb sa strelicama u smjeru suprotnom od kazaljke na satu
🔙	strelica NAZAD
🔚	strelica END
🔛	ON strelica
🔜	USKORO strelica
🔝	TOP strelica
🛐	mjesto štovanja
⚛️	simbol atoma
⚛	simbol atoma
🕉️	om
🕉	om
✡️	Davidova zvijezda
✡	Davidova zvijezda
☸️	kotač dharme
☸	kotač dharme
☯️	jin jang
☯	jin jang
✝️	latinski križ
✝	latinski križ
☦️	pravoslavni križ
☦	pravoslavni križ
☪️	zvijezda i polumjesec
☪	zvijezda i polumjesec
☮️	simbol mira
☮	simbol mira
🕎	menora
🔯	točkasta šestokraka zvijezda
♈	Ovan
♉	Bik
♊	Blizanci
♋	Rak
♌	Leo
♍	Djevica
♎	Vaga
♏	Škorpion
♐	Strijelac
♑	Jarac
♒	Vodenjak
♓	Riba
⛎	Zmijonosac
🔀	gumb za nasumično reproduciranje pjesama
🔁	gumb za ponavljanje
🔂	ponovi jedan gumb
▶️	gumb za reprodukciju
▶	gumb za reprodukciju
⏩	gumb za brzo premotavanje unaprijed
⏭️	gumb za sljedeću pjesmu
⏭	gumb za sljedeću pjesmu
⏯️	gumb za reprodukciju ili pauzu
⏯	gumb za reprodukciju ili pauzu
◀️	tipka za rikverc
◀	tipka za rikverc
⏪	gumb za brzo kretanje unazad
⏮️	gumb zadnje pjesme
⏮	gumb zadnje pjesme
🔼	gumb prema gore
⏫	gumb za brzo gore
🔽	gumb prema dolje
⏬	gumb za brzo dolje
⏸️	gumb za pauzu
⏸	gumb za pauzu
⏹️	gumb za zaustavljanje
⏹	gumb za zaustavljanje
⏺️	gumb za snimanje
⏺	gumb za snimanje
⏏️	gumb za izbacivanje
⏏	gumb za izbacivanje
🎦	kino
🔅	gumb za prigušivanje
🔆	svijetlo dugme
📶	antenske šipke
📳	način vibracije
📴	mobilni telefon isključen
♀️	ženski znak
♀	ženski znak
♂️	muški znak
♂	muški znak
⚕️	medicinski simbol
⚕	medicinski simbol
♾️	beskonačnost
♾	beskonačnost
♻️	simbol recikliranja
♻	simbol recikliranja
⚜️	ljiljan
⚜	ljiljan
🔱	amblem trozubac
📛	značka s imenom
🔰	Japanski simbol za početnike
⭕	težak veliki krug
✅	bijela teška kvačica
☑️	glasačka kutija s čekom
☑	glasačka kutija s čekom
✔️	teška kvačica
✔	teška kvačica
✖️	teško množenje x
✖	teško množenje x
❌	križić
❎	gumb s križićem
➕	težak znak plus
➖	teški znak minus
➗	znak teške podjele
➰	kovrčava petlja
➿	dvostruka kovrčava petlja
〽️	dio alternation mark
〽	dio alternation mark
✳️	osmerokraka zvjezdica
✳	osmerokraka zvjezdica
✴️	osmokraka zvijezda
✴	osmokraka zvijezda
❇️	svjetlucati
❇	svjetlucati
‼️	dvostruki uskličnik
‼	dvostruki uskličnik
⁉️	uskličnik upitnik
⁉	uskličnik upitnik
❓	upitnik
❔	bijeli upitnik
❕	bijeli uskličnik
❗	uskličnik
〰️	valovita crtica
〰	valovita crtica
©️	autorsko pravo
©	autorsko pravo
®️	registrirani
®	registrirani
™️	zaštitni znak
™	zaštitni znak
#️⃣	tipkovnica: #
#⃣	tipkovnica: #
*️⃣	tipkovnica: *
*⃣	tipkovnica: *
0️⃣	tipka: 0
0⃣	tipka: 0
1️⃣	poklopac tipke: 1
1⃣	poklopac tipke: 1
2️⃣	poklopac tipke: 2
2⃣	poklopac tipke: 2
3️⃣	poklopac tipke: 3
3⃣	poklopac tipke: 3
4️⃣	poklopac tipke: 4
4⃣	poklopac tipke: 4
5️⃣	poklopac tipke: 5
5⃣	poklopac tipke: 5
6️⃣	poklopac tipke: 6
6⃣	poklopac tipke: 6
7️⃣	tipka: 7
7⃣	tipka: 7
8️⃣	poklopac tipke: 8
8⃣	poklopac tipke: 8
9️⃣	poklopac tipke: 9
9⃣	poklopac tipke: 9
🔟	poklopac tipke: 10
💯	sto bodova
🔠	unos velikih latiničnih slova
🔡	unos latiničnih malih slova
🔢	unos brojeva
🔣	ulazni simboli
🔤	unos latiničnih slova
🅰️	Gumb (krvna grupa)
🅰	Gumb (krvna grupa)
🆎	Gumb AB (krvna grupa)
🅱️	B gumb (krvna grupa)
🅱	B gumb (krvna grupa)
🆑	tipka CL
🆒	Gumb COOL
🆓	BESPLATNO dugme
ℹ️	informacija
ℹ	informacija
🆔	ID gumb
Ⓜ️	zaokružio M
Ⓜ	zaokružio M
🆕	Gumb NOVO
🆖	Gumb NG
🅾️	O gumb (krvna grupa)
🅾	O gumb (krvna grupa)
🆗	gumb OK
🅿️	P gumb
🅿	P gumb
🆘	SOS tipka
🆙	tipka GORE
🆚	Gumb VS
🈁	Japanski gumb "ovdje".
🈂️	Japanski gumb "naplata usluge".
🈂	Japanski gumb "naplata usluge".
🈷️	Japanski gumb "mjesečni iznos".
🈷	Japanski gumb "mjesečni iznos".
🈶	Japanski gumb "nije besplatno".
🈯	Japanski "rezervirani" gumb
🉐	Japanski gumb za "cjenjkanje".
🈹	Japanski gumb "popust".
🈚	Japanski gumb "besplatno".
🈲	Japanski gumb "zabranjeno".
🉑	Japanski gumb "prihvatljivo".
🈸	Japanski gumb "aplikacija".
🈴	Japanski gumb "prolazna ocjena".
🈳	Japanski gumb za slobodno mjesto
㊗️	Japanski gumb "čestitke".
㊗	Japanski gumb "čestitke".
㊙️	Japanski "tajni" gumb
㊙	Japanski "tajni" gumb
🈺	Japanski gumb "otvoreno za posao".
🈵	Japanski gumb "nema slobodnih mjesta".
▪️	crni mali kvadrat
▪	crni mali kvadrat
▫️	bijeli mali kvadrat
▫	bijeli mali kvadrat
◻️	bijeli srednji kvadrat
◻	bijeli srednji kvadrat
◼️	crni srednji kvadrat
◼	crni srednji kvadrat
◽	bijeli srednje mali kvadrat
◾	crni srednje mali kvadrat
⬛	crni veliki kvadrat
⬜	bijeli veliki kvadrat
🔶	veliki narančasti dijamant
🔷	veliki plavi dijamant
🔸	mali narančasti dijamant
🔹	mali plavi dijamant
🔺	crveni trokut usmjeren prema gore
🔻	crveni trokut usmjeren prema dolje
💠	dijamant s točkom
🔘	Radio gumb
🔲	crni kvadratni gumb
🔳	bijeli kvadratni gumb
⚪	bijeli krug
⚫	crni krug
🔴	crveni krug
🔵	plavi krug
🏁	kockasta zastava
🚩	trokutasta zastava
🎌	prekrižene zastave
🏴	Crna zastava
🏳️	bijela zastava
🏳	bijela zastava
🏳️‍🌈	zastava duginih boja
🏳‍🌈	zastava duginih boja
🏴‍☠️	gusarska zastava
🏴‍☠	gusarska zastava
🇦🇨	Otok Uzašašća
🇦🇩	Andora
🇦🇪	Ujedinjeni Arapski Emirati
🇦🇫	Afganistan
🇦🇬	Antigva i Barbuda
🇦🇮	Angvila
🇦🇱	Albanija
🇦🇲	Armenija
🇦🇴	Angola
🇦🇶	Antarktik
🇦🇷	Argentina
🇦🇸	Američka Samoa
🇦🇹	Austrija
🇦🇺	Australija
🇦🇼	Aruba
🇦🇽	Ålandski otoci
🇦🇿	Azerbejdžan
🇧🇦	Bosna i Hercegovina
🇧🇧	Barbados
🇧🇩	Bangladeš
🇧🇪	Belgija
🇧🇫	Burkina Faso
🇧🇬	Bugarska
🇧🇭	Bahrein
🇧🇮	Burundi
🇧🇯	Benin
🇧🇱	Sveti Barthélemy
🇧🇲	Bermuda
🇧🇳	Brunej
🇧🇴	Bolivija
🇧🇶	Karipska Nizozemska
🇧🇷	Brazil
🇧🇸	Bahami
🇧🇹	Butan
🇧🇻	otok Bouvet
🇧🇼	Bocvana
🇧🇾	Bjelorusija
🇧🇿	Belize
🇨🇦	Kanada
🇨🇨	Kokosovi (Keelingovi) otoci
🇨🇩	Kongo - Kinshasa
🇨🇫	Centralna Afrička Republika
🇨🇬	Kongo - Brazzaville
🇨🇭	Švicarska
🇨🇮	Côte d’Ivoire
🇨🇰	Cookovi otoci
🇨🇱	Čile
🇨🇲	Kamerun
🇨🇳	Kina
🇨🇴	Kolumbija
🇨🇵	Otok Clipperton
🇨🇷	Kostarika
🇨🇺	Kuba
🇨🇻	Kabo Verde
🇨🇼	Curacao
🇨🇽	Božićni otok
🇨🇾	Cipar
🇨🇿	Češka
🇩🇪	Njemačka
🇩🇬	Diego Garcia
🇩🇯	Džibuti
🇩🇰	Danska
🇩🇲	Dominika
🇩🇴	Dominikanska Republika
🇩🇿	Alžir
🇪🇦	Ceuta & Melilla
🇪🇨	Ekvador
🇪🇪	Estonija
🇪🇬	Egipat
🇪🇭	Zapadna Sahara
🇪🇷	Eritreja
🇪🇸	Španjolska
🇪🇹	Etiopija
🇪🇺	Europska unija
🇫🇮	Finska
🇫🇯	Fidži
🇫🇰	Falklandski otoci
🇫🇲	Mikronezija
🇫🇴	Farski otoci
🇫🇷	Francuska
🇬🇦	Gabon
🇬🇧	Ujedinjeno Kraljevstvo
🇬🇩	Grenada
🇬🇪	Gruzija
🇬🇫	Francuska Gvajana
🇬🇬	Guernsey
🇬🇭	Gana
🇬🇮	Gibraltar
🇬🇱	Grenland
🇬🇲	Gambija
🇬🇳	Gvineja
🇬🇵	Guadeloupe
🇬🇶	Ekvatorijalna Gvineja
🇬🇷	Grčka
🇬🇸	Južna Georgia i Južni Sandwich Otoci
🇬🇹	Gvatemala
🇬🇺	Guam
🇬🇼	Gvineja Bisau
🇬🇾	Gvajana
🇭🇰	Hong Kong SAR Kina
🇭🇲	Otoci Heard & McDonald
🇭🇳	Honduras
🇭🇷	Hrvatska
🇭🇹	Haiti
🇭🇺	Mađarska
🇮🇨	Kanarski otoci
🇮🇩	Indonezija
🇮🇪	Irska
🇮🇱	Izrael
🇮🇲	Otok Man
🇮🇳	Indija
🇮🇴	Britanski teritorij Indijskog oceana
🇮🇶	Irak
🇮🇷	Iran
🇮🇸	Island
🇮🇹	Italija
🇯🇪	Dres
🇯🇲	Jamajka
🇯🇴	Jordan
🇯🇵	Japan
🇰🇪	Kenija
🇰🇬	Kirgistan
🇰🇭	Kambodža
🇰🇮	Kiribati
🇰🇲	Komori
🇰🇳	Sveti Kristofor i Nevis
🇰🇵	Sjeverna Koreja
🇰🇷	Južna Korea
🇰🇼	Kuvajt
🇰🇾	Kajmanski otoci
🇰🇿	Kazahstan
🇱🇦	Laos
🇱🇧	Libanon
🇱🇨	Sveta Lucija
🇱🇮	Lihtenštajn
🇱🇰	Šri Lanka
🇱🇷	Liberija
🇱🇸	Lesoto
🇱🇹	Litva
🇱🇺	Luksemburg
🇱🇻	Latvija
🇱🇾	Libija
🇲🇦	Maroko
🇲🇨	Monako
🇲🇩	Moldavija
🇲🇪	Crne Gore
🇲🇫	Sveti Martin
🇲🇬	Madagaskar
🇲🇭	Maršalovi otoci
🇲🇰	Makedonija
🇲🇱	Mali
🇲🇲	Mianmar (Burma)
🇲🇳	Mongolija
🇲🇴	Macau SAR Kina
🇲🇵	Sjeverno Marijansko otočje
🇲🇶	Martinik
🇲🇷	Mauritanija
🇲🇸	Montserrat
🇲🇹	Malta
🇲🇺	Mauricijus
🇲🇻	Maldivi
🇲🇼	Malavi
🇲🇽	Meksiko
🇲🇾	Malezija
🇲🇿	Mozambik
🇳🇦	Namibija
🇳🇨	nova Kaledonija
🇳🇪	Niger
🇳🇫	Otok Norfolk
🇳🇬	Nigerija
🇳🇮	Nikaragva
🇳🇱	Nizozemska
🇳🇴	Norveška
🇳🇵	Nepal
🇳🇷	Nauru
🇳🇺	Niue
🇳🇿	Novi Zeland
🇴🇲	Oman
🇵🇦	Panama
🇵🇪	Peru
🇵🇫	Francuska Polinezija
🇵🇬	Papua Nova Gvineja
🇵🇭	Filipini
🇵🇰	Pakistan
🇵🇱	Poljska
🇵🇲	St. Pierre & Miquelon
🇵🇳	Otoci Pitcairn
🇵🇷	Portoriko
🇵🇸	Palestinski teritoriji
🇵🇹	Portugal
🇵🇼	Palau
🇵🇾	Paragvaj
🇶🇦	Katar
🇷🇪	Ponovno sjedinjenje
🇷🇴	Rumunjska
🇷🇸	Srbija
🇷🇺	Rusija
🇷🇼	Ruanda
🇸🇦	Saudijska Arabija
🇸🇧	Solomonski otoci
🇸🇨	Sejšeli
🇸🇩	Sudan
🇸🇪	Švedska
🇸🇬	Singapur
🇸🇭	Sveta Helena
🇸🇮	Slovenija
🇸🇯	Svalbard & Jan Mayen
🇸🇰	Slovačka
🇸🇱	Sijera Leone
🇸🇲	San Marino
🇸🇳	Senegal
🇸🇴	Somalija
🇸🇷	Surinam
🇸🇸	Južni Sudan
🇸🇹	São Tomé & Príncipe
🇸🇻	El Salvador
🇸🇽	Sint Maarten
🇸🇾	Sirija
🇸🇿	Swaziland
🇹🇦	Tristan da Cunha
🇹🇨	Otoci Turks & Caicos
🇹🇩	Čad
🇹🇫	Francuski južni teritoriji
🇹🇬	Ići
🇹🇭	Tajland
🇹🇯	Tadžikistan
🇹🇰	Tokelau
🇹🇱	Istočni Timor
🇹🇲	Turkmenistan
🇹🇳	Tunis
🇹🇴	Laka dvokolica
🇹🇷	purica
🇹🇹	Trinidad i Tobago
🇹🇻	Tuvalu
🇹🇼	Tajvan
🇹🇿	Tanzanija
🇺🇦	Ukrajina
🇺🇬	Uganda
🇺🇲	Udaljeni otoci SAD-a
🇺🇳	Ujedinjeni narodi
🇺🇸	Ujedinjene države
🇺🇾	Urugvaj
🇺🇿	Uzbekistan
🇻🇦	Grad Vatikan
🇻🇨	Sveti Vincent i Grenadini
🇻🇪	Venezuela
🇻🇬	Britanski djevičanski otoci
🇻🇮	Američki Djevičanski otoci
🇻🇳	Vijetnam
🇻🇺	Vanuatu
🇼🇫	Wallis & Futuna
🇼🇸	Samoa
🇽🇰	Kosovo
🇾🇪	Jemen
🇾🇹	Mayotte
🇿🇦	Južna Afrika
🇿🇲	Zambija
🇿🇼	Zimbabve
🏴󠁧󠁢󠁥󠁮󠁧󠁿	Engleska
🏴󠁧󠁢󠁳󠁣󠁴󠁿	Škotska
🏴󠁧󠁢󠁷󠁬󠁳󠁿	Wales
