😀	ನಗುವ ಮುಖ
👩🏾‍🌾	ರೈತ ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👩🏿‍🌾	ರೈತ ಮಹಿಳೆ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👨‍🍳	ಮನುಷ್ಯ ಅಡುಗೆ
👨🏻‍🍳	ಮನುಷ್ಯ ಅಡುಗೆ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👨🏼‍🍳	ಮನುಷ್ಯ ಅಡುಗೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏽‍🍳	ಮನುಷ್ಯ ಅಡುಗೆ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👨🏾‍🍳	ಮನುಷ್ಯ ಅಡುಗೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏿‍🍳	ಅಡುಗೆಯವನು: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👩‍🍳	ಮಹಿಳೆ ಅಡುಗೆ
👩🏻‍🍳	ಅಡುಗೆ ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👩🏼‍🍳	ಅಡುಗೆ ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👩🏽‍🍳	ಅಡುಗೆ ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
👩🏾‍🍳	ಅಡುಗೆ ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👩🏿‍🍳	ಅಡುಗೆ ಮಹಿಳೆ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👨‍🔧	ಮನುಷ್ಯ ಮೆಕ್ಯಾನಿಕ್
👨🏻‍🔧	ಮ್ಯಾನ್ ಮೆಕ್ಯಾನಿಕ್: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👨🏼‍🔧	ಮ್ಯಾನ್ ಮೆಕ್ಯಾನಿಕ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏽‍🔧	ಮ್ಯಾನ್ ಮೆಕ್ಯಾನಿಕ್: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👨🏾‍🔧	ಮ್ಯಾನ್ ಮೆಕ್ಯಾನಿಕ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏿‍🔧	ಮ್ಯಾನ್ ಮೆಕ್ಯಾನಿಕ್: ಗಾಢ ಚರ್ಮದ ಬಣ್ಣ
👩‍🔧	ಮಹಿಳೆ ಮೆಕ್ಯಾನಿಕ್
👩🏻‍🔧	ಮಹಿಳೆ ಮೆಕ್ಯಾನಿಕ್: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👩🏼‍🔧	ಮಹಿಳೆ ಮೆಕ್ಯಾನಿಕ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👩🏽‍🔧	ಮಹಿಳೆ ಮೆಕ್ಯಾನಿಕ್: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👩🏾‍🔧	ಮಹಿಳಾ ಮೆಕ್ಯಾನಿಕ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👩🏿‍🔧	ಮಹಿಳಾ ಮೆಕ್ಯಾನಿಕ್: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👨‍🏭	ಮನುಷ್ಯ ಕಾರ್ಖಾನೆಯ ಕೆಲಸಗಾರ
👨🏻‍🏭	ಮನುಷ್ಯ ಕಾರ್ಖಾನೆಯ ಕೆಲಸಗಾರ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👨🏼‍🏭	ಮ್ಯಾನ್ ಫ್ಯಾಕ್ಟರಿ ಕೆಲಸಗಾರ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👨🏽‍🏭	ಮನುಷ್ಯ ಕಾರ್ಖಾನೆಯ ಕೆಲಸಗಾರ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👨🏾‍🏭	ಮ್ಯಾನ್ ಫ್ಯಾಕ್ಟರಿ ಕೆಲಸಗಾರ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👨🏿‍🏭	ಕಾರ್ಖಾನೆಯ ಕೆಲಸಗಾರ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👩‍🏭	ಮಹಿಳೆ ಕಾರ್ಖಾನೆಯ ಕೆಲಸಗಾರ
👩🏻‍🏭	ಮಹಿಳೆ ಕಾರ್ಖಾನೆಯ ಕೆಲಸಗಾರ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👩🏼‍🏭	ಮಹಿಳೆ ಕಾರ್ಖಾನೆಯ ಕೆಲಸಗಾರ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👩🏽‍🏭	ಮಹಿಳೆ ಕಾರ್ಖಾನೆಯ ಕೆಲಸಗಾರ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👩🏾‍🏭	ಮಹಿಳೆ ಕಾರ್ಖಾನೆಯ ಕೆಲಸಗಾರ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👩🏿‍🏭	ಮಹಿಳೆ ಕಾರ್ಖಾನೆಯ ಕೆಲಸಗಾರ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👨‍💼	ಮನುಷ್ಯ ಕಚೇರಿ ಕೆಲಸಗಾರ
👨🏻‍💼	ಮನುಷ್ಯ ಕಛೇರಿ ಕೆಲಸಗಾರ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👨🏼‍💼	ಮನುಷ್ಯ ಕಛೇರಿ ಕೆಲಸಗಾರ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏽‍💼	ಮನುಷ್ಯ ಕಛೇರಿ ಕೆಲಸಗಾರ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👨🏾‍💼	ಮನುಷ್ಯ ಕಛೇರಿ ಕೆಲಸಗಾರ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏿‍💼	ಮನುಷ್ಯ ಕಛೇರಿ ಕೆಲಸಗಾರ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👩‍💼	ಮಹಿಳಾ ಕಚೇರಿ ಕೆಲಸಗಾರ
👩🏻‍💼	ಮಹಿಳಾ ಕಚೇರಿ ಕೆಲಸಗಾರ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👩🏼‍💼	ಮಹಿಳಾ ಕಚೇರಿ ಕೆಲಸಗಾರ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👩🏽‍💼	ಮಹಿಳಾ ಕಚೇರಿ ಕೆಲಸಗಾರ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👩🏾‍💼	ಮಹಿಳಾ ಕಚೇರಿ ಕೆಲಸಗಾರ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👩🏿‍💼	ಮಹಿಳಾ ಕಚೇರಿ ಕೆಲಸಗಾರ್ತಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👨‍🔬	ಮನುಷ್ಯ ವಿಜ್ಞಾನಿ
👨🏻‍🔬	ಮನುಷ್ಯ ವಿಜ್ಞಾನಿ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👨🏼‍🔬	ಮನುಷ್ಯ ವಿಜ್ಞಾನಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏽‍🔬	ಮನುಷ್ಯ ವಿಜ್ಞಾನಿ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👨🏾‍🔬	ಮನುಷ್ಯ ವಿಜ್ಞಾನಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👨🏿‍🔬	ಮನುಷ್ಯ ವಿಜ್ಞಾನಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👩‍🔬	ಮಹಿಳಾ ವಿಜ್ಞಾನಿ
👩🏻‍🔬	ಮಹಿಳಾ ವಿಜ್ಞಾನಿ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👩🏼‍🔬	ಮಹಿಳಾ ವಿಜ್ಞಾನಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👩🏽‍🔬	ಮಹಿಳಾ ವಿಜ್ಞಾನಿ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👩🏾‍🔬	ಮಹಿಳಾ ವಿಜ್ಞಾನಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👩🏿‍🔬	ಮಹಿಳಾ ವಿಜ್ಞಾನಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👨‍💻	ಮನುಷ್ಯ ತಂತ್ರಜ್ಞ
👨🏻‍💻	ಮನುಷ್ಯ ತಂತ್ರಜ್ಞ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👨🏼‍💻	ಮನುಷ್ಯ ತಂತ್ರಜ್ಞ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏽‍💻	ಮನುಷ್ಯ ತಂತ್ರಜ್ಞ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👨🏾‍💻	ಮನುಷ್ಯ ತಂತ್ರಜ್ಞ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏿‍💻	ಮನುಷ್ಯ ತಂತ್ರಜ್ಞ: ಕಪ್ಪು ಚರ್ಮದ ಬಣ್ಣ
👩‍💻	ಮಹಿಳಾ ತಂತ್ರಜ್ಞ
👩🏻‍💻	ಮಹಿಳಾ ತಂತ್ರಜ್ಞ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👩🏼‍💻	ಮಹಿಳಾ ತಂತ್ರಜ್ಞ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👩🏽‍💻	ಮಹಿಳಾ ತಂತ್ರಜ್ಞ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👩🏾‍💻	ಮಹಿಳಾ ತಂತ್ರಜ್ಞ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👩🏿‍💻	ಮಹಿಳಾ ತಂತ್ರಜ್ಞ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👨‍🎤	ಮನುಷ್ಯ ಗಾಯಕ
👨🏻‍🎤	ಪುರುಷ ಗಾಯಕ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👨🏼‍🎤	ಗಾಯಕ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏽‍🎤	ಗಾಯಕ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👨🏾‍🎤	ಗಾಯಕ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏿‍🎤	ಗಾಯಕ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👩‍🎤	ಮಹಿಳಾ ಗಾಯಕಿ
👩🏻‍🎤	ಮಹಿಳಾ ಗಾಯಕಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👩🏼‍🎤	ಮಹಿಳಾ ಗಾಯಕಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👩🏽‍🎤	ಮಹಿಳಾ ಗಾಯಕಿ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👩🏾‍🎤	ಮಹಿಳಾ ಗಾಯಕಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👩🏿‍🎤	ಮಹಿಳಾ ಗಾಯಕಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👨‍🎨	ಮನುಷ್ಯ ಕಲಾವಿದ
👨🏻‍🎨	ಪುರುಷ ಕಲಾವಿದ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👨🏼‍🎨	ಪುರುಷ ಕಲಾವಿದ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏽‍🎨	ಪುರುಷ ಕಲಾವಿದ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👨🏾‍🎨	ಪುರುಷ ಕಲಾವಿದ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏿‍🎨	ಪುರುಷ ಕಲಾವಿದ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👩‍🎨	ಮಹಿಳಾ ಕಲಾವಿದೆ
👩🏻‍🎨	ಮಹಿಳಾ ಕಲಾವಿದೆ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👩🏼‍🎨	ಮಹಿಳಾ ಕಲಾವಿದೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👩🏽‍🎨	ಮಹಿಳಾ ಕಲಾವಿದೆ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👩🏾‍🎨	ಮಹಿಳಾ ಕಲಾವಿದೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👩🏿‍🎨	ಮಹಿಳಾ ಕಲಾವಿದೆ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👨‍✈️	ಮನುಷ್ಯ ಪೈಲಟ್
👨‍✈	ಮನುಷ್ಯ ಪೈಲಟ್
👨🏻‍✈️	ಮನುಷ್ಯ ಪೈಲಟ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👨🏻‍✈	ಮನುಷ್ಯ ಪೈಲಟ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👨🏼‍✈️	ಮನುಷ್ಯ ಪೈಲಟ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏼‍✈	ಮನುಷ್ಯ ಪೈಲಟ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏽‍✈️	ಮನುಷ್ಯ ಪೈಲಟ್: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👨🏽‍✈	ಮನುಷ್ಯ ಪೈಲಟ್: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👨🏾‍✈️	ಮನುಷ್ಯ ಪೈಲಟ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏾‍✈	ಮನುಷ್ಯ ಪೈಲಟ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👨🏿‍✈️	ಮನುಷ್ಯ ಪೈಲಟ್: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👨🏿‍✈	ಮನುಷ್ಯ ಪೈಲಟ್: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👩‍✈️	ಮಹಿಳಾ ಪೈಲಟ್
👩‍✈	ಮಹಿಳಾ ಪೈಲಟ್
👩🏻‍✈️	ಮಹಿಳಾ ಪೈಲಟ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👩🏻‍✈	ಮಹಿಳಾ ಪೈಲಟ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👩🏼‍✈️	ಮಹಿಳಾ ಪೈಲಟ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👩🏼‍✈	ಮಹಿಳಾ ಪೈಲಟ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👩🏽‍✈️	ಮಹಿಳಾ ಪೈಲಟ್: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👩🏽‍✈	ಮಹಿಳಾ ಪೈಲಟ್: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👩🏾‍✈️	ಮಹಿಳಾ ಪೈಲಟ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👩🏾‍✈	ಮಹಿಳಾ ಪೈಲಟ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👩🏿‍✈️	ಮಹಿಳಾ ಪೈಲಟ್: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👩🏿‍✈	ಮಹಿಳಾ ಪೈಲಟ್: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👨‍🚀	ಮನುಷ್ಯ ಗಗನಯಾತ್ರಿ
👨🏻‍🚀	ಮನುಷ್ಯ ಗಗನಯಾತ್ರಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👨🏼‍🚀	ಮನುಷ್ಯ ಗಗನಯಾತ್ರಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👨🏽‍🚀	ಗಗನಯಾತ್ರಿ ಮನುಷ್ಯ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
👨🏾‍🚀	ಮನುಷ್ಯ ಗಗನಯಾತ್ರಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👨🏿‍🚀	ಗಗನಯಾತ್ರಿ ಮನುಷ್ಯ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👩‍🚀	ಮಹಿಳಾ ಗಗನಯಾತ್ರಿ
👩🏻‍🚀	ಮಹಿಳಾ ಗಗನಯಾತ್ರಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👩🏼‍🚀	ಮಹಿಳಾ ಗಗನಯಾತ್ರಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👩🏽‍🚀	ಮಹಿಳಾ ಗಗನಯಾತ್ರಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
👩🏾‍🚀	ಮಹಿಳಾ ಗಗನಯಾತ್ರಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👩🏿‍🚀	ಮಹಿಳಾ ಗಗನಯಾತ್ರಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👨‍🚒	ಮನುಷ್ಯ ಅಗ್ನಿಶಾಮಕ
👨🏻‍🚒	ಮನುಷ್ಯ ಅಗ್ನಿಶಾಮಕ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👨🏼‍🚒	ಮನುಷ್ಯ ಅಗ್ನಿಶಾಮಕ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👨🏽‍🚒	ಮನುಷ್ಯ ಅಗ್ನಿಶಾಮಕ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
👨🏾‍🚒	ಮನುಷ್ಯ ಅಗ್ನಿಶಾಮಕ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👨🏿‍🚒	ಮನುಷ್ಯ ಅಗ್ನಿಶಾಮಕ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👩‍🚒	ಮಹಿಳಾ ಅಗ್ನಿಶಾಮಕ
👩🏻‍🚒	ಮಹಿಳಾ ಅಗ್ನಿಶಾಮಕ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👩🏼‍🚒	ಮಹಿಳಾ ಅಗ್ನಿಶಾಮಕ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👩🏽‍🚒	ಮಹಿಳಾ ಅಗ್ನಿಶಾಮಕ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
👩🏾‍🚒	ಮಹಿಳಾ ಅಗ್ನಿಶಾಮಕ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👩🏿‍🚒	ಮಹಿಳಾ ಅಗ್ನಿಶಾಮಕ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👮	ಪೋಲಿಸ್ ಅಧಿಕಾರಿ
👮🏻	ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👮🏼	ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👮🏽	ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👮🏾	ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👮🏿	ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👮‍♂️	ಮನುಷ್ಯ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ
👮‍♂	ಮನುಷ್ಯ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ
👮🏻‍♂️	ಪುರುಷ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👮🏻‍♂	ಪುರುಷ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
👮🏼‍♂️	ಪುರುಷ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👮🏼‍♂	ಪುರುಷ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👮🏽‍♂️	ಪುರುಷ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👮🏽‍♂	ಪುರುಷ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👮🏾‍♂️	ಪುರುಷ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👮🏾‍♂	ಪುರುಷ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👮🏿‍♂️	ಪುರುಷ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👮🏿‍♂	ಪುರುಷ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👮‍♀️	ಮಹಿಳಾ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ
👮‍♀	ಮಹಿಳಾ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ
👮🏻‍♀️	ಮಹಿಳಾ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👮🏻‍♀	ಮಹಿಳಾ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
👮🏼‍♀️	ಮಹಿಳಾ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👮🏼‍♀	ಮಹಿಳಾ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
👮🏽‍♀️	ಮಹಿಳಾ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👮🏽‍♀	ಮಹಿಳಾ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
👮🏾‍♀️	ಮಹಿಳಾ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👮🏾‍♀	ಮಹಿಳಾ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👮🏿‍♀️	ಮಹಿಳಾ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
👮🏿‍♀	ಮಹಿಳಾ ಪೊಲೀಸ್ ಅಧಿಕಾರಿ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🕵️	ಪತ್ತೇದಾರಿ
🕵	ಪತ್ತೇದಾರಿ
🕵🏻	ಪತ್ತೆದಾರ: ತಿಳಿ ಚರ್ಮದ ಬಣ್ಣ
🕵🏼	ಪತ್ತೆದಾರ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮದ ಬಣ್ಣ
🕵🏽	ಪತ್ತೆದಾರ: ಮಧ್ಯಮ ಚರ್ಮದ ಬಣ್ಣ
🕵🏾	ಪತ್ತೆದಾರ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🕵🏿	ಪತ್ತೆದಾರ: ಕಪ್ಪು ಬಣ್ಣದ ಚರ್ಮ
🕵️‍♂️	ಮನುಷ್ಯ ಪತ್ತೆದಾರ
🕵‍♂️	ಮನುಷ್ಯ ಪತ್ತೆದಾರ
🕵️‍♂	ಮನುಷ್ಯ ಪತ್ತೆದಾರ
🕵‍♂	ಮನುಷ್ಯ ಪತ್ತೆದಾರ
