😀	صورت پوزخند
👩‍👩‍👧‍👧	خانواده: زن، زن، دختر، دختر
👨‍👦	خانواده: مرد، پسر
👨‍👦‍👦	خانواده: مرد، پسر، پسر
👨‍👧	خانواده: مرد، دختر
👨‍👧‍👦	خانواده: مرد، دختر، پسر
👨‍👧‍👧	خانواده: مرد، دختر، دختر
👩‍👦	خانواده: زن، پسر
👩‍👦‍👦	خانواده: زن، پسر، پسر
👩‍👧	خانواده: زن، دختر
👩‍👧‍👦	خانواده: زن، دختر، پسر
👩‍👧‍👧	خانواده: زن، دختر، دختر
🤳	سلفی
🤳🏻	سلفی: رنگ پوست روشن
🤳🏼	سلفی: رنگ پوست متوسط تا روشن
🤳🏽	سلفی: رنگ پوست متوسط
🤳🏾	سلفی: رنگ پوست متوسط تا تیره
🤳🏿	سلفی: رنگ پوست تیره
💪	عضله دوسر خم شده
💪🏻	دوسر بازو خمیده: رنگ پوست روشن
💪🏼	دو سر خم شده: رنگ پوست متوسط تا روشن
💪🏽	دوسر خم شده: رنگ پوست متوسط
💪🏾	دو سر خم شده: رنگ پوست متوسط تا تیره
💪🏿	دوسر خم شده: رنگ پوست تیره
🦵	پا
🦵🏻	پا: رنگ پوست روشن
🦵🏼	ساق: رنگ پوست متوسط تا روشن
🦵🏽	ساق: رنگ پوست متوسط
🦵🏾	ساق پا: رنگ پوست متوسط تا تیره
🦵🏿	پا: رنگ پوست تیره
🦶	پا
🦶🏻	پا: رنگ پوست روشن
🦶🏼	پا: رنگ پوست متوسط تا روشن
🦶🏽	پا: رنگ پوست متوسط
🦶🏾	پا: رنگ پوست متوسط تا تیره
🦶🏿	پا: رنگ پوست تیره
👈	نمایه بک هند به سمت چپ
👈🏻	نمایه بک هند به سمت چپ: رنگ پوست روشن
👈🏼	نمایه بک هند به سمت چپ: رنگ پوست متوسط تا روشن
👈🏽	نمایه بک هند به سمت چپ: رنگ پوست متوسط
👈🏾	نمایه بک هند به سمت چپ: رنگ پوست متوسط تا تیره
👈🏿	نمایه بک هند به سمت چپ: رنگ پوست تیره
👉	نمایه بک هند به سمت راست
👉🏻	شاخص بک هند به سمت راست: رنگ پوست روشن
👉🏼	شاخص بک هند به سمت راست: رنگ پوست متوسط تا روشن
👉🏽	شاخص بک هند به سمت راست: رنگ پوست متوسط
👉🏾	نمایه بک هند به سمت راست: رنگ پوست متوسط تا تیره
👉🏿	شاخص بک هند به سمت راست: رنگ پوست تیره
☝️	شاخص رو به بالا
☝	شاخص رو به بالا
☝🏻	نمایه رو به بالا: رنگ پوست روشن
☝🏼	نمایه رو به بالا: رنگ پوست متوسط تا روشن
☝🏽	نمایه رو به بالا: رنگ پوست متوسط
☝🏾	نمایه رو به بالا: رنگ پوست متوسط تا تیره
☝🏿	نمایه رو به بالا: رنگ پوست تیره
👆	شاخص بک هند به سمت بالا
👆🏻	شاخص بک هند به سمت بالا: رنگ پوست روشن
👆🏼	شاخص بک هند رو به بالا: رنگ پوست متوسط رو به روشن
👆🏽	شاخص بک هند به سمت بالا: رنگ پوست متوسط
👆🏾	شاخص بک هند به سمت بالا: رنگ پوست متوسط تا تیره
👆🏿	شاخص بک هند به سمت بالا: رنگ پوست تیره
🖕	انگشت وسط
🖕🏻	انگشت میانی: رنگ پوست روشن
🖕🏼	انگشت میانی: رنگ پوست متوسط تا روشن
🖕🏽	انگشت میانی: رنگ پوست متوسط
🖕🏾	انگشت میانی: رنگ پوست متوسط تا تیره
🖕🏿	انگشت میانی: رنگ پوست تیره
👇	شاخص بک هند به سمت پایین
👇🏻	شاخص بک هند به سمت پایین: رنگ پوست روشن
👇🏼	شاخص بک هند به سمت پایین: رنگ پوست متوسط تا روشن
👇🏽	شاخص بک هند به سمت پایین: رنگ پوست متوسط
👇🏾	شاخص بک هند به سمت پایین: رنگ پوست متوسط تا تیره
👇🏿	شاخص بک هند به سمت پایین: رنگ پوست تیره
✌️	دست پیروزی
✌	دست پیروزی
✌🏻	دست پیروزی: رنگ پوست روشن
✌🏼	دست پیروزی: رنگ پوست متوسط تا روشن
✌🏽	دست پیروزی: رنگ پوست متوسط
✌🏾	دست پیروزی: رنگ پوست متوسط تا تیره
✌🏿	دست پیروزی: رنگ پوست تیره
🤞	انگشتان ضربدری
🤞🏻	انگشتان ضربدری: رنگ پوست روشن
🤞🏼	انگشتان ضربدری: رنگ پوست متوسط تا روشن
🤞🏽	انگشتان ضربدری: رنگ پوست متوسط
🤞🏾	انگشتان ضربدری: رنگ پوست متوسط تا تیره
🤞🏿	انگشتان ضربدری: رنگ پوست تیره
🖖	سلام ولکان
🖖🏻	سلام ولکان: رنگ پوست روشن
🖖🏼	سلام ولکان: رنگ پوست متوسط تا روشن
🖖🏽	سلام ولکان: رنگ پوست متوسط
🖖🏾	سلام ولکان: رنگ پوست متوسط تا تیره
🖖🏿	سلام ولکان: رنگ پوست تیره
🤘	نشانه شاخ ها
🤘🏻	علامت شاخ: رنگ پوست روشن
🤘🏼	علامت شاخ: رنگ پوست متوسط تا روشن
🤘🏽	علامت شاخ: رنگ پوست متوسط
🤘🏾	علامت شاخ: رنگ پوست متوسط تا تیره
🤘🏿	علامت شاخ: رنگ پوست تیره
🤙	دستم را صدا کن
🤙🏻	call me hand: رنگ پوست روشن
🤙🏼	call me hand: رنگ پوست متوسط تا روشن
🤙🏽	call me hand: رنگ پوست متوسط
🤙🏾	call me hand: رنگ پوست متوسط تا تیره
🤙🏿	دستم را صدا کن: رنگ پوست تیره
🖐️	دست با انگشتان باز شده
🖐	دست با انگشتان باز شده
🖐🏻	دست با انگشتان باز شده: رنگ پوست روشن
🖐🏼	دست با انگشتان باز شده: رنگ پوست متوسط تا روشن
🖐🏽	دست با انگشتان باز شده: رنگ پوست متوسط
🖐🏾	دست با انگشتان باز شده: رنگ پوست متوسط تا تیره
🖐🏿	دست با انگشتان باز شده: رنگ پوست تیره
✋	دست بلند کرد
✋🏻	دست بلند شده: رنگ پوست روشن
✋🏼	دست بلند شده: رنگ پوست متوسط تا روشن
✋🏽	دست بلند شده: رنگ پوست متوسط
✋🏾	دست بلند شده: رنگ پوست متوسط تا تیره
✋🏿	دست بلند شده: رنگ پوست تیره
👌	باشه دست
👌🏻	دست خوب: رنگ پوست روشن
👌🏼	دست خوب: رنگ پوست متوسط تا روشن
👌🏽	دست خوب: رنگ پوست متوسط
👌🏾	دست خوب: رنگ پوست متوسط تا تیره
👌🏿	دست خوب: رنگ پوست تیره
👍	شست بالا
👍🏻	شست بالا: رنگ پوست روشن
👍🏼	شست بالا: رنگ پوست متوسط تا روشن
👍🏽	شست بالا: رنگ پوست متوسط
👍🏾	شست بالا: رنگ پوست متوسط تا تیره
👍🏿	شست بالا: رنگ پوست تیره
👎	شست پایین
👎🏻	شست به پایین: رنگ پوست روشن
👎🏼	شست به پایین: رنگ پوست متوسط رو به روشن
👎🏽	شست به پایین: رنگ پوست متوسط
👎🏾	انگشت شست به پایین: رنگ پوست متوسط تا تیره
👎🏿	شست به پایین: رنگ پوست تیره
✊	مشت بلند کرد
✊🏻	مشت بلند شده: رنگ پوست روشن
✊🏼	مشت بلند شده: رنگ پوست متوسط تا روشن
✊🏽	مشت بلند شده: رنگ پوست متوسط
✊🏾	مشت بلند شده: رنگ پوست متوسط تا تیره
✊🏿	مشت بلند شده: رنگ پوست تیره
👊	مشت پیش رو
👊🏻	مشت مقابل: رنگ پوست روشن
👊🏼	مشت مقابل: رنگ پوست متوسط تا روشن
👊🏽	مشت مقابل: رنگ پوست متوسط
👊🏾	مشت نزدیک: رنگ پوست متوسط تا تیره
👊🏿	مشت نزدیک: رنگ پوست تیره
🤛	مشت رو به چپ
🤛🏻	مشت چپ: رنگ پوست روشن
🤛🏼	مشت رو به چپ: رنگ پوست متوسط تا روشن
🤛🏽	مشت چپ: رنگ پوست متوسط
🤛🏾	مشت رو به چپ: رنگ پوست متوسط تا تیره
🤛🏿	مشت چپ: رنگ پوست تیره
🤜	مشت رو به راست
🤜🏻	مشت رو به راست: رنگ پوست روشن
🤜🏼	مشت رو به راست: رنگ پوست متوسط تا روشن
🤜🏽	مشت رو به راست: رنگ پوست متوسط
🤜🏾	مشت رو به راست: رنگ پوست متوسط تا تیره
🤜🏿	مشت رو به راست: رنگ پوست تیره
🤚	پشت دست بلند شد
🤚🏻	پشت دست بلند شده: رنگ پوست روشن
🤚🏼	پشت دست بلند شده: رنگ پوست متوسط تا روشن
🤚🏽	پشت دست بلند شده: رنگ پوست متوسط
🤚🏾	پشت دست بلند شده: رنگ پوست متوسط تا تیره
🤚🏿	پشت دست بلند شده: رنگ پوست تیره
👋	دست تکان دادن
👋🏻	دست تکان دهنده: رنگ پوست روشن
👋🏼	دست تکان دهنده: رنگ پوست متوسط تا روشن
👋🏽	دست تکان دهنده: رنگ پوست متوسط
👋🏾	دست تکان دهنده: رنگ پوست متوسط تا تیره
👋🏿	دست تکان دهنده: رنگ پوست تیره
🤟	ژست دوست دارم
🤟🏻	ژست عاشقانه: رنگ پوست روشن
🤟🏼	ژست عاشقانه: رنگ پوست متوسط تا روشن
🤟🏽	ژست عاشقانه: رنگ پوست متوسط
🤟🏾	ژست عاشقانه: رنگ پوست متوسط تا تیره
🤟🏿	ژست عاشقانه: رنگ پوست تیره
✍️	دست نوشتن
✍	دست نوشتن
✍🏻	دست نوشتن: رنگ پوست روشن
✍🏼	دست نوشتن: رنگ پوست متوسط تا روشن
✍🏽	دست نوشتن: رنگ پوست متوسط
✍🏾	دست نوشتن: رنگ پوست متوسط تا تیره
✍🏿	دست نوشتن: رنگ پوست تیره
👏	دست زدن
👏🏻	دست زدن: رنگ پوست روشن
👏🏼	دست زدن: رنگ پوست متوسط تا روشن
👏🏽	دست زدن: رنگ پوست متوسط
👏🏾	دست زدن: رنگ پوست متوسط تا تیره
👏🏿	دست زدن: رنگ پوست تیره
👐	دست های باز
👐🏻	دست باز: رنگ پوست روشن
👐🏼	دستان باز: رنگ پوست متوسط تا روشن
👐🏽	دست باز: رنگ پوست متوسط
👐🏾	دست باز: رنگ پوست متوسط تا تیره
👐🏿	دست باز: رنگ پوست تیره
🙌	بالا بردن دست ها
🙌🏻	بالا بردن دست ها: رنگ پوست روشن
🙌🏼	بالا بردن دست ها: رنگ پوست متوسط تا روشن
🙌🏽	بالا بردن دست ها: رنگ پوست متوسط
🙌🏾	بالا بردن دست ها: رنگ پوست متوسط تا تیره
🙌🏿	بالا بردن دست ها: رنگ پوست تیره
🤲	کف دست ها به سمت بالا
🤲🏻	کف دست ها به سمت بالا: رنگ پوست روشن
🤲🏼	کف دست ها به سمت بالا: رنگ پوست متوسط تا روشن
🤲🏽	کف دست ها به سمت بالا: رنگ پوست متوسط
🤲🏾	کف دست ها به سمت بالا: رنگ پوست متوسط تا تیره
🤲🏿	کف دست ها به سمت بالا: رنگ پوست تیره
🙏	دست های جمع شده
🙏🏻	دست های جمع شده: رنگ پوست روشن
🙏🏼	دست های جمع شده: رنگ پوست متوسط تا روشن
🙏🏽	دست های جمع شده: رنگ پوست متوسط
🙏🏾	دست های جمع شده: رنگ پوست متوسط تا تیره
🙏🏿	دست های جمع شده: رنگ پوست تیره
🤝	دست دادن
💅	لاک ناخن
💅🏻	لاک ناخن: رنگ پوست روشن
💅🏼	لاک ناخن: رنگ پوست متوسط تا روشن
💅🏽	لاک ناخن: رنگ پوست متوسط
💅🏾	لاک ناخن: رنگ پوست متوسط تا تیره
💅🏿	لاک ناخن: رنگ پوست تیره
👂	گوش
👂🏻	گوش: رنگ پوست روشن
👂🏼	گوش: رنگ پوست متوسط تا روشن
👂🏽	گوش: رنگ پوست متوسط
👂🏾	گوش: رنگ پوست متوسط تا تیره
👂🏿	گوش: رنگ پوست تیره
👃	بینی
👃🏻	بینی: رنگ پوست روشن
👃🏼	بینی: رنگ پوست متوسط تا روشن
👃🏽	بینی: رنگ پوست متوسط
👃🏾	بینی: رنگ پوست متوسط تا تیره
👃🏿	بینی: رنگ پوست تیره
🦰	مو قرمز
🦱	مو فرفری
🦲	بدون مو
🦳	مو سفید
👣	رد پا
👀	چشم ها
👁️	چشم
👁	چشم
👁️‍🗨️	حباب چشم در گفتار
👁‍🗨️	حباب چشم در گفتار
👁️‍🗨	حباب چشم در گفتار
👁‍🗨	حباب چشم در گفتار
🧠	مغز
🦴	استخوان
🦷	دندان
👅	زبان
👄	دهان
💋	علامت بوسه
💘	قلب با پیکان
❤️	قلب قرمز
❤	قلب قرمز
💓	قلب تپنده
💔	قلب شکسته
💕	دو قلب
💖	قلب درخشان
💗	قلب در حال رشد
💙	قلب آبی
💚	قلب سبز
💛	قلب زرد
🧡	قلب نارنجی
💜	قلب بنفش
🖤	قلب سیاه
💝	قلب با روبان
💞	قلب های گردان
💟	تزیین قلب
❣️	تعجب قلب سنگین
❣	تعجب قلب سنگین
💌	نامه عاشقانه
💤	zzz
💢	نماد خشم
💣	بمب
💥	برخورد
💦	قطرات عرق
💨	به سرعت دور شدن
💫	سرگیجه
💬	بالون سخنرانی
🗨️	حباب گفتار چپ
🗨	حباب گفتار چپ
🗯️	حباب خشم درست
🗯	حباب خشم درست
💭	بادکنک فکری
🕳️	سوراخ
🕳	سوراخ
👓	عینک
🕶️	عینک آفتابی
🕶	عینک آفتابی
🥽	عینک ایمنی
🥼	روپوش آزمایشگاه
👔	کراوات
👕	تی شرت
👖	شلوار جین
🧣	روسری
🧤	دستکش
🧥	کت
🧦	جوراب
👗	لباس
👘	کیمونو
👙	بیکینی
👚	لباس زنانه
👛	کیف پول
👜	کیف دستی
👝	کیف کلاچ
🛍️	کیسه های خرید
🛍	کیسه های خرید
🎒	کوله پشتی مدرسه
👞	کفش مردانه
👟	کفش دو
🥾	کفش پیاده روی
🥿	کفش تخت زنانه
👠	کفش پاشنه بلند
👡	صندل زنانه
👢	چکمه زن
👑	تاج پادشاهی
👒	کلاه زن
🎩	کلاه بالا
🎓	کلاه فارغ التحصیلی
🧢	درپوش صورتحساب
⛑️	کلاه ایمنی کارگر نجات
⛑	کلاه ایمنی کارگر نجات
📿	دانه های تسبیح
💄	رژ لب
💍	حلقه
💎	سنگ قیمتی
🐵	صورت میمون
🐒	میمون
🦍	گوریل
🐶	صورت سگ
🐕	سگ
🐩	پودل
🐺	صورت گرگ
🦊	صورت روباه
🦝	راکون
🐱	صورت گربه ای
🐈	گربه
🦁	صورت شیر
🐯	صورت ببر
🐅	ببر
🐆	پلنگ
🐴	صورت اسب
🐎	اسب
🦄	صورت تک شاخ
🦓	گورخر
🦌	آهو
🐮	صورت گاوی
🐂	گاو نر
🐃	گاو میش اهلی شده اسیایی
🐄	گاو
🐷	صورت خوک
🐖	خوک
🐗	گراز
🐽	بینی خوکی
🐏	رم
🐑	میش
🐐	بز
🐪	شتر
🐫	شتر دو کوهان
🦙	لاما
🦒	زرافه
🐘	فیل
🦏	کرگدن
🦛	اسب ابی
🐭	صورت موش
🐁	موش
🐀	موش صحرایی
🐹	صورت همستر
🐰	صورت خرگوش
🐇	خرگوش
🐿️	سنجاب
🐿	سنجاب
🦔	جوجه تيغي
🦇	خفاش
🐻	صورت خرس
🐨	کوالا
🐼	صورت پاندا
🦘	کانگورو
🦡	گورکن
🐾	جای پنجه
🦃	بوقلمون
🐔	جوجه
🐓	خروس
🐣	جوجه جوجه کشی
🐤	جوجه بچه
🐥	جوجه نوزاد رو به جلو
🐦	پرنده
🐧	پنگوئن
🕊️	کبوتر
🕊	کبوتر
🦅	عقاب
🦆	اردک
🦢	قو
🦉	جغد
🦚	طاووس
🦜	طوطی
🐸	صورت قورباغه ای
🐊	تمساح
🐢	لاک پشت
🦎	مارمولک
🐍	مار
🐲	صورت اژدها
🐉	اژدها
🦕	سوروپود
🦖	تی رکس
🐳	نهنگ فوران
🐋	نهنگ
🐬	دلفین
🐟	ماهی
🐠	ماهی استوایی
🐡	بادشکن
🦈	کوسه
🐙	اختاپوس
🐚	پوسته مارپیچی
🦀	خرچنگ
🦞	خرچنگ
🦐	میگو
🦑	ماهی مرکب
🐌	حلزون
🦋	پروانه
🐛	حشره
🐜	مورچه
🐝	زنبور عسل
🐞	سوسک خانم
🦗	کریکت
🕷️	عنکبوت
🕷	عنکبوت
🕸️	تار عنکبوت
🕸	تار عنکبوت
🦂	عقرب
🦟	پشه
🦠	میکروب
💐	دسته گل
🌸	شکوفه گیلاس
💮	گل سفید
🏵️	گل رز
🏵	گل رز
🌹	گل سرخ
🥀	گل پژمرده
🌺	هیبیسکوس
🌻	آفتابگردان
🌼	شکوفه - گل
🌷	گل لاله
🌱	نهال
🌲	درخت همیشه سبز
🌳	درخت برگریز
🌴	درخت نخل
🌵	کاکتوس
🌾	برگ برنج
🌿	گیاه دارویی
☘️	شبدر
☘	شبدر
🍀	شبدر چهار برگ
🍁	برگ درخت افرا
🍂	برگ افتاده
🍃	بال زدن برگ در باد
🍇	انگور
🍈	خربزه
🍉	هندوانه
🍊	نارنگی
🍋	لیمو
🍌	موز
🍍	آناناس
🥭	انبه
🍎	سیب قرمز
🍏	سیب سبز
🍐	گلابی
🍑	هلو
🍒	گیلاس
🍓	توت فرنگی
🥝	کیوی
🍅	گوجه فرنگی
🥥	نارگیل
🥑	آووکادو
🍆	بادمجان
🥔	سیب زمینی
🥕	هویج
🌽	خوشه ذرت
🌶️	فلفل تند
🌶	فلفل تند
🥒	خیار
🥬	سبز برگی
🥦	کلم بروکلی
🍄	قارچ
🥜	بادام زمینی
🌰	فندق
🍞	نان
🥐	نوعی از نان شیرین
🥖	نان باگت
🥨	چوب شور
🥯	شیرینی شیرینی پزی
🥞	پنکیک
🧀	قاچ پنیر
🍖	گوشت روی استخوان
🍗	پای مرغ
🥩	برش گوشت
🥓	بیکن
🍔	همبرگر
🍟	سیب زمینی سرخ کرده
🍕	پیتزا
🌭	هات داگ
🥪	ساندویچ
🌮	ساندویچ مکزیکی
🌯	بوریتو
🥙	نان پر شده
🥚	تخم مرغ
🍳	پخت و پز
🥘	ظرف کم عمق غذا
🍲	قابلمه غذا
🥣	کاسه با قاشق
🥗	سالاد سبزیجات
🍿	ذرت بو داده
🧂	نمک
🥫	غذای کنسرو شده
🍱	جعبه بنتو
🍘	کراکر برنج
🍙	گلوله برنج
🍚	برنج پخته
🍛	برنج کاری
🍜	کاسه بخار پز
🍝	ماکارونی
🍠	سیب زمینی شیرین کبابی
🍢	اودن
🍣	سوشی
🍤	میگو سرخ شده
🍥	کیک ماهی با چرخش
🥮	کیک ماه
🍡	دانگو
🥟	پیراشکی
🥠	کوکی ثروت
🥡	جعبه بایگانی اطلاعات
🍦	بستنی نرم
🍧	یخ تراشیده
🍨	بستنی
🍩	دونات
🍪	کوکی
🎂	کیک تولد
🍰	شیرینی کوتاه
🧁	کیک کوچک
🥧	پای
🍫	شکلات تخته ای
🍬	آب نبات
🍭	آب نبات چوبی
🍮	فرنی
🍯	گلدان عسل
🍼	بطری بچه
🥛	لیوان شیر
☕	نوشیدنی گرم
🍵	فنجان چای بدون دسته
🍶	منظور
🍾	بطری با چوب پنبه
🍷	لیوان شراب
🍸	لیوان کوکتل
🍹	نوشیدنی گرمسیری
🍺	جام شراب
🍻	لیوان های آبجو صدای جیر جیر
🥂	لیوان های به هم زدن
🥃	لیوان لیوان
🥤	فنجان با نی
🥢	چاپستیک ها
🍽️	چنگال و چاقو با بشقاب
🍽	چنگال و چاقو با بشقاب
🍴	چنگال و چاقو
🥄	قاشق
🔪	کارد آشپزخانه
🏺	آمفورا
🌍	کره ای که اروپا-آفریقا را نشان می دهد
🌎	کره ای که قاره آمریکا را نشان می دهد
🌏	کره ای که آسیا-استرالیا را نشان می دهد
🌐	کره با نصف النهارها
🗺️	نقشه جهان
🗺	نقشه جهان
🗾	نقشه ژاپن
🧭	قطب نما
🏔️	کوه پوشیده از برف
🏔	کوه پوشیده از برف
⛰️	کوه
⛰	کوه
🌋	آتشفشان
🗻	کوه فوجی
🏕️	چادر زدن
🏕	چادر زدن
🏖️	ساحل با چتر
🏖	ساحل با چتر
🏜️	کویر
🏜	کویر
🏝️	جزیره کویری
🏝	جزیره کویری
🏞️	پارک ملی
🏞	پارک ملی
🏟️	استادیوم
🏟	استادیوم
🏛️	ساختمان کلاسیک
🏛	ساختمان کلاسیک
🏗️	ساخت و ساز ساختمان
🏗	ساخت و ساز ساختمان
🧱	آجر
🏘️	خانه ها
🏘	خانه ها
🏚️	خانه متروکه
🏚	خانه متروکه
🏠	خانه
🏡	خانه با باغ
🏢	ساختمان اداری
🏣	اداره پست ژاپن
🏤	اداره پست
🏥	بیمارستان
🏦	بانک
🏨	هتل
🏩	عاشق هتل
🏪	خواروبارفروشی کوچک
🏫	مدرسه
🏬	فروشگاه بزرگ
🏭	کارخانه
🏯	قلعه ژاپنی
🏰	قلعه
💒	عروسی
🗼	برج توکیو
🗽	مجسمه آزادی
⛪	کلیسا
🕌	مسجد
🕍	کنیسه
⛩️	زیارتگاه شینتو
⛩	زیارتگاه شینتو
🕋	کعبه
⛲	آبنما
⛺	چادر
🌁	مه آلود
🌃	شب با ستاره ها
🏙️	منظره شهری
🏙	منظره شهری
🌄	طلوع خورشید بر فراز کوه ها
🌅	طلوع خورشید
🌆	منظره شهری در غروب
🌇	غروب آفتاب
🌉	پل در شب
♨️	چشمه های آب گرم
♨	چشمه های آب گرم
🌌	راه شیری
🎠	اسب چرخ فلک
🎡	چرخ و فلک
🎢	ترن هوایی
💈	میله آرایشگر
🎪	چادر سیرک
🚂	لوکوموتیو
🚃	واگن راه آهن
🚄	قطار سریع السیر
🚅	قطار گلوله
🚆	قطار - تعلیم دادن
🚇	مترو
🚈	راه آهن سبک
🚉	ایستگاه
🚊	تراموا
🚝	مونوریل
🚞	راه آهن کوهستانی
🚋	ماشین تراموا
🚌	اتوبوس
🚍	اتوبوس روبرو
🚎	واگن برقی
🚐	مینی بوس
🚑	آمبولانس
🚒	ماشین آتش نشانی
🚓	ماشین پلیس
🚔	ماشین پلیس نزدیک
🚕	تاکسی
🚖	تاکسی روبرو
🚗	خودرو
🚘	ماشین پیش رو
🚙	وسیله نقلیه کاربردی اسپرت
🚚	کامیون تحویل
🚛	کامیون مفصلی
🚜	تراکتور
🚲	دوچرخه
🛴	اسکوتر ضربه ای
🛹	اسکیت برد
🛵	موتور اسکوتر
🚏	ایستگاه اتوبوس
🛣️	بزرگراه
🛣	بزرگراه
🛤️	مسیر راه آهن
🛤	مسیر راه آهن
🛢️	بشکه نفت
🛢	بشکه نفت
⛽	پمپ سوخت
🚨	چراغ ماشین پلیس
🚥	چراغ راهنمایی افقی
🚦	چراغ راهنمایی عمودی
🛑	نشان ایست
🚧	ساخت و ساز
⚓	لنگر
⛵	قایق بادبانی
🛶	قایق رانی
🚤	قایق تندرو
🛳️	کشتی مسافربری
🛳	کشتی مسافربری
⛴️	کشتی
⛴	کشتی
🛥️	قایق موتوری
🛥	قایق موتوری
🚢	کشتی
✈️	هواپیما
✈	هواپیما
🛩️	هواپیمای کوچک
🛩	هواپیمای کوچک
🛫	خروج هواپیما
🛬	ورود هواپیما
💺	صندلی
🚁	بالگرد
🚟	راه آهن معلق
🚠	تله کابین کوهستانی
🚡	ترن هوایی
🛰️	ماهواره
🛰	ماهواره
🚀	موشک
🛸	بشقاب پرنده
🛎️	زنگ زنگ
🛎	زنگ زنگ
🧳	بار مسافر
⌛	ساعت شنی انجام شد
⏳	ساعت شنی انجام نشد
⌚	تماشا کردن
⏰	ساعت زنگدار
⏱️	کرونومتر
⏱	کرونومتر
⏲️	ساعت تایمر
⏲	ساعت تایمر
🕰️	ساعت شومینه ای
🕰	ساعت شومینه ای
🕛	ساعت دوازده
🕧	دوازده و نیم
🕐	ساعت یک
🕜	یک سی
🕑	ساعت دو
🕝	دو و نیم
🕒	ساعت سه
🕞	سه سی
🕓	ساعت چهار
🕟	چهار و سی دقیقه
🕔	ساعت پنج
🕠	پنج و نیم
🕕	ساعت شش
🕡	شش و نیم
🕖	ساعت هفت
🕢	هفت و سی دقیقه
🕗	ساعت هشت
🕣	هشت و نیم
🕘	ساعت نه
🕤	نه سی
🕙	ساعت ده
🕥	1030
🕚	ساعت یازده
🕦	1130
🌑	ماه نو
🌒	هلال ماه در حال افزایش
🌓	ربع اول ماه
🌔	ماه غول پیکر در حال افزایش
🌕	ماه کامل
🌖	ماه غول پیکر رو به زوال
🌗	ربع آخر ماه
🌘	هلال ماه رو به زوال
🌙	هلال ماه
🌚	صورت ماه نو
🌛	ربع اول صورت ماه
🌜	ربع آخر چهره ماه
🌡️	دماسنج
🌡	دماسنج
☀️	آفتاب
☀	آفتاب
🌝	صورت ماه کامل
🌞	خورشید با صورت
⭐	ستاره
🌟	ستاره درخشان
🌠	ستاره دنباله دار
☁️	ابر
☁	ابر
⛅	خورشید پشت ابر
⛈️	ابر همراه با رعد و برق و باران
⛈	ابر همراه با رعد و برق و باران
🌤️	خورشید پشت ابر کوچک
🌤	خورشید پشت ابر کوچک
🌥️	خورشید پشت ابر بزرگ
🌥	خورشید پشت ابر بزرگ
🌦️	خورشید پشت ابر بارانی
🌦	خورشید پشت ابر بارانی
🌧️	ابر همراه با باران
🌧	ابر همراه با باران
🌨️	ابر با برف
🌨	ابر با برف
🌩️	ابر با رعد و برق
🌩	ابر با رعد و برق
🌪️	گردباد
🌪	گردباد
🌫️	مه
🌫	مه
🌬️	صورت باد
🌬	صورت باد
🌀	طوفان
🌈	رنگين كمان
🌂	چتر بسته
☂️	چتر
☂	چتر
☔	چتر با قطره های باران
⛱️	چتر روی زمین
⛱	چتر روی زمین
⚡	ولتاژ بالا
❄️	دانه برف
❄	دانه برف
☃️	آدم برفی
☃	آدم برفی
⛄	آدم برفی بدون برف
☄️	دنباله دار
☄	دنباله دار
🔥	آتش
💧	قطره
🌊	موج آب
🎃	جک و فانوس
🎄	درخت کریسمس
🎆	آتش بازی
🎇	جرقه زن
🧨	فشفشه
✨	می درخشد
🎈	بالون
🎉	پاپر پارتی
🎊	توپ کانفتی
🎋	درخت تناباتا
🎍	تزیین کاج
🎎	عروسک های ژاپنی
🎏	جریان ساز کپور
🎐	زنگ باد
🎑	مراسم تماشای ماه
🧧	پاکت قرمز
🎀	روبان
🎁	هدیه بسته بندی شده
🎗️	روبان یادآوری
🎗	روبان یادآوری
🎟️	بلیط های ورودی
🎟	بلیط های ورودی
🎫	بلیط
🎖️	مدال نظامی
🎖	مدال نظامی
🏆	جام
🏅	مدال ورزشی
🥇	مدال مقام اول
🥈	مدال مقام دوم
🥉	مدال مقام سوم
⚽	توپ فوتبال
⚾	بیسبال
🥎	سافت بال
🏀	بسکتبال
🏐	والیبال
🏈	فوتبال آمریکایی
🏉	فوتبال راگبی
🎾	تنیس
🥏	دیسک پرنده
🎳	بولینگ
🏏	بازی کریکت
🏑	هاکی روی چمن
🏒	هاکی روی یخ
🥍	لاکراس
🏓	پینگ پونگ
🏸	بدمینتون
🥊	دستکش بوکس
🥋	لباس رزمی
🥅	تور دروازه
⛳	پرچم در سوراخ
⛸️	اسکیت روی یخ
⛸	اسکیت روی یخ
🎣	تیر ماهیگیری
🎽	پیراهن دویدن
🎿	اسکی
🛷	سورتمه
🥌	سنگ حلقه زنی
🎯	ضربه مستقیم
🎱	توپ استخر 8
🔮	توپ کریستال
🧿	تعویذ نظر
🎮	بازی ویدیویی
🕹️	جوی استیک
🕹	جوی استیک
🎰	دستگاه اسلات
🎲	بازی بمیر
🧩	اره منبت کاری اره مویی
🧸	خرس عروسکی
♠️	کت و شلوار بیل
♠	کت و شلوار بیل
♥️	کت و شلوار قلب
♥	کت و شلوار قلب
♦️	کت و شلوار الماس
♦	کت و شلوار الماس
♣️	لباس مجلسی
♣	لباس مجلسی
♟️	پیاده شطرنج
♟	پیاده شطرنج
🃏	جوکر
🀄	اژدهای قرمز فال ماهجونگ
