😀	خندونکې مخ
🤾🏽‍♂	سړی د لاسي بال لوبه کوي: د پوستکي منځنی رنګ
🤾🏾‍♂️	سړی د لاسي بال لوبه کوي: د پوستکي منځنی تور رنګ
🤾🏾‍♂	سړی د لاسي بال لوبه کوي: د پوستکي منځنی تور رنګ
🤾🏿‍♂️	سړی د لاسي بال لوبه کوي: تور پوستکي
🤾🏿‍♂	سړی د لاسي بال لوبه کوي: تور پوستکي
🤾‍♀️	ښځه د لاسي بال لوبه کوي
🤾‍♀	ښځه د لاسي بال لوبه کوي
🤾🏻‍♀️	ښځه د لاسي بال لوبه کوي: د پوستکي رنګ
🤾🏻‍♀	ښځه د لاسي بال لوبه کوي: د پوستکي رنګ
🤾🏼‍♀️	ښځه د لاسي بال لوبه کوي: د پوستکي متوسط رنګ
🤾🏼‍♀	ښځه د لاسي بال لوبه کوي: د پوستکي متوسط رنګ
🤾🏽‍♀️	ښځه د لاسي بال لوبه کوي: د پوستکي منځنی رنګ
🤾🏽‍♀	ښځه د لاسي بال لوبه کوي: د پوستکي منځنی رنګ
🤾🏾‍♀️	ښځه د لاسي بال لوبه کوي: د پوستکي منځنی تور رنګ
🤾🏾‍♀	ښځه د لاسي بال لوبه کوي: د پوستکي منځنی تور رنګ
🤾🏿‍♀️	ښځه د لاسي بال لوبه کوي: تور پوستکي
🤾🏿‍♀	ښځه د لاسي بال لوبه کوي: تور پوستکي
🤹	سړی جادوګري کوي
🤹🏻	سړی جنګول: د پوستکي رنګ
🤹🏼	سړی جنګول: د پوستکي منځنۍ رنګ
🤹🏽	سړی جنګول: د پوستکي منځنی رنګ
🤹🏾	سړی جنګول: د پوستکي منځنی تور رنګ
🤹🏿	سړی جګ کول: تور پوستکی
🤹‍♂️	سړی جادوګري کوي
🤹‍♂	سړی جادوګري کوي
🤹🏻‍♂️	سړی جادوګري: د پوستکي رنګ
🤹🏻‍♂	سړی جادوګري: د پوستکي رنګ
🤹🏼‍♂️	سړی جادوګري: د پوستکي منځنۍ رنګ
🤹🏼‍♂	سړی جادوګري: د پوستکي منځنۍ رنګ
🤹🏽‍♂️	سړی جادوګري: د پوستکي منځنی رنګ
🤹🏽‍♂	سړی جادوګري: د پوستکي منځنی رنګ
🤹🏾‍♂️	سړی جادوګري: د پوستکي منځنی تور رنګ
🤹🏾‍♂	سړی جادوګري: د پوستکي منځنی تور رنګ
🤹🏿‍♂️	سړی جادوګری: تور پوستکی
🤹🏿‍♂	سړی جادوګری: تور پوستکی
🤹‍♀️	ښځه جادو کول
🤹‍♀	ښځه جادو کول
🤹🏻‍♀️	ښځه جادوګري: د پوستکي روښانه رنګ
🤹🏻‍♀	ښځه جادوګري: د پوستکي روښانه رنګ
🤹🏼‍♀️	ښځه جادوګري: د پوستکي متوسط رنګ
🤹🏼‍♀	ښځه جادوګري: د پوستکي متوسط رنګ
🤹🏽‍♀️	ښځه جادو کوي: د پوستکي منځنی رنګ
🤹🏽‍♀	ښځه جادو کوي: د پوستکي منځنی رنګ
🤹🏾‍♀️	ښځه جادو کوي: د پوستکي منځنی تور رنګ
🤹🏾‍♀	ښځه جادو کوي: د پوستکي منځنی تور رنګ
🤹🏿‍♀️	ښځه: د پوستکي تور رنګ
🤹🏿‍♀	ښځه: د پوستکي تور رنګ
👫	نارینه او ښځه لاسونه نیسي
👬	دوه سړي لاسونه نیسي
👭	دوه ښځې لاسونه نیسي
💏	ښکلول
👩‍❤️‍💋‍👨	بوس: ښځه، سړی
👩‍❤‍💋‍👨	بوس: ښځه، سړی
👨‍❤️‍💋‍👨	بوس: سړی، سړی
👨‍❤‍💋‍👨	بوس: سړی، سړی
👩‍❤️‍💋‍👩	بوس: ښځه، ښځه
👩‍❤‍💋‍👩	بوس: ښځه، ښځه
💑	جوړه د زړه سره
👩‍❤️‍👨	د زړه سره جوړه: ښځه، سړی
👩‍❤‍👨	د زړه سره جوړه: ښځه، سړی
👨‍❤️‍👨	د زړه سره جوړه: سړی، سړی
👨‍❤‍👨	د زړه سره جوړه: سړی، سړی
👩‍❤️‍👩	د زړه سره جوړه: ښځه، ښځه
👩‍❤‍👩	د زړه سره جوړه: ښځه، ښځه
👪	کورنۍ
👨‍👩‍👦	کورنۍ: سړی، ښځه، هلک
👨‍👩‍👧	کورنۍ: سړی، ښځه، نجلۍ
👨‍👩‍👧‍👦	کورنۍ: سړی، ښځه، نجلۍ، هلک
👨‍👩‍👦‍👦	کورنۍ: سړی، ښځه، هلک، هلک
👨‍👩‍👧‍👧	کورنۍ: سړی، ښځه، نجلۍ، نجلۍ
👨‍👨‍👦	کورنۍ: سړی، سړی، هلک
👨‍👨‍👧	کورنۍ: سړی، سړی، نجلۍ
👨‍👨‍👧‍👦	کورنۍ: سړی، سړی، نجلۍ، هلک
👨‍👨‍👦‍👦	کورنۍ: سړی، سړی، هلک، هلک
👨‍👨‍👧‍👧	کورنۍ: سړی، سړی، نجلۍ، نجلۍ
👩‍👩‍👦	کورنۍ: ښځه، ښځه، هلک
👩‍👩‍👧	کورنۍ: ښځه، ښځه، نجلۍ
👩‍👩‍👧‍👦	کورنۍ: ښځه، ښځه، نجلۍ، هلک
👩‍👩‍👦‍👦	کورنۍ: ښځه، ښځه، هلک، هلک
👩‍👩‍👧‍👧	کورنۍ: ښځه، ښځه، نجلۍ، نجلۍ
👨‍👦	کورنۍ: سړی، هلک
👨‍👦‍👦	کورنۍ: سړی، هلک، هلک
👨‍👧	کورنۍ: سړی، نجلۍ
👨‍👧‍👦	کورنۍ: سړی، نجلۍ، هلک
👨‍👧‍👧	کورنۍ: سړی، نجلۍ، نجلۍ
👩‍👦	کورنۍ: ښځه، هلک
👩‍👦‍👦	کورنۍ: ښځه، هلک، هلک
👩‍👧	کورنۍ: ښځه، نجلۍ
👩‍👧‍👦	کورنۍ: ښځه، نجلۍ، هلک
👩‍👧‍👧	کورنۍ: ښځه، نجلۍ، نجلۍ
🤳	سیلفي
🤳🏻	سیلفي: د پوستکي رنګ
🤳🏼	سیلفي: د پوستکي منځنۍ رنګ
🤳🏽	سیلفي: د پوستکي منځنی رنګ
🤳🏾	سیلفي: د پوستکي منځنی تور رنګ
🤳🏿	سیلفي: تور پوستکي
💪	انعطاف شوي بایسپس
💪🏻	فلیکس شوي بایسپس: د پوستکي روښانه رنګ
💪🏼	فلیکس شوي بایسپس: د پوستکي منځنۍ رنګ
💪🏽	فلیکس شوي بایسپس: د پوستکي منځنۍ رنګ
💪🏾	فلیکس شوي بایسپس: د پوستکي منځنی تور رنګ
💪🏿	فلیکس شوي بایسپس: د پوستکي تور رنګ
🦵	پښه
🦵🏻	پښه: د پوستکي روښانه رنګ
🦵🏼	پښه: د پوستکي منځنۍ رنګ
🦵🏽	پښه: د پوستکي منځنی رنګ
🦵🏾	پښه: د پوستکي منځنی تور رنګ
🦵🏿	پښه: تور پوستکی
🦶	پښه
🦶🏻	پښه: د پوستکي رنګ
🦶🏼	پښه: د پوستکي منځنۍ رنګ
🦶🏽	پښه: د پوستکي منځنی رنګ
🦶🏾	پښه: د پوستکي منځنی تور رنګ
🦶🏿	پښه: تور پوستکی
👈	د شاته لاس شاخص کیڼ لور ته اشاره کوي
👈🏻	د شا په لور اشاره کول: د پوستکي روښانه رنګ
👈🏼	د شا په لور اشاره کول: د پوستکي منځنۍ رنګ
👈🏽	د شا په لور اشاره کول: د پوستکي منځنۍ رنګ
👈🏾	د شا په لور اشاره کول: د پوستکي منځنی تور رنګ
👈🏿	د شا په لور اشاره کول: د پوستکي تور رنګ
👉	شاته لاسي شاخص ښي خوا ته اشاره کوي
👉🏻	د شا په لور اشاره کوي: د پوستکي روښانه رنګ
👉🏼	د شا د لاس شاخص ښي خوا ته اشاره کوي: د پوستکي منځنۍ رنګ
👉🏽	د شا د لاس شاخص ښي خوا ته اشاره کوي: د پوستکي منځنۍ رنګ
👉🏾	د شا د لاس شاخص ښي خوا ته اشاره کوي: د پوستکي منځنی تور رنګ
👉🏿	د شا په لور اشاره کوي: د پوستکي تور رنګ
☝️	شاخص پورته کوي
☝	شاخص پورته کوي
☝🏻	اشاره پورته کول: د پوستکي روښانه رنګ
☝🏼	شاخص پورته په ګوته کوي: د پوستکي منځنۍ رنګ
☝🏽	اشاره پورته کول: د پوستکي منځنۍ رنګ
☝🏾	شاخص پورته اشاره کوي: د پوستکي منځنی تور رنګ
☝🏿	اشاره پورته کول: تور پوستکي
👆	شاته لاسي شاخص پورته په ګوته کوي
👆🏻	د شا د لاس شاخص پورته اشاره کوي: د پوستکي روښانه رنګ
👆🏼	د شا د لاس شاخص پورته اشاره کوي: د پوستکي منځنۍ رنګ
👆🏽	د شا شاته اشاره کوي: د پوستکي منځنی رنګ
👆🏾	د شا د لاس شاخص پورته اشاره کوي: د پوستکي منځنی تور رنګ
👆🏿	د شا د لاس شاخص پورته اشاره کوي: تور پوستکي
🖕	منځنۍ ګوته
🖕🏻	منځنۍ ګوته: د پوستکي رنګ
🖕🏼	منځنۍ ګوته: د پوستکي منځنۍ رنګ
🖕🏽	منځنۍ ګوته: د پوستکي منځنی رنګ
🖕🏾	منځنۍ ګوته: د پوستکي منځنی تور رنګ
🖕🏿	منځنۍ ګوته: د پوستکي تور
👇	د شاته لاس شاخص ښکته په ګوته کوي
👇🏻	د شا شاته اشاره کول: د پوستکي روښانه رنګ
👇🏼	د شا د لاس شاخص ښکته اشاره کوي: د پوستکي منځنۍ رنګ
👇🏽	د شا د لاس شاخص ښکته اشاره کوي: د پوستکي منځنۍ رنګ
👇🏾	د شا شاته اشاره کول: د پوستکي منځنی تور رنګ
👇🏿	د شا د لاس شاخص ښکته اشاره کوي: تور پوستکي
✌️	د بریا لاس
✌	د بریا لاس
✌🏻	د بریا لاس: د پوستکي رنګ
✌🏼	د بري لاس: د پوستکي منځنۍ رنګ
✌🏽	د بریا لاس: د پوستکي منځنی رنګ
✌🏾	د بریا لاس: د پوستکي منځنی تور رنګ
✌🏿	د بریا لاس: تور پوستکی
🤞	کراس شوي ګوتې
🤞🏻	لاسي ګوتې: د پوستکي رنګ
🤞🏼	کراس شوې ګوتې: د پوستکي منځنۍ رنګ
🤞🏽	کراس شوې ګوتې: د پوستکي منځنۍ رنګ
🤞🏾	کراس شوې ګوتې: د پوستکي منځنی تور رنګ
🤞🏿	لاسي ګوتې: تور پوستکي
🖖	vulcan سلام
🖖🏻	vulcan سلام: د پوستکي رنګ
🖖🏼	vulcan salute: د پوستکي منځنۍ رنګ
🖖🏽	vulcan salute: د پوستکي منځنی رنګ
🖖🏾	vulcan salute: د پوستکي منځنی تور رنګ
🖖🏿	vulcan salute: تور پوستکی
🤘	د سینګونو نښه
🤘🏻	د ښکرونو نښه: د پوستکي روښانه رنګ
🤘🏼	د ښکرونو نښه: د پوستکي متوسط رنګ
🤘🏽	د ښکرونو نښه: د پوستکي منځنی رنګ
🤘🏾	د ښکرونو نښه: د پوستکي منځنی تور رنګ
🤘🏿	د ښکرونو نښه: د پوستکي تور رنګ
🤙	لاس مې وواهه
🤙🏻	لاس مې غږ کړ: د پوستکي رنګ
🤙🏼	لاس مې زنګ ووهه: د پوستکي منځنی رنګ
🤙🏽	لاس مې غږ کړه: د پوستکي منځنی رنګ
🤙🏾	لاس مې زنګ ووهه: د پوستکي منځنی تور رنګ
🤙🏿	زنګ مې لاس: تور پوستکی
🖐️	لاس د ګوتو سره سپک شوی
🖐	لاس د ګوتو سره سپک شوی
🖐🏻	لاس د ګوتو سره سپک شوی: د پوستکي رنګ
🖐🏼	لاس د ګوتو سره سپک شوی: د پوستکي منځنی رنګ
🖐🏽	لاس د ګوتو سره سپړل شوی: د پوستکي منځنی رنګ
🖐🏾	لاس د ګوتو سره سپیل شوی: د پوستکي منځنی تور رنګ
🖐🏿	لاس د ګوتو سره سپک شوی: د پوستکي تور
✋	پورته شوی لاس
✋🏻	پورته شوی لاس: د پوستکي رنګ
✋🏼	پورته شوی لاس: د پوستکي منځنۍ رنګ
✋🏽	پورته شوی لاس: د پوستکي منځنی رنګ
✋🏾	پورته شوی لاس: د پوستکي منځنی تور رنګ
✋🏿	پورته شوی لاس: تور پوستکی
👌	ښه لاس
👌🏻	ښه لاس: د پوستکي رنګ
👌🏼	ښه لاس: د پوستکي منځنی رنګ
👌🏽	ښه لاس: د پوستکي منځنی ټون
👌🏾	ښه لاس: د پوستکي منځنی تور رنګ
👌🏿	اوکه لاس: تور پوستکی
👍	تړون
👍🏻	ګوتې پورته: د پوستکي روښانه رنګ
👍🏼	ګوتې پورته: د پوستکي منځنۍ رنګ
👍🏽	ګوتې پورته: د پوستکي منځنی رنګ
👍🏾	ګوتې پورته: د پوستکي منځنی تور رنګ
👍🏿	ګوتې پورته: تور پوستکي
👎	ګوتې ښکته
👎🏻	ښکته ګوتې: د پوستکي روښانه رنګ
👎🏼	ښکته ګوتې: د پوستکي منځنۍ رنګ
👎🏽	ښکته ګوته: د پوستکي منځنی رنګ
👎🏾	ښکته ګوتې: د پوستکي منځنی تور رنګ
👎🏿	ښکته ګوتې: تور پوستکي
✊	پورته شوی لاس
✊🏻	پورته شوی لاس: د پوستکي روښانه رنګ
✊🏼	پورته شوې خوله: د پوستکي منځنۍ رنګ
✊🏽	پورته شوې خوله: د پوستکي منځنۍ رنګ
✊🏾	پورته شوې خوله: د پوستکي منځنی تور رنګ
✊🏿	پورته شوی لاس: د پوستکي تور رنګ
👊	راتلوونکې لاس
👊🏻	راتلوونکی لاس: د پوستکي روښانه رنګ
👊🏼	راتلوونکې لاس: د پوستکي منځنۍ رنګ
👊🏽	راتلوونکې لاس: د پوستکي منځنی رنګ
👊🏾	راتلوونکې لاس: د پوستکي منځنی تور رنګ
👊🏿	مخکی مخکی: تور پوستکی
🤛	کیڼ اړخ ته مخامخ لاس
🤛🏻	کیڼ اړخ ته مخامخ لاس: د پوستکي روښانه رنګ
🤛🏼	کیڼ اړخ ته مخامخ مټ: د پوستکي منځنۍ رنګ
🤛🏽	کیڼ اړخ ته مخامخ مټ: د پوستکي منځنی رنګ
🤛🏾	کیڼ اړخ ته مخامخ لاس: د پوستکي منځنی تور رنګ
🤛🏿	کیڼ اړخ ته مخامخ لاس: تور پوستکی
🤜	ښي خوا ته مخامخ مټ
🤜🏻	ښي خوا ته مخامخ لاس: د پوستکي روښانه رنګ
🤜🏼	ښي خوا ته مخامخ مټ: د پوستکي منځنۍ رنګ
🤜🏽	ښي خوا ته مخامخ مټ: د پوستکي منځنی رنګ
🤜🏾	ښي خوا ته مخامخ مټ: د پوستکي منځنی تور رنګ
🤜🏿	ښي خوا ته مخامخ مټ: تور پوستکي
🤚	د لاس شاته پورته شو
🤚🏻	د لاس شاته پورته شوی: د پوستکي روښانه رنګ
🤚🏼	د لاس شاته پورته شوی: د پوستکي منځنۍ رنګ
🤚🏽	د لاس شاته پورته شوی: د پوستکي منځنی رنګ
🤚🏾	د لاس شاته پورته شوی: د پوستکي منځنی تور رنګ
🤚🏿	د لاس شاته پورته شوی: د پوستکي تور
👋	لاس وهل
👋🏻	لاس وهل: د پوستکي روښانه رنګ
👋🏼	لاس وهل: د پوستکي منځنۍ رنګ
👋🏽	لاس وهل: د پوستکي منځنی رنګ
👋🏾	لاس وهل: د پوستکي منځنی تور رنګ
👋🏿	لاس وهل: تور پوستکی
🤟	مینه - ستا اشاره
🤟🏻	د مینې اشاره: د پوستکي روښانه رنګ
🤟🏼	د مینې اشاره: د پوستکي منځنۍ رنګ
🤟🏽	د مینې اشاره: د پوستکي منځنۍ رنګ
🤟🏾	له تا سره مینه: د پوستکي منځنی تور رنګ
🤟🏿	له تا سره مینه: د پوستکي تور رنګ
✍️	د لیکلو لاس
✍	د لیکلو لاس
✍🏻	د لیکلو لاس: د پوستکي رنګ
✍🏼	د لیکلو لاس: د پوستکي منځنۍ رنګ
✍🏽	د لیکلو لاس: د پوستکي منځنی رنګ
✍🏾	د لیکلو لاس: د پوستکي منځنی تور رنګ
✍🏿	د لیکلو لاس: تور پوستکی
👏	لاسونه ټکول
👏🏻	لاسونه: د پوستکي روښانه رنګ
👏🏼	لاسونه: د پوستکي متوسط رنګ
👏🏽	لاسونه: د پوستکي منځنی رنګ
👏🏾	لاسونه: د پوستکي منځنی تور رنګ
👏🏿	لاسونه: د پوستکي تور رنګ
👐	خلاص لاسونه
👐🏻	خلاص لاسونه: د پوستکي رنګ
👐🏼	خلاص لاسونه: د پوستکي منځنۍ رنګ
👐🏽	خلاص لاسونه: د پوستکي منځنی رنګ
👐🏾	خلاص لاسونه: د پوستکي منځنی تور رنګ
👐🏿	خلاص لاسونه: تور پوستکي
🙌	لاسونه پورته کول
🙌🏻	لاسونه پورته کول: د پوستکي روښانه رنګ
🙌🏼	لاسونه پورته کول: د پوستکي منځنۍ رنګ
🙌🏽	لاسونه پورته کول: د پوستکي منځنۍ رنګ
🙌🏾	لاسونه پورته کول: د پوستکي منځنی تور رنګ
🙌🏿	لاسونه پورته کول: د پوستکي تور رنګ
🤲	لاسونه یوځای پورته کول
🤲🏻	لاسونه سره یوځای: د پوستکي روښانه رنګ
🤲🏼	لاسونه سره یو ځای: د پوستکي منځنۍ رنګ
🤲🏽	لاسونه سره یوځای: د پوستکي منځنۍ رنګ
🤲🏾	لاسونه سره یوځای: د پوستکي منځنی تور رنګ
🤲🏿	لاسونه سره یوځای: د پوستکي تور رنګ
🙏	تړل شوي لاسونه
🙏🏻	تړل شوي لاسونه: د پوستکي روښانه رنګ
🙏🏼	تړل شوي لاسونه: د پوستکي منځنۍ رنګ
🙏🏽	تړل شوي لاسونه: د پوستکي منځنی رنګ
🙏🏾	تړل شوي لاسونه: د پوستکي منځنی تور رنګ
🙏🏿	تړل شوي لاسونه: تور پوستکي رنګ
🤝	لاس ورکول
💅	د نوکانو پالش
💅🏻	نیل پالش: د پوستکي روښانه رنګ
💅🏼	د نوکانو پالش: د پوستکي منځنۍ رنګ
💅🏽	د ناخن پالش: د پوستکي منځنۍ رنګ
💅🏾	د نیل پالش: د پوستکي منځنی تور رنګ
💅🏿	نیل پالش: د پوستکي تور رنګ
👂	غوږ
👂🏻	غوږ: د پوستکي رنګ
👂🏼	غوږ: د پوستکي منځنۍ رنګ
👂🏽	غوږ: د پوستکي منځنی ټون
👂🏾	غوږ: د پوستکي منځنی تور رنګ
👂🏿	غوږ: تور پوستکی
👃	پوزه
👃🏻	پوزه: د پوستکي روښانه رنګ
👃🏼	پوزه: د پوستکي منځنۍ رنګ
👃🏽	پوزه: د پوستکي منځنی رنګ
👃🏾	پوزه: د پوستکي منځنی تور رنګ
👃🏿	پوزه: تور پوستکي رنګ
🦰	سور ویښتان
🦱	ګرده ویښتان
🦲	ګنج
🦳	سپین ویښتان
👣	د پښو نښان
👀	سترګې
👁️	سترګې
👁	سترګې
👁️‍🗨️	د وینا بلبل کې سترګې
👁‍🗨️	د وینا بلبل کې سترګې
👁️‍🗨	د وینا بلبل کې سترګې
👁‍🗨	د وینا بلبل کې سترګې
🧠	مغز
🦴	هډوکي
🦷	غاښ
👅	ژبه
👄	خوله
💋	د ښکلولو نښه
💘	زړه د تیر سره
❤️	سور زړه
❤	سور زړه
💓	زړه وهل
💔	مات شوی زړه
💕	دوه زړونه
💖	روښانه زړه
💗	د زړه وده
💙	نیلي زړه
💚	شنه زړه
💛	ژیړ زړه
🧡	نارنجي زړه
💜	ارغواني زړه
🖤	تور زړه
💝	زړه د ربن سره
💞	ګرځیدونکي زړونه
💟	د زړه سينګار
❣️	دروند زړه افت
❣	دروند زړه افت
💌	د مینې لیک
💤	zzz
💢	د قهر سمبول
💣	بم
💥	ټکر
💦	د خولې څاڅکي
💨	لیرې کول
💫	چکر وهل
💬	د وینا بالون
🗨️	چپه وینا بلبله
🗨	چپه وینا بلبله
🗯️	د حق غوسه بلبل
🗯	د حق غوسه بلبل
💭	فکر بالون
🕳️	سوری
🕳	سوری
👓	شیشې
🕶️	د لمر عینکې
🕶	د لمر عینکې
🥽	چشمې
🥼	لابراتوار کوټ
👔	غالۍ
👕	ټي کميس
👖	جینس
🧣	سکارف
🧤	دستکشې
🧥	کوټ
🧦	جرابې
👗	جامې
👘	کیمونو
👙	بيکيني
👚	د ښځو جامې
👛	پرس
👜	لاسي کڅوړه
👝	د کلچ کڅوړه
🛍️	د پیرود کڅوړې
🛍	د پیرود کڅوړې
🎒	د ښوونځي کڅوړه
👞	د سړي بوټ
👟	د چلولو بوټ
🥾	د پیدل سفر بوټ
🥿	د ښځې فلیټ بوټ
👠	د لوړ پوړ بوټان
👡	د ښځې سینڈل
👢	د ښځې بوټ
👑	تاج
👒	د ښځې خولۍ
🎩	پورته خولۍ
🎓	د فراغت خولۍ
🧢	بل شوی کیپ
⛑️	د ژغورنې کارکونکي خولۍ
⛑	د ژغورنې کارکونکي خولۍ
📿	د لمانځه مالګې
💄	لپسټیک
💍	حلقه
💎	د جواهر ډبره
🐵	د بندر مخ
🐒	بیزو
🦍	ګوریلا
🐶	د سپي مخ
🐕	سپی
🐩	پوډل
🐺	د لیوه مخ
🦊	د ګیدړ مخ
🦝	ریکون
🐱	د پیشو مخ
🐈	پیشو
🦁	زمری مخ
🐯	د پړانګ مخ
🐅	پړانګ
🐆	چیتا
🐴	د آس مخ
🐎	آس
🦄	یونیکورن مخ
🦓	زیبرا
🦌	هرن
🐮	د غوا مخ
🐂	بیل
🐃	د اوبو غوښه
🐄	غوا
🐷	خنزیر مخ
🐖	سور
🐗	خنزیر
🐽	د خنزیر پوزه
🐏	رام
🐑	اووه
🐐	وزه
🐪	اوښ
🐫	دوه کوڼ اوښ
🦙	لاما
🦒	زرافه
🐘	هاتین
🦏	ګنډا
🦛	هیپوپوټاموس
🐭	موږک مخ
🐁	موږک
🐀	موږک
🐹	د هامسټر مخ
🐰	د خرگوش مخ
🐇	سوى
🐿️	چپمنک
🐿	چپمنک
🦔	هیج هاګ
🦇	توپ
🐻	د بیرغ مخ
🐨	کوالا
🐼	پانډا مخ
🦘	کانګارو
🦡	بدر
🐾	د پښو چاپونه
🦃	ترکیه
🐔	چرګه
🐓	چرګ
🐣	مرغۍ
🐤	ماشوم چرګ
🐥	مخامخ ماشوم چرګ
🐦	مرغۍ
🐧	پینګوین
🕊️	کبوتر
🕊	کبوتر
🦅	عقاب
🦆	هیلۍ
🦢	سوان
🦉	الو
🦚	مور
🦜	طوطا
🐸	د چونګښې مخ
🐊	تمسخر
🐢	کچی
🦎	چرګ
🐍	مار
🐲	د ډریگن مخ
🐉	ډریگن
🦕	sauropod
🦖	T-Rex
🐳	سپوټینګ ویل
🐋	ویل
🐬	دالفین
🐟	کب
🐠	استوایی کب
🐡	بلو فش
🦈	شارک
🐙	اکتوپس
🐚	سرپل خولۍ
🦀	چنګاښ
🦞	يوډول بحرى حيوان لكه چنګاښ
🦐	shrimp
🦑	squid
🐌	snail
🦋	تیتلی
🐛	بګ
🐜	میږی
🐝	د شاتو مچۍ
🐞	lady bettle
🦗	کرکټ
🕷️	مکڑی
🕷	مکڑی
🕸️	د مکڑی ویب
🕸	د مکڑی ویب
🦂	لړم
🦟	مچه
🦠	مایکروب
💐	ګلدستې
🌸	چیری ګل
💮	سپین ګل
🏵️	ګلاب
🏵	ګلاب
🌹	ګلاب
🥀	مړ شوی ګل
🌺	هیبسکوس
🌻	لمر ګل
🌼	ګل
🌷	tulip
🌱	تخم
🌲	تل زرغون ونه
🌳	پرنجي ونه
🌴	د پام ونه
🌵	کاکټس
🌾	د وريجو ورقه
🌿	بوټي
☘️	shamrock
☘	shamrock
🍀	څلور پاڼي کلور
🍁	د میپل پاڼی
🍂	راوتلی پاڼی
🍃	پاڼی په باد کی راوتلی
🍇	انګور
🍈	خټكى
🍉	هيند واڼه
🍊	كينو
🍋	ليمو
🍌	كيله
🍍	انناس
🥭	آم
🍎	سور مڼه
🍏	شنه مڼه
🍐	امرت
🍑	شفتالو
🍒	چیری
🍓	ځمکنی توت
🥝	کیوی میوه
🍅	رومي
🥥	كو پره
🥑	avocado
🍆	بانجان
🥔	کچالو
🥕	گاجر
🌽	د جوارو غوږ
🌶️	تریخ مرچ
🌶	تریخ مرچ
🥒	بادرنګ
🥬	شنه پاڼي
🥦	ګوپی
🍄	مشروم
🥜	مونګ
🌰	سینه بغل
🍞	ډوډۍ
🥐	کروسینټ
🥖	baguette ډوډۍ
🥨	pretzel
🥯	بیگل
🥞	پینکیکونه
🧀	د پنیر څادر
🍖	غوښه په هډوکو
🍗	د چرګانو پښه
🥩	غوښه پرې کول
🥓	بیکن
🍔	هامبرګر
🍟	چپس
🍕	پیزا
🌭	هاټ ډاګ
🥪	سینڈوچ
🌮	taco
🌯	burrito
🥙	ډکه ډوډۍ
🥚	هګۍ
🍳	پخلی
🥘	د خواړو کمه کڅوړه
🍲	د خوړو کڅوړه
🥣	د چمچ سره کڅوړه
🥗	شنه سلاد
🍿	د جوارو نينيي
🧂	مالګه
🥫	ډنډ شوي خواړه
🍱	bento بکس
🍘	د وريجو کریکر
🍙	د وريجو توپ
🍚	پخې شوې وريجې
🍛	کری وریجی
🍜	د بخارۍ کڅوړه
🍝	سپتیتی
🍠	پخه شوي خواږه کچالو
🍢	اوډن
🍣	سوشي
🍤	غوړ شوي زینګ
🍥	د کبانو سره د کبانو کیک
🥮	د سپوږمۍ کیک
🍡	ډانګو
🥟	ډمپلینګ
🥠	بختور کوکی
🥡	د اخیستلو بکس
🍦	نرم آیس کریم
🍧	یخ شوی یخ
🍨	آیس کریم
🍩	ډونټ
🍪	کوکی
🎂	د کلیزی کیک
🍰	شارټ کیک
🧁	کپ کیک
🥧	پای
🍫	چاکلېټي غونډاری
🍬	کینډی
🍭	لولیپپ
🍮	کوسټارډ
🍯	د شاتو کڅوړه
🍼	د ماشوم بوتل
🥛	د شیدو یو ګیلاس
☕	ګرم څښاک
🍵	چای پیاله پرته له لاستی
🍶	خاطر
🍾	د پاپینګ کارک سره بوتل
🍷	د شرابو ګلاس
🍸	د کاکټیل شیشه
🍹	استوایی څښاک
🍺	د بیر پیاله
🍻	د بیر مګ کلک کول
🥂	کلکې شیشې
🥃	ټمبلر شیشه
🥤	پیاله د وښو سره
🥢	چپسټیکونه
🍽️	فورک او چاقو د پلیټ سره
🍽	فورک او چاقو د پلیټ سره
🍴	فورک او چاقو
🥄	چمچ
🔪	د پخلنځي چاقو
🏺	امفورا
🌍	نړۍ د اروپا - افریقا ښکارندوی کوي
🌎	نړۍ د امریکا ښکارندويي کوي
🌏	نړۍ د آسیا - آسټرالیا ښکارندوی کوي
🌐	نړۍ د مریډیانو سره
🗺️	د نړۍ نقشه
🗺	د نړۍ نقشه
🗾	د جاپان نقشه
🧭	کمپاس
🏔️	په واوره پوښل شوی غر
🏔	په واوره پوښل شوی غر
⛰️	غر
⛰	غر
🌋	آتش فشان
🗻	ماونټ فوجي
🏕️	کیمپ کول
🏕	کیمپ کول
🏖️	د چترۍ سره ساحل
🏖	د چترۍ سره ساحل
🏜️	صحرا
🏜	صحرا
🏝️	صحرا ټاپو
🏝	صحرا ټاپو
🏞️	ملي پارک
🏞	ملي پارک
🏟️	لوبغالی
🏟	لوبغالی
🏛️	کلاسیک ودانۍ
🏛	کلاسیک ودانۍ
🏗️	ودانۍ جوړول
🏗	ودانۍ جوړول
🧱	خښتې
🏘️	کورونه
🏘	کورونه
🏚️	ورک شوی کور
🏚	ورک شوی کور
🏠	کور
🏡	د باغ سره کور
🏢	دفتری ودانی
🏣	د جاپاني پوستي دفتر
🏤	پوستي دفتر
🏥	روغتون
🏦	بانک
🏨	هوټل
🏩	مینه هوټل
🏪	د اسانتیا پلورنځي
🏫	ښوونځی
🏬	د څانګې پلورنځی
🏭	فابریکه
🏯	جاپاني کلا
🏰	محل
💒	واده
🗼	د توکیو برج
🗽	د خپلواکۍ مجسمه
⛪	کلیسا
🕌	جومات
