😀	nacereno lice
🌗	posljednja četvrtina mjeseca
🌘	opadajući polumjesec
🌙	polumjesec
🌚	lice mladog mjeseca
🌛	prva četvrtina mjesečevog lica
🌜	lice zadnje četvrtine mjeseca
🌡️	termometar
🌡	termometar
☀️	sunce
☀	sunce
🌝	lice punog mjeseca
🌞	sunce sa licem
⭐	zvijezda
🌟	sjajna zvijezda
🌠	zvijezda padalica
☁️	oblak
☁	oblak
⛅	sunce iza oblaka
⛈️	oblak sa munjama i kišom
⛈	oblak sa munjama i kišom
🌤️	sunce iza malog oblaka
🌤	sunce iza malog oblaka
🌥️	sunce iza velikog oblaka
🌥	sunce iza velikog oblaka
🌦️	sunce iza kišnog oblaka
🌦	sunce iza kišnog oblaka
🌧️	oblak sa kišom
🌧	oblak sa kišom
🌨️	oblak sa snijegom
🌨	oblak sa snijegom
🌩️	oblak sa munjama
🌩	oblak sa munjama
🌪️	tornado
🌪	tornado
🌫️	magla
🌫	magla
🌬️	wind face
🌬	wind face
🌀	ciklon
🌈	rainbow
🌂	zatvoreni kišobran
☂️	kišobran
☂	kišobran
☔	kišobran sa kišnim kapima
⛱️	kišobran na zemlji
⛱	kišobran na zemlji
⚡	visokog napona
❄️	pahuljica
❄	pahuljica
☃️	snjegović
☃	snjegović
⛄	snjegović bez snijega
☄️	kometa
☄	kometa
🔥	vatre
💧	kapljica
🌊	vodeni talas
🎃	jack-o-lantern
🎄	božićno drvce
🎆	vatromet
🎇	sparkler
🧨	petarda
✨	iskri
🎈	balon
🎉	party popper
🎊	konfeti lopta
🎋	tanabata drvo
🎍	ukras za bor
🎎	Japanske lutke
🎏	šaran streamer
🎐	wind chime
🎑	ceremonija posmatranja mjeseca
🧧	crvena koverta
🎀	traka
🎁	upakovani poklon
🎗️	traka za podsjetnike
🎗	traka za podsjetnike
🎟️	ulaznice
🎟	ulaznice
🎫	ulaznica
🎖️	vojna medalja
🎖	vojna medalja
🏆	trofej
🏅	sportsku medalju
🥇	medalja za 1. mjesto
🥈	2. mjesto medalja
🥉	3. mjesto medalja
⚽	fudbalska lopta
⚾	bejzbol
🥎	softball
🏀	košarka
🏐	odbojka
🏈	ragbi
🏉	ragbi fudbal
🎾	tenis
🥏	leteći disk
🎳	kuglanje
🏏	igra kriketa
🏑	Hokej na travi
🏒	hokej na ledu
🥍	lacrosse
🏓	stoni tenis
🏸	badminton
🥊	bokserska rukavica
🥋	borilačka uniforma
🥅	gol mreža
⛳	zastava u rupi
⛸️	klizati
⛸	klizati
🎣	štap za pecanje
🎽	majica za trčanje
🎿	skije
🛷	sanjke
🥌	curling stone
🎯	direktan pogodak
🎱	bazen 8 lopta
🔮	kristalna kugla
🧿	nazar amulet
🎮	video igrica
🕹️	džojstik
🕹	džojstik
🎰	automat za kockanje
🎲	game die
🧩	slagalica
🧸	medvjedić
♠️	pik odijelo
♠	pik odijelo
♥️	srce odijelo
♥	srce odijelo
♦️	dijamantsko odijelo
♦	dijamantsko odijelo
♣️	klub odijelo
♣	klub odijelo
♟️	šahovski pešak
♟	šahovski pešak
🃏	joker
🀄	mahjong crveni zmaj
🎴	cvjetne karte za igranje
🎭	scenske umjetnosti
🖼️	uramljena slika
🖼	uramljena slika
🎨	paleta umjetnika
🧵	thread
🧶	pređe
🔇	prigušeni zvučnik
🔈	slaba jačina zvučnika
🔉	zvučnik srednje jačine
🔊	velika jačina zvučnika
📢	zvučnik
📣	megafon
📯	poštanski rog
🔔	zvono
🔕	zvono sa kosom crtom
🎼	musical score
🎵	muzička nota
🎶	muzičke note
🎙️	studijski mikrofon
🎙	studijski mikrofon
🎚️	klizač nivoa
🎚	klizač nivoa
🎛️	kontrolna dugmad
🎛	kontrolna dugmad
🎤	mikrofon
🎧	slušalice
📻	radio
🎷	saksofon
🎸	gitara
🎹	muzička tastatura
🎺	truba
🎻	violina
🥁	bubanj
📱	mobilni telefon
📲	mobilni telefon sa strelicom
☎️	telefon
☎	telefon
📞	telefonska slušalica
📟	pejdžer
📠	faks uređaj
🔋	baterija
🔌	električni utikač
💻	prijenosno računalo
🖥️	desktop računar
🖥	desktop računar
🖨️	štampač
🖨	štampač
⌨️	tastatura
⌨	tastatura
🖱️	kompjuterski miš
🖱	kompjuterski miš
🖲️	trackball
🖲	trackball
💽	disk računara
💾	disketa
💿	optički disk
📀	dvd
🧮	abakus
🎥	filmska kamera
🎞️	filmski okviri
🎞	filmski okviri
📽️	filmski projektor
📽	filmski projektor
🎬	clapper board
📺	televizija
📷	kamera
📸	kamera sa blicem
📹	video kamera
📼	video kaseta
🔍	lupa nagnuta ulijevo
🔎	lupa nagnuta udesno
🕯️	svijeća
🕯	svijeća
💡	sijalica
🔦	baterijska lampa
🏮	crveni papirni fenjer
📔	sveska sa ukrasnim koricama
📕	zatvorena knjiga
📖	otvorena knjiga
📗	zelena knjiga
📘	plava knjiga
📙	narandžasta knjiga
📚	knjige
📓	notebook
📒	knjiga
📃	stranica sa curl
📜	skrolujte
📄	stranica okrenuta prema gore
📰	novine
🗞️	smotane novine
🗞	smotane novine
📑	bookmark tabs
🔖	bookmark
🏷️	etiketa
🏷	etiketa
💰	torba za novac
💴	novčanica jena
💵	dolarska novčanica
💶	euro novčanica
💷	novčanica funte
💸	novac sa krilima
💳	kreditna kartica
🧾	priznanica
💹	grafikon raste sa jenom
💱	mjenjačnica
💲	težak znak dolara
✉️	koverat
✉	koverat
📧	e-mail
📨	dolaznu kovertu
📩	koverta sa strelicom
📤	kaseta za slanje
📥	inbox tray
📦	paket
📫	zatvoreno poštansko sanduče sa podignutom zastavicom
📪	zatvoreno poštansko sanduče sa spuštenom zastavicom
📬	otvoreno poštansko sanduče sa podignutom zastavicom
📭	otvoreno poštansko sanduče sa spuštenom zastavicom
📮	poštanski sandučić
🗳️	glasačka kutija sa glasačkim listićem
🗳	glasačka kutija sa glasačkim listićem
✏️	olovka
✏	olovka
✒️	crno pero
✒	crno pero
🖋️	nalivpero
🖋	nalivpero
🖊️	olovka
🖊	olovka
🖌️	kist
🖌	kist
🖍️	bojica
🖍	bojica
📝	dopis
💼	aktovka
📁	folder folder
📂	otvori folder sa fajlovima
🗂️	kartotečni razdjelnici
🗂	kartotečni razdjelnici
📅	kalendar
📆	kalendar za otkidanje
🗒️	spiralni notes
🗒	spiralni notes
🗓️	spiralni kalendar
🗓	spiralni kalendar
📇	kartoteka
📈	grafikon povećava
📉	grafikon se smanjuje
📊	trakasti grafikon
📋	clipboard
📌	igla
📍	round pushpin
📎	spajalica
🖇️	povezane spajalice
🖇	povezane spajalice
📏	ravni vladar
📐	trouglasti lenjir
✂️	makaze
✂	makaze
🗃️	kartonska kutija
🗃	kartonska kutija
🗄️	ormar za kartoteku
🗄	ormar za kartoteku
🗑️	korpa za smeće
🗑	korpa za smeće
🔒	zaključano
🔓	otključano
🔏	zaključana olovkom
🔐	zaključana ključem
🔑	ključ
🗝️	stari ključ
🗝	stari ključ
🔨	hammer
⛏️	pick
⛏	pick
⚒️	čekić i pijuk
⚒	čekić i pijuk
🛠️	čekić i ključ
🛠	čekić i ključ
🗡️	bodež
🗡	bodež
⚔️	ukrštene mačeve
⚔	ukrštene mačeve
🔫	pištolj
🏹	luk i strijela
🛡️	štit
🛡	štit
🔧	ključ
🔩	matica i vijak
⚙️	oprema
⚙	oprema
🗜️	stezaljka
🗜	stezaljka
⚖️	vaga za balans
⚖	vaga za balans
🔗	veza
⛓️	lancima
⛓	lancima
🧰	kutija sa alatima
🧲	magnet
⚗️	alembic
⚗	alembic
🧪	epruveta
🧫	petrijeva posuda
🧬	dna
🔬	mikroskop
🔭	teleskop
📡	satelitska antena
💉	špric
💊	pilula
🚪	vrata
🛏️	krevet
🛏	krevet
🛋️	kauč i lampa
🛋	kauč i lampa
🚽	toalet
🚿	tuš
🛁	kada
🧴	boca losiona
🧷	sigurnosni pin
🧹	metla
🧺	korpa
🧻	rolna papira
🧼	sapun
🧽	sunđer
🧯	aparat za gašenje požara
🛒	kolica za kupovinu
🚬	cigareta
⚰️	kovčeg
⚰	kovčeg
⚱️	pogrebna urna
⚱	pogrebna urna
🗿	moai
🏧	Znak bankomata
🚮	smeće u kanti znak
🚰	vode za piće
♿	simbol invalidskih kolica
🚹	muški toalet
🚺	ženska soba
🚻	toalet
🚼	simbol bebe
🚾	vodeni ormar
🛂	kontrola pasoša
🛃	carine
🛄	potraga za prtljagom
🛅	lijevog prtljaga
⚠️	upozorenje
⚠	upozorenje
🚸	djeca prelaze
⛔	zabranjen ulaz
🚫	zabranjeno
🚳	nema bicikla
🚭	Zabranjeno pušenje
🚯	bez smeća
🚱	voda koja nije za piće
🚷	nema pješaka
📵	nema mobilnih telefona
🔞	niko mlađi od osamnaest godina
☢️	radioaktivan
☢	radioaktivan
☣️	biohazard
☣	biohazard
⬆️	strelica gore
⬆	strelica gore
↗️	strelica gore-desno
↗	strelica gore-desno
➡️	strelica desno
➡	strelica desno
↘️	strelica dole-desno
↘	strelica dole-desno
⬇️	strelica nadole
⬇	strelica nadole
↙️	strelica dolje-lijevo
↙	strelica dolje-lijevo
⬅️	lijeva strelica
⬅	lijeva strelica
↖️	strelica gore-lijevo
↖	strelica gore-lijevo
↕️	strelica gore-dolje
↕	strelica gore-dolje
↔️	strelica lijevo-desno
↔	strelica lijevo-desno
↩️	strelica desno krivuda ulijevo
↩	strelica desno krivuda ulijevo
↪️	strelica lijevo krivuda udesno
↪	strelica lijevo krivuda udesno
⤴️	strelica udesno zakrivljena prema gore
⤴	strelica udesno zakrivljena prema gore
⤵️	strelica udesno zakrivljena prema dolje
⤵	strelica udesno zakrivljena prema dolje
🔃	vertikalne strelice u smeru kazaljke na satu
🔄	dugme sa strelicama u smeru suprotnom od kazaljke na satu
🔙	Strelica NAZAD
🔚	END strelica
🔛	ON strelica
🔜	SOON arrow
🔝	TOP arrow
🛐	bogomolja
⚛️	simbol atoma
⚛	simbol atoma
🕉️	om
🕉	om
✡️	Davidova zvezda
✡	Davidova zvezda
☸️	točak dharme
☸	točak dharme
☯️	yin yang
☯	yin yang
✝️	latinski krst
✝	latinski krst
☦️	pravoslavni krst
☦	pravoslavni krst
☪️	zvijezda i polumjesec
☪	zvijezda i polumjesec
☮️	simbol mira
☮	simbol mira
🕎	menora
🔯	tačkasta šestokraka zvijezda
♈	Ovan
♉	Bik
♊	Blizanci
♋	Rak
♌	Leo
♍	Djevica
♎	Vaga
♏	Škorpija
♐	Strijelac
♑	Jarac
♒	Vodolija
♓	Ribe
⛎	Ophiuchus
🔀	dugme nasumice numera
🔁	dugme za ponavljanje
🔂	dugme za ponavljanje
▶️	dugme za reprodukciju
▶	dugme za reprodukciju
⏩	dugme za brzo premotavanje unapred
⏭️	dugme za sledeću numeru
⏭	dugme za sledeću numeru
⏯️	dugme za reprodukciju ili pauzu
⏯	dugme za reprodukciju ili pauzu
◀️	dugme unazad
◀	dugme unazad
⏪	dugme za brzo kretanje unazad
⏮️	dugme poslednje numere
⏮	dugme poslednje numere
🔼	dugme prema gore
⏫	dugme za ubrzanje
🔽	dugme nadole
⏬	dugme za brzo dole
⏸️	dugme za pauzu
⏸	dugme za pauzu
⏹️	dugme za zaustavljanje
⏹	dugme za zaustavljanje
⏺️	dugme za snimanje
⏺	dugme za snimanje
⏏️	dugme za izbacivanje
⏏	dugme za izbacivanje
🎦	kino
🔅	dugme za zatamnjenje
🔆	svetlo dugme
📶	antenske šipke
📳	režim vibracije
📴	mobilni telefon isključen
♀️	ženski znak
♀	ženski znak
♂️	muški znak
♂	muški znak
⚕️	medicinski simbol
⚕	medicinski simbol
♾️	beskonačnost
♾	beskonačnost
♻️	simbol reciklaže
♻	simbol reciklaže
⚜️	fleur-de-lis
⚜	fleur-de-lis
🔱	trozubac amblem
📛	bedž sa imenom
🔰	Japanski simbol za početnike
⭕	teški veliki krug
✅	bijela teška kvačica
☑️	glasačka kutija sa čekom
☑	glasačka kutija sa čekom
✔️	teška kvačica
✔	teška kvačica
✖️	teško množenje x
✖	teško množenje x
❌	krstić
❎	dugme za krstić
➕	težak znak plus
➖	težak znak minusa
➗	znak teške divizije
➰	kovrdžava petlja
➿	dvostruka kovrčava petlja
〽️	oznaka alternacije dijela
〽	oznaka alternacije dijela
✳️	osmokraka zvjezdica
✳	osmokraka zvjezdica
✴️	osmokraka zvijezda
✴	osmokraka zvijezda
❇️	iskra
❇	iskra
‼️	dvostruki uzvičnik
‼	dvostruki uzvičnik
⁉️	uzvičnik upitnik
⁉	uzvičnik upitnik
❓	upitnik
❔	bijeli upitnik
❕	bijeli znak uzvika
❗	uzvičnik
〰️	valovita crtica
〰	valovita crtica
©️	autorsko pravo
©	autorsko pravo
®️	registrovan
®	registrovan
™️	zaštitni znak
™	zaštitni znak
#️⃣	kapica: #
#⃣	kapica: #
*️⃣	kapica: *
*⃣	kapica: *
0️⃣	poklopac ključa: 0
0⃣	poklopac ključa: 0
1️⃣	kapica za tastere: 1
1⃣	kapica za tastere: 1
2️⃣	kapica za tastere: 2
2⃣	kapica za tastere: 2
3️⃣	kapica za tastere: 3
3⃣	kapica za tastere: 3
4️⃣	kapica za tastere: 4
4⃣	kapica za tastere: 4
5️⃣	poklopac ključa: 5
5⃣	poklopac ključa: 5
6️⃣	kapica za tastere: 6
6⃣	kapica za tastere: 6
7️⃣	poklopac ključa: 7
7⃣	poklopac ključa: 7
8️⃣	poklopac ključa: 8
8⃣	poklopac ključa: 8
9️⃣	poklopac ključa: 9
9⃣	poklopac ključa: 9
🔟	poklopac ključa: 10
💯	sto bodova
🔠	unos latinica velikim slovima
🔡	unos latinica malim slovima
🔢	unos brojeva
🔣	ulazni simboli
🔤	unesite latinična slova
🅰️	Dugme (krvna grupa)
🅰	Dugme (krvna grupa)
🆎	AB dugme (krvna grupa)
🅱️	B dugme (krvna grupa)
🅱	B dugme (krvna grupa)
🆑	CL dugme
🆒	Dugme COOL
🆓	BESPLATNO dugme
ℹ️	informacije
ℹ	informacije
🆔	ID dugme
Ⓜ️	zaokružio M
Ⓜ	zaokružio M
🆕	NOVO dugme
🆖	NG dugme
🅾️	O dugme (krvna grupa)
🅾	O dugme (krvna grupa)
🆗	dugme OK
🅿️	P dugme
🅿	P dugme
🆘	SOS dugme
🆙	Dugme GORE
🆚	VS dugme
🈁	Japansko dugme „ovde“.
🈂️	Japansko dugme "naplata usluge".
🈂	Japansko dugme "naplata usluge".
🈷️	Japansko dugme "mjesečni iznos".
🈷	Japansko dugme "mjesečni iznos".
🈶	Japansko dugme „nije besplatno“.
🈯	Japansko dugme „rezervisano“.
🉐	Japansko dugme za „isplatu“.
🈹	Japansko dugme "popust".
🈚	Japansko dugme „besplatno“.
🈲	Japansko „zabranjeno“ dugme
🉑	Japansko dugme „prihvatljivo“.
🈸	Japansko dugme "aplikacija".
🈴	Japansko dugme "prolazna ocena".
🈳	Japansko dugme za „slobodno radno mesto“.
㊗️	Japansko dugme "čestitke".
㊗	Japansko dugme "čestitke".
㊙️	Japansko „tajno“ dugme
㊙	Japansko „tajno“ dugme
🈺	Japansko dugme „otvoreno za posao“.
🈵	Japansko dugme „nema slobodnog mesta“.
▪️	crni mali kvadrat
▪	crni mali kvadrat
▫️	bijeli mali kvadrat
▫	bijeli mali kvadrat
◻️	bijeli srednji kvadrat
◻	bijeli srednji kvadrat
◼️	crni srednji kvadrat
◼	crni srednji kvadrat
◽	bijeli srednje mali kvadrat
◾	crni srednji-mali kvadrat
⬛	crni veliki kvadrat
⬜	bijeli veliki kvadrat
🔶	veliki narandžasti dijamant
🔷	veliki plavi dijamant
🔸	mali narandžasti dijamant
🔹	mali plavi dijamant
🔺	crveni trougao okrenut prema gore
🔻	crveni trougao usmjeren prema dolje
💠	dijamant sa tačkom
🔘	radio dugme
🔲	crno kvadratno dugme
🔳	bijelo kvadratno dugme
⚪	bijeli krug
⚫	crni krug
🔴	crveni krug
🔵	plavi krug
🏁	karirana zastava
🚩	trouglasta zastava
🎌	ukrštene zastave
🏴	crna zastava
🏳️	bijela zastava
🏳	bijela zastava
🏳️‍🌈	rainbow flag
🏳‍🌈	rainbow flag
🏴‍☠️	gusarska zastava
🏴‍☠	gusarska zastava
🇦🇨	Ascension Island
🇦🇩	Andora
🇦🇪	Ujedinjeni Arapski Emirati
🇦🇫	Afganistan
🇦🇬	Antigva i Barbuda
🇦🇮	Angvila
🇦🇱	Albanija
🇦🇲	Jermenija
🇦🇴	Angola
🇦🇶	Antarktika
🇦🇷	Argentina
🇦🇸	Američka Samoa
🇦🇹	Austrija
🇦🇺	Australija
🇦🇼	Aruba
🇦🇽	Olandska ostrva
🇦🇿	Azerbejdžan
🇧🇦	Bosna i Hercegovina
🇧🇧	Barbados
🇧🇩	Bangladeš
🇧🇪	Belgija
🇧🇫	Burkina Faso
🇧🇬	Bugarska
🇧🇭	Bahrein
🇧🇮	Burundi
🇧🇯	Benin
🇧🇱	St. Barthélemy
🇧🇲	Bermuda
🇧🇳	Brunej
🇧🇴	Bolivija
🇧🇶	Caribbean Netherlands
🇧🇷	Brazil
🇧🇸	Bahami
🇧🇹	Butan
🇧🇻	Ostrvo Bouvet
🇧🇼	Bocvana
🇧🇾	Bjelorusija
🇧🇿	Belize
🇨🇦	Kanada
🇨🇨	Kokosova (Keeling) ostrva
🇨🇩	Kongo - Kinšasa
🇨🇫	Centralnoafrička Republika
🇨🇬	Kongo - Brazavil
🇨🇭	Switzerland
🇨🇮	Obala Bjelokosti
🇨🇰	Cook Islands
🇨🇱	Čile
🇨🇲	Kamerun
🇨🇳	kina
🇨🇴	Kolumbija
🇨🇵	Clipperton Island
🇨🇷	kosta rika
🇨🇺	Kuba
🇨🇻	Cape Verde
🇨🇼	Curaçao
🇨🇽	Božićno ostrvo
🇨🇾	Kipar
🇨🇿	Češka
🇩🇪	Njemačka
🇩🇬	Diego Garcia
🇩🇯	Džibuti
🇩🇰	Danska
🇩🇲	Dominika
🇩🇴	Dominikanska republika
🇩🇿	Alžir
🇪🇦	Ceuta & Melilla
🇪🇨	Ekvador
🇪🇪	Estonija
🇪🇬	Egipat
🇪🇭	Zapadna Sahara
🇪🇷	Eritreja
🇪🇸	Španija
🇪🇹	Etiopija
🇪🇺	Evropska unija
🇫🇮	Finska
🇫🇯	Fiji
🇫🇰	Falklandska ostrva
🇫🇲	Mikronezija
🇫🇴	Farska ostrva
🇫🇷	Francuska
🇬🇦	Gabon
🇬🇧	ujedinjeno kraljevstvo
🇬🇩	Grenada
🇬🇪	Georgia
🇬🇫	Francuska Gvajana
🇬🇬	Guernsey
🇬🇭	Gana
🇬🇮	Gibraltar
🇬🇱	Grenland
🇬🇲	Gambija
🇬🇳	Gvineja
🇬🇵	Guadeloupe
🇬🇶	Ekvatorijalna Gvineja
🇬🇷	Grčka
🇬🇸	Južna Georgija i Južna Sendvička ostrva
🇬🇹	Gvatemala
🇬🇺	Guam
🇬🇼	Gvineja Bisau
🇬🇾	Gvajana
🇭🇰	Hong Kong SAR Kina
🇭🇲	Heard & McDonald Islands
🇭🇳	Honduras
🇭🇷	Hrvatska
🇭🇹	Haiti
🇭🇺	mađarska
🇮🇨	Kanarska ostrva
🇮🇩	Indonezija
🇮🇪	Ireland
🇮🇱	Izrael
🇮🇲	Isle of Man
🇮🇳	Indija
🇮🇴	Britanska teritorija Indijskog okeana
🇮🇶	Irak
🇮🇷	Iran
🇮🇸	Island
🇮🇹	Italija
🇯🇪	Jersey
🇯🇲	Jamajka
🇯🇴	Jordan
🇯🇵	Japan
🇰🇪	Kenija
🇰🇬	Kirgistan
🇰🇭	Kambodža
🇰🇮	Kiribati
🇰🇲	Komori
🇰🇳	St. Kitts & Nevis
🇰🇵	Sjeverna Koreja
🇰🇷	sjeverna koreja
🇰🇼	Kuvajt
🇰🇾	Kajmanska ostrva
🇰🇿	Kazahstan
🇱🇦	Laos
🇱🇧	Liban
🇱🇨	Sveta Lucija
🇱🇮	Lihtenštajn
🇱🇰	Šri Lanka
🇱🇷	Liberija
🇱🇸	Lesoto
🇱🇹	Litvanija
🇱🇺	Luksemburg
🇱🇻	Latvija
🇱🇾	Libija
🇲🇦	Maroko
🇲🇨	Monako
🇲🇩	Moldavija
🇲🇪	Crna Gora
🇲🇫	St. Martin
🇲🇬	Madagaskar
🇲🇭	Marshall Islands
🇲🇰	Makedonija
🇲🇱	Mali
🇲🇲	Mjanmar (Burma)
🇲🇳	Mongolija
🇲🇴	Makao SAR Kina
🇲🇵	Sjeverna Marijanska ostrva
🇲🇶	Martinik
🇲🇷	Mauritanija
🇲🇸	Montserrat
🇲🇹	Malta
🇲🇺	Mauricijus
🇲🇻	Maldivi
🇲🇼	Malawi
🇲🇽	Meksiko
🇲🇾	Malezija
🇲🇿	Mozambik
🇳🇦	Namibija
🇳🇨	Nova Kaledonija
🇳🇪	Niger
🇳🇫	Ostrvo Norfolk
🇳🇬	Nigerija
🇳🇮	Nikaragva
🇳🇱	Holandija
🇳🇴	Norveška
🇳🇵	Nepal
🇳🇷	Nauru
🇳🇺	Niue
🇳🇿	Novi Zeland
🇴🇲	Oman
🇵🇦	Panama
🇵🇪	Peru
🇵🇫	Francuska Polinezija
🇵🇬	Papua Nova Gvineja
🇵🇭	Filipini
🇵🇰	Pakistan
🇵🇱	Poljska
🇵🇲	St. Pierre & Miquelon
🇵🇳	Pitcairn Islands
🇵🇷	Puerto Rico
🇵🇸	Palestinske teritorije
🇵🇹	Portugal
🇵🇼	Palau
🇵🇾	Paragvaj
🇶🇦	Katar
🇷🇪	Réunion
🇷🇴	Rumunija
🇷🇸	Srbija
🇷🇺	Rusija
🇷🇼	Ruanda
🇸🇦	Saudijska Arabija
🇸🇧	Solomonova ostrva
🇸🇨	Sejšeli
🇸🇩	Sudan
🇸🇪	Švedska
🇸🇬	Singapur
🇸🇭	Sveta Helena
🇸🇮	Slovenija
🇸🇯	Svalbard i Jan Majen
🇸🇰	Slovakia
🇸🇱	Sierra Leone
🇸🇲	San Marino
🇸🇳	Senegal
🇸🇴	Somalija
🇸🇷	Surinam
🇸🇸	Južni Sudan
🇸🇹	Sao Tome i Princip
🇸🇻	El Salvador
🇸🇽	Sint Maarten
🇸🇾	Sirija
🇸🇿	Svazilend
🇹🇦	Tristan da Cunha
🇹🇨	Turks & Caicos Islands
🇹🇩	Čad
🇹🇫	Francuske južne teritorije
🇹🇬	Ići
🇹🇭	Tajland
🇹🇯	Tadžikistan
🇹🇰	Tokelau
🇹🇱	Istočni Timor
🇹🇲	Turkmenistan
🇹🇳	Tunis
🇹🇴	Tonga
🇹🇷	Turska
🇹🇹	Trinidad i Tobago
🇹🇻	Tuvalu
🇹🇼	Tajvan
🇹🇿	Tanzanija
🇺🇦	Ukrajina
🇺🇬	Uganda
🇺🇲	Vanjska ostrva SAD-a
🇺🇳	ujedinjeni narodi
🇺🇸	Sjedinjene Države
🇺🇾	Urugvaj
🇺🇿	Uzbekistan
🇻🇦	Vatican City
🇻🇨	St. Vincent & Grenadines
🇻🇪	Venecuela
🇻🇬	Britanska Djevičanska Ostrva
🇻🇮	Američka Djevičanska Ostrva
🇻🇳	Vijetnam
🇻🇺	Vanuatu
🇼🇫	Wallis & Futuna
🇼🇸	Samoa
🇽🇰	Kosovo
🇾🇪	Jemen
🇾🇹	Mayotte
🇿🇦	Južna Afrika
🇿🇲	Zambija
🇿🇼	Zimbabve
🏴󠁧󠁢󠁥󠁮󠁧󠁿	Engleska
🏴󠁧󠁢󠁳󠁣󠁴󠁿	Scotland
🏴󠁧󠁢󠁷󠁬󠁳󠁿	Wales
